#pigs01
 OSMARC05 T4524.0:g1.08:z-2.80:a+0.40:he0.0 TAU_5000 Tvtvt= 2.50/H=-2.80
ALL abundances NOT listed below differ from solar by  -2.80 dex

Abundance Results for Species Fe I         (input abundance =   4.700)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  3902.945   26.00000   1.557  -0.466   191.20    -4.310     5.071    0.416
  3920.258   26.00000   0.121  -1.746   193.30    -4.307     4.519   -0.136
  3997.392   26.00000   2.728  -0.479    67.50    -4.772     4.380   -0.275
  4005.242   26.00000   1.557  -0.610   174.10    -4.362     4.912    0.257
  4021.866   26.00000   2.759  -0.729    55.90    -4.857     4.457   -0.198
  4045.812   26.00000   1.485   0.280   217.70    -4.269     4.416   -0.239
  4062.441   26.00000   2.845  -0.862    44.10    -4.964     4.478   -0.177
  4063.594   26.00000   1.557   0.062   187.70    -4.335     4.385   -0.270
  4067.978   26.00000   3.211  -0.472    32.70    -5.095     4.335   -0.319
  4071.738   26.00000   1.608  -0.022   191.40    -4.328     4.575   -0.080
  4076.629   26.00000   3.211  -0.529    33.90    -5.080     4.410   -0.245
  4107.488   26.00000   2.832  -0.879    45.80    -4.953     4.492   -0.163
  4132.058   26.00000   1.608  -0.675   159.00    -4.415     4.709    0.054
  4132.899   26.00000   2.845  -1.006    29.30    -5.149     4.326   -0.329
  4134.677   26.00000   2.832  -0.649    51.40    -4.905     4.346   -0.309
  4136.998   26.00000   3.415  -0.453    22.70    -5.261     4.331   -0.324
  4147.668   26.00000   1.485  -2.104    98.70    -4.623     4.878    0.223
  4153.899   26.00000   3.397  -0.321    69.50    -4.776     5.033    0.378
  4154.499   26.00000   2.832  -0.688    45.70    -4.959     4.284   -0.371
  4154.805   26.00000   3.368  -0.400    32.50    -5.107     4.428   -0.227
  4182.382   26.00000   3.017  -1.180    20.50    -5.310     4.499   -0.156
  4213.647   26.00000   2.845  -1.290    21.30    -5.296     4.408   -0.247
  4217.545   26.00000   3.430  -0.484    43.60    -4.986     4.771    0.116
  4222.213   26.00000   2.450  -0.967    56.30    -4.875     4.233   -0.422
  4227.426   26.00000   3.332   0.266    62.80    -4.828     4.217   -0.438
  4233.603   26.00000   2.482  -0.604    96.70    -4.641     4.609   -0.046
  4238.810   26.00000   3.397  -0.233    31.70    -5.126     4.257   -0.398
  4271.760   26.00000   1.485  -0.164   226.40    -4.276     4.809    0.154
  4282.403   26.00000   2.176  -0.779    95.30    -4.653     4.333   -0.322
  4325.762   26.00000   1.608   0.006   213.80    -4.306     4.640   -0.015
  4337.045   26.00000   1.557  -1.695   124.90    -4.541     4.928    0.273
  4375.930   26.00000   0.000  -3.031   143.30    -4.485     4.385   -0.270
  4388.407   26.00000   3.603  -0.682    24.30    -5.257     4.771    0.116
  4404.750   26.00000   1.557  -0.142   176.00    -4.398     4.186   -0.469
  4415.122   26.00000   1.608  -0.615   185.10    -4.378     4.854    0.199
  4427.310   26.00000   0.052  -2.924   167.30    -4.423     4.743    0.088
  4430.614   26.00000   2.223  -1.659    68.50    -4.811     4.759    0.104
  4442.339   26.00000   2.198  -1.255    91.70    -4.685     4.696    0.041
  4443.194   26.00000   2.858  -1.043    41.80    -5.027     4.530   -0.125
  4447.717   26.00000   2.223  -1.342    79.60    -4.747     4.611   -0.044
  4461.653   26.00000   0.087  -3.210   168.70    -4.422     5.078    0.423
  4466.551   26.00000   2.832  -0.600    90.20    -4.695     4.826    0.171
  4494.563   26.00000   2.198  -1.136    94.80    -4.676     4.609   -0.045
  4528.614   26.00000   2.176  -0.822   121.20    -4.572     4.720    0.065
  4531.148   26.00000   1.485  -2.155   108.20    -4.622     4.902    0.247
  4592.651   26.00000   1.557  -2.449    67.50    -4.833     4.624   -0.031
  4602.000   26.00000   1.608  -3.154    27.90    -5.217     4.775    0.120
  4602.941   26.00000   1.485  -2.209   106.90    -4.634     4.898    0.243
  4647.434   26.00000   2.949  -1.351    21.50    -5.335     4.517   -0.138
  4733.591   26.00000   1.485  -2.988    44.30    -5.029     4.706    0.052
  4736.773   26.00000   3.211  -0.752    41.30    -5.060     4.612   -0.043
  4859.741   26.00000   2.876  -0.764    51.80    -4.972     4.346   -0.309
  4920.502   26.00000   2.833   0.068   136.40    -4.557     4.785    0.130
  4924.770   26.00000   2.279  -2.241    56.00    -4.944     5.113    0.459
  4939.687   26.00000   0.859  -3.340    81.60    -4.782     4.708    0.053
  4966.088   26.00000   3.332  -0.871    61.20    -4.909     5.147    0.492
  4994.129   26.00000   0.915  -3.080   128.70    -4.589     5.188    0.533
  5001.863   26.00000   3.882   0.010    74.10    -4.829     5.137    0.482
  5006.119   26.00000   2.833  -0.638    70.70    -4.850     4.410   -0.245
  5014.942   26.00000   3.943  -0.303    20.80    -5.382     4.628   -0.027
  5028.126   26.00000   3.573  -1.123    30.40    -5.219     5.198    0.543
  5049.820   26.00000   2.279  -1.355    99.60    -4.705     4.832    0.177
  5051.634   26.00000   0.915  -2.795   132.40    -4.582     4.941    0.286
  5068.766   26.00000   2.940  -1.042    41.30    -5.089     4.509   -0.146
  5079.223   26.00000   2.198  -2.067    41.90    -5.084     4.602   -0.053
  5079.740   26.00000   0.990  -3.220    67.60    -4.876     4.546   -0.109
