Name,[Fe/H],e_[Fe/H],[C/Fe],e_[C/Fe]
Pristine_184342.87-292908.0,-1.799,0.1888,0.138,0.2581
Pristine_184349.86-301108.2,-1.797,0.1647,0.006,0.2695
Pristine_184352.57-292548.9,-1.775,0.1674,-0.271,0.2817
Pristine_184355.74-301325.1,-1.780,0.1618,-0.456,0.2293
Pristine_184356.09-292133.6,-1.975,0.1698,-0.718,0.2791
Pristine_184404.54-301357.5,-1.584,0.1766,-0.053,0.2546
Pristine_184431.86-293145.0,-2.223,0.1782,-0.399,0.2892
Pristine_184439.33-301600.9,-2.076,0.1624,-0.072,0.2780
Pristine_184444.92-292520.1,-2.240,0.1629,-0.383,0.3142
Pristine_184445.77-275640.1,-2.305,0.1705,-0.232,0.2858
Pristine_184515.76-300148.4,-1.982,0.1522,-0.265,0.2499
Pristine_184528.68-301011.5,-1.580,0.1644,-0.403,0.2442
Pristine_184529.01-290003.3,-1.828,0.1541,-0.394,0.2267
Pristine_184529.89-294748.9,-1.813,0.1590,-0.595,0.2794
Pristine_184530.34-292823.5,-1.932,0.1715,-0.738,0.2927
Pristine_184530.98-293716.1,-1.678,0.1497,-0.381,0.2068
Pristine_184538.11-293317.7,-2.139,0.1466,-0.395,0.2416
Pristine_184542.36-301441.9,-1.530,0.1558,-0.210,0.2661
Pristine_184546.45-300433.3,-1.898,0.1478,-0.412,0.2355
Pristine_184558.18-292045.3,-2.169,0.1952,-0.472,0.4185
Pristine_184607.44-292308.9,-2.222,0.1456,-0.223,0.2586
Pristine_184615.36-294250.4,-2.108,0.1478,-0.613,0.2411
Pristine_184618.94-302541.1,-1.619,0.1592,-0.611,0.2406
Pristine_184619.61-295834.0,-2.124,0.1510,0.570,0.2460
Pristine_184637.76-303500.1,-2.124,0.1819,-0.594,0.2245
Pristine_184642.47-292222.0,-2.629,0.1751,0.144,0.2579
Pristine_184646.85-282106.0,-2.665,0.1755,-0.156,0.3188
Pristine_184653.95-291232.7,-1.927,0.1521,-0.447,0.2313
Pristine_184700.26-321851.7,-2.273,0.1690,-0.236,0.3043
Pristine_184706.85-315239.0,-1.678,0.1762,-0.555,0.2865
Pristine_184707.47-291823.6,-1.574,0.1559,-0.186,0.2175
Pristine_184712.09-303246.1,-1.827,0.3729,-0.467,0.2215
Pristine_184722.68-301918.1,-1.875,0.1856,-0.852,0.2387
Pristine_184729.74-302729.8,-1.835,0.1532,-0.538,0.2295
Pristine_184729.89-322516.6,-1.956,0.1557,-0.497,0.2386
Pristine_184729.98-300534.9,-2.131,0.1655,0.348,0.2372
Pristine_184736.30-320449.0,-1.613,0.1679,-0.707,0.2431
Pristine_184736.75-290532.7,-1.615,0.1797,-0.574,0.3267
Pristine_184737.74-295255.5,-1.862,0.1624,-0.529,0.2203
Pristine_184743.42-321453.2,-1.780,0.3047,-0.299,0.2244
Pristine_184749.06-295900.7,-1.640,0.1593,-0.443,0.2868
Pristine_184750.74-323919.5,-1.754,0.1677,-0.516,0.2365
Pristine_184750.96-302134.8,-1.902,0.1626,-0.345,0.2744
