Found,JINA_ID,Query_ID,RA_input,DEC_input,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,H,I,R,U,V,K,J,B,rvz_nature,rvz_qual,pmdec,pmra,otype,plx_value,sp_type,sp_bibcode,sp_qual
True,,Pristine_184342.87-292908.0,18:43:42.8700,-29:29:08.000,Pristine J184342.87-292908.0,280.92865366377623,-29.485574744896674,0.0645,0.0605,90,O,2020yCat.1350....0G,,,,,,,,,s,B,-1.245,-2.912,Pe*,0.1624,,,
True,,Pristine_184349.86-301108.2,18:43:49.8600,-30:11:08.200,Pristine J184349.86-301108.2,280.9577774046279,-30.185619892469717,0.0563,0.0625,90,O,2020yCat.1350....0G,,,,,,,,,s,B,-1.437,-2.652,Pe*,,,,
True,,Pristine_184352.57-292548.9,18:43:52.5700,-29:25:48.900,Pristine J184352.57-292548.9,280.9690697771879,-29.43026989435861,0.0454,0.0405,90,O,2020yCat.1350....0G,,,,,,,,,s,B,-1.451,-2.994,Pe*,0.0376,,,
True,,Pristine_184355.74-301325.1,18:43:55.7400,-30:13:25.100,Pristine J184355.74-301325.1,280.98226875279335,-30.223653410971664,0.0448,0.0414,90,O,2020yCat.1350....0G,,,,,,,,,s,B,-1.401,-2.872,Pe*,0.0195,,,
True,,Pristine_184356.09-292133.6,18:43:56.0900,-29:21:33.600,Pristine J184356.09-292133.6,280.9837346546054,-29.359340027077785,0.0383,0.0343,90,O,2020yCat.1350....0G,,,,,,,,,s,B,-1.367,-2.808,Pe*,,,,
True,,Pristine_184404.54-301357.5,18:44:04.5400,-30:13:57.500,Pristine J184404.54-301357.5,281.0189477200363,-30.232634103151383,0.0606,0.0582,90,O,2020yCat.1350....0G,,,,,,,,,s,B,-1.362,-2.681,Pe*,0.1187,,,
True,,Pristine_184431.86-293145.0,18:44:31.8600,-29:31:45.000,UCAC4 303-249001,281.132781520355,-29.529172043595548,0.0306,0.026,90,O,2020yCat.1350....0G,12.593999862670898,,15.375,,15.720000267028809,12.47700023651123,13.246000289916992,16.900999069213867,s,A,-1.262,-2.227,Pe*,0.0149,,,
True,,Pristine_184439.33-301600.9,18:44:39.3300,-30:16:00.900,Pristine J184439.33-301600.9,281.1638681889471,-30.266935755266662,0.0431,0.0386,90,O,2020yCat.1350....0G,,,,,,,,,s,B,-1.17,-2.719,Pe*,0.0968,,,
True,,Pristine_184444.92-292520.1,18:44:44.9200,-29:25:20.100,Pristine J184444.92-292520.1,281.1871888576279,-29.422268051744172,0.0382,0.0303,90,O,2020yCat.1350....0G,,,,,,,,,s,A,-0.968,-2.465,Pe*,0.0419,,,
True,,Pristine_184445.77-275640.1,18:44:45.7700,-27:56:40.100,Pristine J184445.77-275640.1,281.19072969485416,-27.94446437281917,0.0415,0.0379,90,O,2020yCat.1350....0G,,,,,,,,,s,B,-1.32,-2.485,Pe*,,,,
