Found, Name   , Query_ID                    , RA_input     , DEC_input    , main_id                    , ra                 , dec                , coo_err_maj, coo_err_min, coo_err_angle, coo_wavelength, coo_bibcode        , J                 , V                 , I                 , R                 , K                 , H                 , U, B                 , pmra  , otype, rvz_nature, plx_value, rvz_qual, pmdec , sp_qual, sp_type, sp_bibcode         , matched_id
True , Car-10 , [MOP93] 10                  , 06:41:46.3699, -51:01:22.684, [MOP93] 10                 , 100.44320806171    , -51.02296777896    ,      0.0598,      0.0613,          90.0, O             , 2020yCat.1350....0G,                   , 17.9060001373291  , 16.496999740600586,                   , 14.967000007629395,                   ,  , 19.152000427246094, 0.396 , RG*  , s         ,          , A       , 0.168 ,        ,        ,                    , [MOP93] 10
True , Car-12 , [MOP93] 12                  , 06:41:36.4795, -50:56:23.180, [MOP93] 12                 , 100.4019979853     , -50.9397723698     ,      0.0658,      0.0599,          90.0, O             , 2020yCat.1350....0G, 15.595999717712402, 17.906999588012695, 16.545000076293945,                   , 14.772000312805176, 14.843999862670898,  , 19.173999786376953, 0.605 , RG*  , s         ,    0.0487, A       , 0.121 ,        ,        ,                    , [MOP93] 12
True , Car-2  , [SMS86] 62                  , 06:41:57.8030, -50:59:53.157, [SMS86]  62                , 100.49084620567    , -50.99809926814001 ,      0.0565,      0.0552,          90.0, O             , 2020yCat.1350....0G, 15.151000022888184, 17.684999465942383, 16.222000122070312,                   , 14.423999786376953, 14.571000099182129,  , 19.0049991607666  , 0.563 , RG*  , sa        ,    0.0496, A       , 0.13  ,        ,        ,                    , [SMS86]  62
True , Car-3  , [MOP93] 3                   , 06:41:54.5940, -50:57:00.688, [MOP93]  3                 , 100.47747540729002 , -50.950191331149995,      0.057 ,      0.0518,          90.0, O             , 2020yCat.1350....0G, 15.090999603271484, 17.684999465942383, 16.097999572753906,                   , 14.274999618530273, 14.48799991607666 ,  , 19.14699935913086 , 0.477 , RG*  , sa        ,          , A       , 0.173 ,        ,        ,                    , [MOP93]  3
True , Car-4  , [MOP93] 4                   , 06:41:48.2299, -50:55:01.672, [SMS86]  70                , 100.45095794975    , -50.917131147679996,      0.0583,      0.0526,          90.0, O             , 2020yCat.1350....0G, 15.230999946594238, 17.625999450683594, 16.180999755859375,                   , 14.51200008392334 , 14.526000022888184,  , 18.979000091552734, 0.352 , RR*  , sa        ,          , A       , 0.2   ,        ,        ,                    , [MOP93]  4
True , Fnx-12 , 2MASS J02401001-3429589     , 02:40:10.0211, -34:29:58.971, 2MASS J02401001-3429589    ,  40.04175491703    , -34.49971418562    ,      0.0747,      0.1026,          90.0, O             , 2020yCat.1350....0G, 15.937000274658203, 18.200000762939453, 16.75             , 18.059999465942383, 14.97700023651123 , 15.197999954223633,  , 19.760000228881836, 1.312 , RG*  , s         ,    0.1025, A       , -0.978,        ,        ,                    , 2MASS J02401001-3429589
True , Fnx-21 , WEL 112                     , 02:40:04.4134, -34:27:11.601, WEL 112                    ,  40.0183892665     , -34.45322256578    ,      0.0502,      0.0716,          90.0, O             , 2020yCat.1350....0G, 15.631999969482422, 18.3700008392334  ,                   , 17.413999557495117, 14.758000373840332, 14.833000183105469,  , 19.945999145507812, 0.491 , RG*  , s         ,    0.0255, A       , -0.319, D      , K5     , 1990A&A...233...21L, WEL 112
True , Fnx-25 , [MOW91] 25                  , 02:39:47.1107, -34:31:49.878, 2MASS J02394711-3431499    ,  39.94629465871    , -34.53052178272001 ,      0.0575,      0.0782,          90.0, O             , 2020yCat.1350....0G, 15.923999786376953, 18.59000015258789 ,                   , 17.746000289916992, 15.345000267028809, 15.204000473022461,  , 20.268999099731445, 0.294 , RG*  , s         ,    0.1431, A       , -0.223,        ,        ,                    , [MOW91]  25
True , Leo-2  , [MOV98] 2                   , 10:08:33.5218, +12:20:44.801, [MOV98]  2                 , 152.13967419097668 , 12.345778243694722 ,      0.2399,      0.1984,          90.0, O             , 2020yCat.1350....0G, 16.766000747680664, 19.479999542236328, 18.110000610351562,                   , 15.937000274658203, 16.461999893188477,  ,                   , -0.379, *    ,           ,          , D       , 0.004 ,        ,        ,                    , [MOV98]  2
True , Leo-5  , [MOV98] 5                   , 10:08:22.0511, +12:20:20.815, [MOV98]  5                 , 152.09187980428    , 12.339115290190001 ,      0.2228,      0.1937,          90.0, O             , 2020yCat.1350....0G, 16.591999053955078, 19.077999114990234, 17.684999465942383,                   , 15.680000305175781, 16.1200008392334  ,  , 20.530000686645508, -0.439, RG*  ,           ,          , D       , -0.075,        ,        ,                    , [MOV98]  5
True , M30-D  , NGC 7099 4                  , 21:40:26.6227, -23:14:35.462, NGC  7099     4            , 325.1109280659     , -23.243184113089995,      0.0126,      0.0116,          90.0, O             , 2020yCat.1350....0G, 10.680000305175781, 12.829999923706055,                   , 12.593000411987305,  9.996999740600586, 10.090999603271484,  , 13.979999542236328, -0.796, Pe*  , s         ,    0.0743, A       , -7.445,        ,        ,                    , NGC  7099     4
False, M55-283, Gaia DR3 6751341178000835072,              ,              ,                            ,                    ,                    ,            ,            ,              ,               ,                    ,                   ,                   ,                   ,                   ,                   ,                   ,  ,                   ,       ,      ,           ,          ,         ,       ,        ,        ,                    , 
True , M55-76 , 2MASS J19401265-3100287     ,              ,              , 2MASS J19401265-3100287    , 295.05272954015    , -31.007978912040002,      0.0138,      0.0109,          90.0, O             , 2020yCat.1350....0G, 10.35099983215332 , 12.519000053405762, 11.26200008392334 ,                   ,  9.666999816894531,  9.765999794006348,  , 13.611000061035156, -3.562, AB*  , s         ,    0.1951, A       , -9.571,        ,        ,                    , 2MASS J19401265-3100287
True , M68-53 , Cl* NGC 4590 ALC 53         , 12:39:30.8380, -26:47:52.674, Cl* NGC 4590    ALC      53, 189.87849203779996 , -26.79796510596    ,      0.0116,      0.0092,          90.0, O             , 2020yCat.1350....0G, 10.644000053405762, 12.760000228881836, 11.550999641418457,                   ,  9.883000373840332, 10.006999969482422,  , 14.166000366210938, -2.733, RG*  , s         ,    0.1022, A       , 1.884 ,        ,        ,                    , Cl* NGC 4590    ALC      53
True , Scl-400, 2MASS J01001708-3345139     , 01:00:17.0896, -33:45:13.862, 2MASS J01001708-3345139    ,  15.07120676715    , -33.75385082024    ,      0.082 ,      0.041 ,          90.0, O             , 2020yCat.1350....0G, 16.209999084472656, 18.152000427246094, 17.139999389648438,                   , 15.789999961853027, 16.049999237060547,  , 19.139999389648438, 0.077 , RG*  , s         ,    0.0001, A       , -0.073,        ,        ,                    , 2MASS J01001708-3345139
True , Scl-459, SCMS 1023                   , 01:00:12.5294, -33:43:01.362, SCMS 1023                  ,  15.052206057240001, -33.71704505155999 ,      0.0755,      0.0379,          90.0, O             , 2020yCat.1350....0G, 16.25             , 18.125            , 16.89699935913086 ,                   , 15.359999656677246, 15.489999771118164,  , 19.229999542236328, 0.113 , RG*  , s         ,    0.0032, A       , -0.18 ,        ,        ,                    , SCMS 1023
True , Scl-461, SCMS 966                    , 01:00:18.2971, -33:42:12.275, SCMS  966                  ,  15.076238170669999, -33.70340996686    ,      0.0638,      0.0264,          90.0, O             , 2020yCat.1350....0G, 15.210000038146973, 17.51799964904785 , 16.138999938964844,                   , 14.399999618530273, 14.680000305175781,  , 18.860000610351562, 0.121 , RG*  , s         ,    0.0286, A       , -0.153,        ,        ,                    , SCMS  966
True , Scl-479, SCMS 1088                   , 01:00:12.7787, -33:41:15.835, SCMS 1088                  ,  15.053244962909998, -33.68773204901    ,      0.0507,      0.0248,          90.0, O             , 2020yCat.1350....0G, 14.949999809265137, 17.280000686645508, 15.833000183105469,                   , 14.300000190734863, 14.350000381469727,  , 18.479999542236328, 0.074 , RG*  , s         ,          , A       , -0.111,        ,        ,                    , SCMS 1088
True , Scl-482, SCMS 648                    , 00:59:58.2618, -33:41:08.665, SCMS  648                  ,  14.99275758289    , -33.68574053638999 ,      0.0684,      0.0307,          90.0, O             , 2020yCat.1350....0G, 15.470000267028809, 17.679000854492188, 16.323999404907227,                   , 14.640000343322754, 14.789999961853027,  , 18.889999389648438, 0.154 , RG*  , s         ,    0.1129, A       , -0.167,        ,        ,                    , SCMS  648
