Name,Species,D_Teff,D_logg,D_M/H,D_Vmic,e_EW,e_SYN,D_EW,D_syn
ComBer-1,Fe I,0.14,0.00,0.04,0.01,0.02,0.05,0.15,0.15
ComBer-1,Fe II,0.04,0.02,0.01,0.01,0.10,0.14,0.11,0.15
ComBer-1,Na I,0.18,0.01,0.06,0.03,0.14,0.17,0.24,0.26
ComBer-1,Mg I,0.10,0.04,0.03,0.02,0.11,0.13,0.16,0.17
ComBer-1,K I,0.11,0.01,0.03,0.01,0.20,,0.23,
ComBer-1,Ca I,0.08,0.02,0.04,0.01,0.03,0.08,0.10,0.12
ComBer-1,Sc I,0.12,0.01,0.02,0.02,,0.20,,0.24
ComBer-1,Ti I,0.19,0.00,0.06,0.01,0.08,0.09,0.21,0.22
ComBer-1,Ti II,0.00,0.03,0.01,0.01,0.09,0.09,0.09,0.10
ComBer-1,Cr I,0.16,0.00,0.06,0.02,0.11,0.09,0.21,0.19
ComBer-1,Ni I,0.14,0.00,0.04,0.01,0.14,0.12,0.20,0.19
ComBer-1,Ba II,0.05,0.04,0.02,0.01,0.14,0.13,0.15,0.14
ComBer-2,Fe I,0.10,0.01,0.03,0.02,0.03,0.05,0.12,0.12
ComBer-2,Fe II,0.00,0.05,0.02,0.01,0.10,0.14,0.11,0.15
ComBer-2,Na I,0.11,0.02,0.08,0.05,0.16,0.29,0.22,0.33
ComBer-2,Mg I,0.09,0.03,0.04,0.04,0.13,0.25,0.17,0.28
ComBer-2,K I,,,,,,,,
ComBer-2,Ca I,0.07,0.01,0.01,0.01,0.10,0.13,0.12,0.15
ComBer-2,Sc I,0.09,0.01,0.02,0.01,,0.20,,0.22
ComBer-2,Ti I,0.12,0.01,0.04,0.02,0.10,0.15,0.16,0.20
ComBer-2,Ti II,0.03,0.05,0.02,0.02,0.23,0.41,0.23,0.41
ComBer-2,Cr I,0.12,0.02,0.04,0.03,0.13,0.27,0.18,0.30
ComBer-2,Ni I,0.12,0.01,0.03,0.02,0.10,0.11,0.16,0.17
ComBer-2,Ba II,0.07,0.06,0.03,0.00,0.16,0.17,0.18,0.19
UMaI-1,Fe I,0.11,0.01,0.02,0.02,0.03,0.07,0.12,0.13
UMaI-1,Fe II,0.05,0.04,0.02,0.01,0.13,0.16,0.15,0.17
UMaI-1,Na I,0.14,0.01,0.03,0.04,0.13,0.61,0.20,0.63
UMaI-1,Mg I,0.09,0.02,0.02,0.02,0.11,0.34,0.14,0.35
UMaI-1,K I,0.12,0.02,0.03,0.01,0.18,,0.22,
UMaI-1,Ca I,0.09,0.00,0.02,0.01,0.10,0.27,0.14,0.29
UMaI-1,Sc I,0.12,0.00,0.03,0.01,,0.20,,0.24
UMaI-1,Ti I,0.19,0.03,0.04,0.04,0.13,1.01,0.24,1.03
UMaI-1,Ti II,0.01,0.04,0.01,0.03,0.11,0.33,0.12,0.33
UMaI-1,Cr I,0.15,0.01,0.04,0.01,0.13,0.4,0.21,0.43
UMaI-1,Ni I,0.10,0.01,0.01,0.02,0.09,0.34,0.14,0.36
UMaI-1,Ba II,0.02,0.05,0.02,0.02,0.11,0.31,0.12,0.32
UMaI-2,Fe I,0.19,0.03,0.01,0.02,0.04,0.06,0.20,0.20
UMaI-2,Fe II,0.03,0.01,0.00,0.03,0.16,0.23,0.17,0.23
UMaI-2,Na I,0.21,0.04,0.01,0.02,0.20,0.38,0.29,0.44
UMaI-2,Mg I,0.16,0.02,0.01,0.01,0.16,0.36,0.23,0.40
UMaI-2,K I,0.12,0.02,0.01,0.01,0.28,,0.30,
UMaI-2,Ca I,0.12,0.02,0.01,0.01,0.11,0.17,0.16,0.21
UMaI-2,Sc I,0.14,0.02,0.01,0.02,,0.20,,0.24
UMaI-2,Ti I,,,,,,,,
UMaI-2,Ti II,,,,,,,,
UMaI-2,Cr I,0.19,0.03,0.01,0.02,0.20,0.29,0.27,0.35
UMaI-2,Ni I,0.18,0.03,0.01,0.02,0.20,0.19,0.27,0.27
UMaI-2,Ba II,0.03,0.02,0.01,0.04,0.16,0.16,0.17,0.17
BooI-2,Fe I,0.12,0.00,0.06,0.02,0.03,0.06,0.14,0.15
BooI-2,Fe II,0.04,0.02,0.01,0.02,0.08,0.1,0.10,0.11
BooI-2,Na I,0.15,0.01,0.07,0.03,0.15,0.21,0.22,0.27
BooI-2,Mg I,0.07,0.01,0.06,0.02,0.21,0.22,0.23,0.24
BooI-2,K I,0.11,0.00,0.05,0.01,0.21,,0.24,
BooI-2,Ca I,0.08,0.01,0.04,0.01,0.06,0.12,0.11,0.15
BooI-2,Sc I,0.12,0.00,0.02,0.02,,0.20,,0.24
BooI-2,Ti I,0.17,0.00,0.08,0.03,0.10,0.2,0.21,0.27
BooI-2,Ti II,0.01,0.02,0.03,0.01,0.15,0.36,0.15,0.36
BooI-2,Cr I,0.14,0.00,0.06,0.01,0.15,0.17,0.21,0.23
BooI-2,Ni I,0.12,0.00,0.04,0.01,0.09,0.13,0.16,0.18
BooI-2,Ba II,0.03,0.03,0.04,0.01,0.15,0.16,0.16,0.17
