

Name,Species,LTE/NLTE,logepsX_sun,l_[X/H],[X/H],e_[X/H],l_[X/Fe],[X/Fe],e_[X/Fe]
ComBer-1,Fe I,LTE,7.50,,-2.88,0.15,,,
ComBer-1,Fe II,LTE,7.50,,-2.97,0.11,,,
ComBer-1,Na I,LTE,6.24,,,,,0.30,0.24
ComBer-1,Mg I,LTE,7.60,,,,,0.87,0.16
ComBer-1,K I,LTE,5.03,,,,,0.65,0.23
ComBer-1,Ca I,LTE,6.34,,,,,0.74,0.10
ComBer-1,Sc I,LTE,3.13,,,,,-0.10,0.24
ComBer-1,Ti I,LTE,4.95,,,,,0.22,0.21
ComBer-1,Ti II,LTE,4.95,,,,,0.38,0.09
ComBer-1,Cr I,LTE,5.64,,,,,-0.18,0.21
ComBer-1,Ni I,LTE,6.22,,,,,-0.13,0.20
ComBer-1,Ba II,LTE,2.18,,,,,-1.10,0.15
ComBer-1,Fe I,NLTE,7.50,,-2.68,0.15,,,
ComBer-1,Fe II,NLTE,7.50,,-2.88,0.11,,,
ComBer-1,Na I,NLTE,6.24,,,,,-0.17,0.24
ComBer-1,Mg I,NLTE,7.60,,,,,0.76,0.16
ComBer-1,K I,NLTE,5.03,,,,,0.19,0.23
ComBer-1,Ca I,NLTE,6.34,,,,,0.74,0.10
ComBer-1,Sc I,NLTE,3.13,,,,,-0.30,0.20
ComBer-1,Ti I,NLTE,4.95,,,,,0.50,0.21
ComBer-1,Ti II,NLTE,4.95,,,,,0.27,0.09
ComBer-1,Cr I,NLTE,5.64,,,,,0.08,0.21
ComBer-1,Ni I,NLTE,6.22,,,,,-0.32,0.20
ComBer-1,Ba II,NLTE,2.18,,,,,-1.20,0.15
ComBer-2,Fe I,LTE,7.50,,-2.15,0.12,,,
ComBer-2,Fe II,LTE,7.50,,-2.32,0.11,,,
ComBer-2,Na I,LTE,6.24,,,,,-0.13,0.22
ComBer-2,Mg I,LTE,7.60,,,,,0.02,0.17
ComBer-2,K I,LTE,5.03,<,,,<,0.28,0.23
ComBer-2,Ca I,LTE,6.34,,,,,-0.21,0.12
ComBer-2,Sc I,LTE,3.13,,,,,0.00,0.22
ComBer-2,Ti I,LTE,4.95,,,,,0.25,0.16
ComBer-2,Ti II,LTE,4.95,,,,,,0.90
ComBer-2,Cr I,LTE,5.64,,,,,0.01,0.18
ComBer-2,Ni I,LTE,6.22,,,,,0.53,0.16
ComBer-2,Ba II,LTE,2.18,,,,,-0.95,0.18
ComBer-2,Fe I,NLTE,7.50,,-1.99,0.12,,,
ComBer-2,Fe II,NLTE,7.50,,-2.28,0.11,,,
ComBer-2,Na I,NLTE,6.24,,,,,-0.75,0.22
ComBer-2,Mg I,NLTE,7.60,,,,,-0.07,0.17
ComBer-2,K I,NLTE,5.03,<,,,<,-0.20,0.23
ComBer-2,Ca I,NLTE,6.34,,,,,-0.21,0.12
ComBer-2,Sc I,NLTE,3.13,,,,,-0.20,0.20
ComBer-2,Ti I,NLTE,4.95,,,,,0.57,0.17
ComBer-2,Ti II,NLTE,4.95,,,,,,0.73
ComBer-2,Cr I,NLTE,5.64,,,,,0.23,0.18
ComBer-2,Ni I,NLTE,6.22,,,,,0.38,0.16
ComBer-2,Ba II,NLTE,2.18,,,,,-1.06,0.18
UMaI-1,Fe I,LTE,7.50,,-2.51,0.12,,,
UMaI-1,Fe II,LTE,7.50,,-2.04,0.15,,,
UMaI-1,Na I,LTE,6.24,,,,,-0.30,0.20
UMaI-1,Mg I,LTE,7.60,,,,,0.19,0.14
UMaI-1,K I,LTE,5.03,,,,,0.55,0.24
UMaI-1,Ca I,LTE,6.34,,,,,0.09,0.14
UMaI-1,Sc I,LTE,3.13,,,,,0.70,0.24
UMaI-1,Ti I,LTE,4.95,,,,,0.42,0.24
UMaI-1,Ti II,LTE,4.95,,,,,0.12,
UMaI-1,Cr I,LTE,5.64,,,,,-0.56,0.21
UMaI-1,Ni I,LTE,6.22,,,,,0.07,0.14
UMaI-1,Ba II,LTE,2.18,,,,,-0.39,0.12
UMaI-1,Fe I,NLTE,7.50,,-2.39,0.12,,,
UMaI-1,Fe II,NLTE,7.50,,-2.04,0.15,,,
UMaI-1,Na I,NLTE,6.24,,,,,-0.53,0.20
UMaI-1,Mg I,NLTE,7.60,,,,,0.12,0.14
UMaI-1,K I,NLTE,5.03,,,,,0.23,0.24
UMaI-1,Ca I,NLTE,6.34,,,,,0.10,0.14
UMaI-1,Sc I,NLTE,3.13,,,,,0.50,0.20
UMaI-1,Ti I,NLTE,4.95,,,,,0.77,0.25
UMaI-1,Ti II,NLTE,4.95,,,,,0.12,
UMaI-1,Cr I,NLTE,5.64,,,,,-0.35,0.21
UMaI-1,Ni I,NLTE,6.22,,,,,-0.05,0.14
UMaI-1,Ba II,NLTE,2.18,,,,,-0.41,0.12
UMaI-2,Fe I,LTE,7.50,,-2.42,0.20,,,
UMaI-2,Fe II,LTE,7.50,,-2.46,0.17,,,
UMaI-2,Na I,LTE,6.24,,,,,-0.73,0.29
UMaI-2,Mg I,LTE,7.60,,,,,0.44,0.23
UMaI-2,K I,LTE,5.03,,,,,0.26,0.23
UMaI-2,Ca I,LTE,6.34,,,,,0.32,0.16
UMaI-2,Sc I,LTE,3.13,,,,,0.00,0.24
UMaI-2,Ti I,LTE,4.95,,,,,,0.40
UMaI-2,Ti II,LTE,4.95,,,,,0.20,0.15
UMaI-2,Cr I,LTE,5.64,,,,,0.03,0.27
UMaI-2,Ni I,LTE,6.22,,,,,-0.01,0.27
UMaI-2,Ba II,LTE,2.18,,,,,-0.43,0.17
UMaI-2,Fe I,NLTE,7.50,,-2.26,0.20,,,
UMaI-2,Fe II,NLTE,7.50,,-2.38,0.17,,,
UMaI-2,Na I,NLTE,6.24,,,,,-1.12,0.29
UMaI-2,Mg I,NLTE,7.60,,,,,0.35,0.23
UMaI-2,K I,NLTE,5.03,,,,,-0.1,0.23
UMaI-2,Ca I,NLTE,6.34,,,,,0.37,0.16
UMaI-2,Sc I,NLTE,3.13,,,,,-0.20,0.20
UMaI-2,Ti I,NLTE,4.95,,,,,,0.66
UMaI-2,Ti II,NLTE,4.95,,,,,0.13,0.15
UMaI-2,Cr I,NLTE,5.64,,,,,0.29,0.27
UMaI-2,Ni I,NLTE,6.22,,,,,-0.16,0.27
UMaI-2,Ba II,NLTE,2.18,,,,,-0.53,0.17
BooI-2,Fe I,LTE,7.50,,-2.49,0.14,,,
BooI-2,Fe II,LTE,7.50,,-2.45,0.10,,,
BooI-2,Na I,LTE,6.24,,,,,-0.63,0.22
BooI-2,Mg I,LTE,7.60,,,,,0.69,0.23
BooI-2,K I,LTE,5.03,,,,,0.64,0.24
BooI-2,Ca I,LTE,6.34,,,,,0.22,0.11
BooI-2,Sc I,LTE,3.13,,,,,0.10,0.24
BooI-2,Ti I,LTE,4.95,,,,,0.21,
BooI-2,Ti II,LTE,4.95,,,,,,
BooI-2,Cr I,LTE,5.64,,,,,-0.58,0.21
BooI-2,Ni I,LTE,6.22,,,,,-0.12,0.16
BooI-2,Ba II,LTE,2.18,,,,,-1.20,0.16
BooI-2,Fe I,NLTE,7.50,,-2.34,0.14,,,
BooI-2,Fe II,NLTE,7.50,,-2.40,0.10,,,
BooI-2,Na I,NLTE,6.24,,,,,-0.97,0.22
BooI-2,Mg I,NLTE,7.60,,,,,0.61,0.23
BooI-2,K I,NLTE,5.03,,,,,0.29,0.24
BooI-2,Ca I,NLTE,6.34,,,,,0.24,0.11
BooI-2,Sc I,NLTE,3.13,,,,,-0.10,0.20
BooI-2,Ti I,NLTE,4.95,,,,,0.21,
BooI-2,Ti II,NLTE,4.95,,,,,,
BooI-2,Cr I,NLTE,5.64,,,,,-0.33,0.21
