Table 3 
Measured Structural Parameters: Exponential and Plummer Models


No.	Object	theta_exp	epsilon_exp	r_h,exp	r_h,exp	theta_p	epsilon_p	r_h,p	r_h,p	
		(deg)		(arcmin)	(pc)	(deg)		(arcmin)	(pc)	
Primary Sample										
1	Sculptor	92 +or- 1	0.36 +or- 0.01	12.43 +or- 0.18	311 +or- 5	92 +or- 1	0.33 +or- 0.01	11.17 +or- 0.05	280 +or- 1	
2	Whiting 1	53 +or- 17	0.22 +or- 0.08	0.70 +or- 0.08	6.1 +or- 0.7	48 +or- 16	0.23 +or- 0.07	0.64 +or- 0.08	5.6 +or- 0.7	
3	Segue 2	166 +or- 16	0.21 +or- 0.07	3.64 +or- 0.29	37.1 +or- 2.9	164 +or- 14	0.22 +or- 0.07	3.76 +or- 0.28	38.3 +or- 2.8	
4	Fornax	45 +or- 1	0.28 +or- 0.01	18.5 +or- 0.2^a	791 +or- 9	45 +or- 1	0.29 +or- 0.01	19.6 +or- 0.08^a	838 +or- 3	
5	AM 1	41 +or- 15	0.17 +or- 0.06	0.48 +or- 0.03	17.2 +or- 1.1	42 +or- 23	0.07 +or- 0.05	0.45 +or- 0.03	16.1 +or- 1.1	
6	Eridanus	35 +or- 29	0.09 +or- 0.04	0.65 +or- 0.03	17.0 +or- 0.8	32 +or- 24	0.09 +or- 0.04	0.64 +or- 0.04	16.8 +or- 1.0	
7	Palomar 2	72 +or- 13	0.06 +or- 0.02	cdots	cdots	72 +or- 14	0.05 +or- 0.02	1.12 +or- 0.08	8.9 +or- 0.2	
8	Carina	60 +or- 1	0.37 +or- 0.01	10.2 +or- 0.1	311 +or- 3	60 +or- 1	0.36 +or- 0.01	10.1 +or- 0.10	308 +or- 3	
9	NGC 2419	103 +or- 6	0.04 +or- 0.01	cdots	cdots	103 +or- 6	0.05 +or- 0.01	0.85 +or- 0.01	20.4 +or- 0.2	
10	Koposov 2	-36 +or- 20	0.45 +or- 0.15	0.42 +or- 0.08	4.2 +or- 0.8	-35 +or- 18	0.43 +or- 0.14	0.44 +or- 0.07	4.4 +or- 0.7	
11	UMa II	-76 +or- 2	0.55 +or- 0.03	13.9 +or- 0.4	129 +or- 4	-76 +or- 2	0.56 +or- 0.03	13.8 +or- 0.50	128 +or- 5	
12	Pyxis	-8 +or- 28	0.04 +or- 0.02	1.59 +or- 0.03	18.2 +or- 0.3	-12 +or- 31	0.04 +or- 0.01	1.62 +or- 0.03	18.6 +or- 0.3	
