Name,RA,DEC,g,t_exp,Date,Instrument
LMC-003,04:53:37.090,-64:43:57.55,17.05,100,"30 Nov, 2022",MIKE
LMC-100,04:33:47.361,-67:37:31.51,17.36,25; 80,"1 Dec, 2022;  19 Dec, 2022",MIKE
LMC-104,05:18:01.352,-63:22:26.56,16.50,15; 30; 30,"1 Dec, 2022;
19 Dec, 2022;
20 Dec, 2022",MIKE
LMC-109,04:12:01.964,-66:00:58.36,17.01,20; 40,"19 Dec, 2022;
20 Dec, 2022",MIKE
LMC-119,05:51:51.026,-63:56:37.60,16.85,105,"1 Dec, 2022",MIKE
LMC-124,06:08:14.982,-62:07:23.33,16.76,60,"20 Dec, 2022",MIKE
LMC-204,04:33:20.143,-68:02:41.87,17.30,47,"1 Dec, 2022",MIKE
LMC-206,05:45:46.652,-65:46:35.40,17.08,110,"1 Dec, 2022",MIKE
LMC-207,05:32:54.917,-64:53:09.88,17.10,115,"1 Dec, 2022",MIKE
LMC-215,05:56:37.323,-66:05:17.85,17.16,105,"19 Dec, 2022",MIKE
LMC-319,05:38:55.896,-64:21:50.52,17.33,15,"17 Mar, 2023",MagE
LMC-323,06:17:10.604,-73:59:35.81,17.46,10,"16 Mar, 2023",MagE
LMC-400,05:08:33.774,-72:25:27.55,16.82,15,"27 Jan, 2023",MIKE
LMC-402,04:28:27.512,-69:22:08.36,17.21,20,"27 Jan, 2023",MIKE
LMC-403,05:27:13.519,-65:11:46.17,17.06,15,"27 Jan, 2023",MIKE
LMC-404,04:35:40.896,-66:09:29.18,17.45,15,"17 Mar, 2023",MagE
LMC-405,04:54:16.665,-64:50:01.06,17.38,25,"27 Jan, 2023",MIKE
LMC-406,05:15:58.050,-64:49:18.10,16.87,12.5,"27 Jan, 2023",MIKE
LMC-407,04:55:47.448,-64:12:45.29,17.33,20,"27 Jan, 2023",MIKE
LMC-409,05:55:03.971,-63:54:43.19,16.95,15,"27 Jan, 2023",MIKE
LMC-410,05:42:10.807,-63:53:20.39,17.26,20,"27 Jan, 2023",MIKE
LMC-411,05:29:44.001,-63:54:12.14,16.69,12.5,"27 Jan, 2023",MIKE
LMC-413,05:37:05.212,-64:34:42.64,16.86,12.5,"27 Jan, 2023",MIKE
LMC-414,05:27:13.879,-61:48:50.35,17.16,20,"27 Jan, 2023",MIKE
LMC-416,06:45:46.181,-66:29:56.95,16.84,12.5,"27 Jan, 2023",MIKE
LMC-007,05:44:58.823,-72:41:45.25,17.04,20,"30 Nov, 2022",MIKE
LMC-008,06:27:25.744,-67:01:18.05,16.90,20,"30 Nov, 2022",MIKE
LMC-101,04:42:26.547,-65:45:50.31,17.07,20,"30 Nov, 2022",MIKE
LMC-116,05:46:35.167,-64:20:32.05,17.18,15,"30 Nov, 2022",MIKE
LMC-202,05:04:52.769,-72:20:42.85,17.42,25,"19 Dec, 2022",MIKE
LMC-217,05:44:00.168,-62:10:47.41,17.08,25,"19 Dec, 2022",MIKE
