Z,elem,A,frac,log_eps
1,H,1,99.998,12.00
1,H,2,0.002,7.22
2,He,3,0.017,7.20
2,He,4,99.983,10.98
3,Li,6,4.850,1.98
3,Li,7,95.150,3.28
4,Be,9,100.000,1.44
5,B,10,19.650,2.06
5,B,11,80.350,2.67
6,C,12,98.893,8.52
6,C,13,1.107,6.57
7,N,14,99.775,7.89
7,N,15,0.225,5.25
8,O,16,99.776,8.75
8,O,17,0.036,5.31
8,O,18,0.188,6.03
9,F,19,100.000,4.46
10,Ne,20,92.810,8.09
10,Ne,21,0.242,5.51
10,Ne,22,6.948,6.97
11,Na,23,100.000,6.28
12,Mg,24,78.965,7.51
12,Mg,25,10.011,6.61
12,Mg,26,11.025,6.66
13,Al,27,100.000,6.49
14,Si,28,92.254,7.54
14,Si,29,4.672,6.24
14,Si,30,3.073,6.06
15,P,31,100.000,5.47
16,S,32,94.850,7.16
16,S,33,0.763,5.07
16,S,34,4.365,5.82
16,S,36,0.016,3.38
17,Cl,35,75.800,5.25
17,Cl,37,24.200,4.76
18,Ar,36,84.281,6.37
18,Ar,38,15.695,5.64
18,Ar,40,0.024,2.83
19,K,39,93.133,5.10
19,K*,40,0.146,2.30
19,K,41,6.721,3.96
20,Ca,40,96.941,6.35
20,Ca,42,0.647,4.17
20,Ca,43,0.135,3.49
20,Ca,44,2.086,4.68
20,Ca,46,0.004,1.97
20,Ca,48,0.187,3.64
21,Sc,45,100.000,3.20
22,Ti,46,8.250,3.95
22,Ti,47,7.440,3.91
22,Ti,48,73.720,4.90
22,Ti,49,5.410,3.77
22,Ti,50,5.180,3.75
23,V,50,0.250,1.36
23,V,51,99.750,3.96
24,Cr,50,4.345,4.32
24,Cr,52,83.789,5.61
24,Cr,53,9.501,4.66
24,Cr,54,2.365,4.06
25,Mn,55,100.000,5.48
26,Fe,54,5.845,6.29
26,Fe,56,91.754,7.49
26,Fe,57,2.119,5.85
26,Fe,58,0.282,4.97
27,Co,59,100.000,5.00
28,Ni,58,68.077,6.10
28,Ni,60,26.223,5.68
28,Ni,61,1.140,4.32
28,Ni,62,3.635,4.82
28,Ni,64,0.926,4.23
29,Cu,63,69.150,4.08
29,Cu,65,30.850,3.73
30,Zn,64,49.170,4.32
30,Zn,66,27.730,4.07
30,Zn,67,4.040,3.23
30,Zn,68,18.450,3.89
30,Zn,70,0.610,2.41
31,Ga,69,60.108,2.86
31,Ga,71,39.892,2.68
32,Ge,70,20.520,3.00
32,Ge,72,27.450,3.12
32,Ge,73,7.760,2.57
32,Ge,74,36.520,3.25
32,Ge,76,7.750,2.57
33,As,75,100.000,2.35
34,Se,74,0.860,1.29
34,Se,76,9.230,2.32
34,Se,77,7.600,2.24
34,Se,78,23.690,2.73
34,Se,80,49.800,3.05
34,Se,82,8.820,2.30
35,Br,79,50.650,2.24
35,Br,81,49.350,2.23
36,Kr,78,0.365,0.75
36,Kr,80,2.344,1.55
36,Kr,82,11.686,2.25
36,Kr,83,11.573,2.25
36,Kr,84,56.895,2.94
36,Kr,86,17.137,2.42
37,Rb,85,70.875,2.24
37,Rb*,87,29.125,1.86
38,Sr,84,0.563,0.64
38,Sr,86,9.916,1.89
38,Sr,87,6.472,1.70
38,Sr,88,83.049,2.81
39,Y,89,100.000,2.27
40,Zr,90,51.450,2.37
40,Zr,91,11.220,1.70
40,Zr,92,17.150,1.89
40,Zr,94,17.380,1.89
40,Zr,96,2.800,1.10
41,Nb,93,100.000,1.53
42,Mo,92,14.649,1.11
42,Mo,94,9.187,0.91
42,Mo,95,15.873,1.14
42,Mo,96,16.673,1.17
42,Mo,97,9.582,0.93
42,Mo,98,24.292,1.33
42,Mo,100,9.744,0.93
44,Ru,96,5.540,0.56
44,Ru,98,1.870,0.09
44,Ru,99,12.760,0.92
44,Ru,100,12.600,0.91
44,Ru,101,17.060,1.05
44,Ru,102,31.550,1.31
44,Ru,104,18.620,1.08
44,Rh,103,100.000,0.84
45,Pd,102,1.020,-0.36
46,Pd,104,11.140,0.68
46,Pd,105,22.330,0.98
46,Pd,106,27.330,1.07
46,Pd,108,26.460,1.06
46,Pd,110,11.720,0.70
46,Ag,107,51.839,0.74
47,Ag,109,48.161,0.71
47,Cd,106,1.245,-0.19
48,Cd,108,0.888,-0.34
48,Cd,110,12.470,0.81
48,Cd,111,12.795,0.82
48,Cd,112,24.109,1.10
48,Cd,113,12.227,0.80
48,Cd,114,28.754,1.17
48,Cd,116,7.512,0.59
48,In,113,4.281,-0.50
49,In,115,95.719,0.84
49,Sn,112,0.970,0.07
50,Sn,114,0.660,0.10
50,Sn,115,0.340,0.38
50,Sn,116,14.540,1.25
50,Sn,117,7.680,0.97
50,Sn,118,24.220,1.47
50,Sn,119,8.590,1.02
50,Sn,120,32.580,1.60
50,Sn,122,4.630,0.75
50,Sn,124,5.790,0.85
51,Sb,121,57.210,0.80
51,Sb,123,42.790,0.67
52,Te,120,0.090,-0.85
52,Te,122,2.550,0.60
52,Te,123,0.890,0.14
52,Te,124,4.740,0.87
52,Te,125,7.070,1.04
52,Te,126,18.840,1.47
52,Te,128,31.740,1.70
52,Te,130,34.080,1.73
53,I,127,100.000,1.55
54,Xe,124,0.127,-0.61
54,Xe,126,0.113,-0.66
54,Xe,128,2.216,0.63
54,Xe,129,27.438,1.72
54,Xe,130,4.346,0.92
54,Xe,131,21.771,1.62
54,Xe,132,26.347,1.70
54,Xe,134,9.743,1.27
54,Xe,136,7.900,1.18
55,Cs,133,100.000,1.09
56,Ba,130,0.110,-0.62
56,Ba,132,0.100,-0.67
56,Ba,134,2.420,0.72
56,Ba,135,6.590,1.15
56,Ba,136,7.850,1.23
56,Ba,137,11.230,1.38
56,Ba,138,71.700,2.19
57,La*,138,0.092,-1.86
57,La,139,99.908,1.17
58,Ce,136,0.185,-1.09
58,Ce,138,0.251,-0.96
58,Ce,140,88.450,1.59
58,Ce,142,11.114,0.69
59,Pr,141,100.000,0.81
60,Nd,142,27.152,0.92
60,Nd,143,12.174,0.57
60,Nd,144,23.798,0.86
60,Nd,145,8.293,0.40
60,Nd,146,17.189,0.72
60,Nd,148,5.756,0.24
60,Nd,150,5.638,0.24
62,Sm,144,3.066,-0.50
62,Sm*,147,15.384,0.20
62,Sm,148,11.199,0.07
62,Sm,149,13.758,0.15
62,Sm,150,7.337,-0.12
62,Sm,152,26.619,0.44
62,Sm,154,22.637,0.37
63,Eu,151,47.810,0.26
63,Eu,153,52.190,0.30
64,Gd,152,0.200,-1.55
64,Gd,154,2.180,-0.52
64,Gd,155,14.800,0.31
64,Gd,156,20.470,0.46
64,Gd,157,15.650,0.34
64,Gd,158,24.840,0.54
64,Gd,160,21.860,0.48
65,Tb,159,100.000,0.37
66,Dy,156,0.056,-2.09
66,Dy,158,0.095,-1.86
66,Dy,160,2.329,-0.47
66,Dy,161,18.889,0.44
66,Dy,162,25.475,0.57
66,Dy,163,24.896,0.56
66,Dy,164,28.260,0.62
67,Ho,165,100.000,0.54
68,Er,162,0.139,-1.86
68,Er,164,1.601,-0.80
68,Er,166,33.503,0.52
68,Er,167,22.869,0.35
68,Er,168,26.978,0.43
68,Er,170,14.910,0.17
69,Tm,169,100.000,0.16
70,Yb,168,0.126,-1.99
70,Yb,170,3.023,-0.61
70,Yb,171,14.216,0.07
70,Yb,172,21.754,0.25
70,Yb,173,16.098,0.12
70,Yb,174,31.896,0.42
70,Yb,176,12.887,0.02
71,Lu,175,97.180,0.15
71,Lu*,176,2.820,-1.38
72,Hf,174,0.161,-1.88
72,Hf,176,5.240,-0.37
72,Hf,177,18.580,0.18
72,Hf,178,27.280,0.35
72,Hf,179,13.630,0.05
72,Hf,180,35.120,0.46
73,Ta,180,0.012,-4.00
73,Ta,181,99.988,-0.07
74,W,180,0.120,-2.07
74,W,182,26.500,0.28
74,W,183,14.310,0.01
74,W,184,30.640,0.34
74,W,186,28.430,0.31
75,Re,185,35.707,-0.08
75,Re*,187,64.293,0.18
76,Os,184,0.020,-2.28
76,Os,186,1.597,-0.38
76,Os,187,1.559,-0.40
76,Os,188,13.294,0.54
76,Os,189,16.216,0.62
76,Os,190,26.368,0.83
76,Os,192,40.947,1.02
77,Ir,191,37.230,0.97
77,Ir,193,62.770,1.19
78,Pt*,190,0.012,-2.25
78,Pt,192,0.782,-0.43
78,Pt,194,32.864,1.19
78,Pt,195,33.775,1.20
78,Pt,196,25.211,1.07
78,Pt,198,7.356,0.54
79,Au,197,100.000,0.97
80,Hg,196,0.150,-1.67
80,Hg,198,10.040,0.16
80,Hg,199,16.940,0.38
80,Hg,200,23.140,0.52
80,Hg,201,13.170,0.28
80,Hg,202,29.740,0.63
80,Hg,204,6.820,-0.01
81,Tl,203,29.515,0.45
81,Tl,205,70.485,0.83
82,Pb,204,1.400,0.16
82,Pb,206,24.100,1.40
82,Pb,207,22.100,1.36
82,Pb,208,52.400,1.73
83,Bi,209,100.000,0.65
90,Th*,232,100.000,0.19
92,U*,234,0.002,-4.73
92,U*,235,24.167,-0.65
92,U*,238,75.831,-0.16
