I/O, Name        , Simbad_Identifier      , Reference  , Ref  , Loc, System, RA_hms     , RA_deg    , DEC_dms    , DEC_deg, Teff, logg, Fe/H, Vmic, epsc, epsn, epso , epsna, epsmg, epsal, epssi, epsk, epsca, epssc, epsti1, epsti, epscr, epsmn, epsfe, epsfe2, epsco, epsni, epszn, ulc, uln, ulo , ulna, ulmg, ulal, ulsi, ulk, ulca, ulsc, ulti1, ulti, ulcr, ulmn, ulfe, ulfe2, ulco, ulni, ulzn, [C/H], [N/H], [O/H], [Na/H], [Mg/H], [Al/H], [Si/H], [K/H], [Ca/H], [Sc/H], [Ti1/H], [Ti/H], [Cr/H], [Mn/H], [Fe/H], [Fe2/H], [Co/H], [Ni/H], [Zn/H], ul[C/H], ul[N/H], ul[O/H], ul[Na/H], ul[Mg/H], ul[Al/H], ul[Si/H], ul[K/H], ul[Ca/H], ul[Sc/H], ul[Ti1/H], ul[Ti/H], ul[Cr/H], ul[Mn/H], ul[Fe/H], ul[Fe2/H], ul[Co/H], ul[Ni/H], ul[Zn/H], [C/Fe], [N/Fe], [O/Fe], [Na/Fe], [Mg/Fe], [Al/Fe], [Si/Fe], [K/Fe], [Ca/Fe], [Sc/Fe], [Ti1/Fe], [Ti/Fe], [Cr/Fe], [Mn/Fe], [Fe2/Fe], [Co/Fe], [Ni/Fe], [Zn/Fe], ul[C/Fe], ul[N/Fe], ul[O/Fe], ul[Na/Fe], ul[Mg/Fe], ul[Al/Fe], ul[Si/Fe], ul[K/Fe], ul[Ca/Fe], ul[Sc/Fe], ul[Ti1/Fe], ul[Ti/Fe], ul[Cr/Fe], ul[Mn/Fe], ul[Fe2/Fe], ul[Co/Fe], ul[Ni/Fe], ul[Zn/Fe], e_c, e_n, e_o, e_na, e_mg, e_al, e_si, e_k, e_ca, e_sc, e_ti1, e_ti, e_cr, e_mn, e_fe, e_fe2, e_co, e_ni, e_zn, e_[C/H], e_[N/H], e_[O/H], e_[Na/H], e_[Mg/H], e_[Al/H], e_[Si/H], e_[K/H], e_[Ca/H], e_[Sc/H], e_[Ti1/H], e_[Ti/H], e_[Cr/H], e_[Mn/H], e_[Fe/H], e_[Fe2/H], e_[Co/H], e_[Ni/H], e_[Zn/H]
  1, CS 22953-003, BPS CS 22953-0003      , Cayrel+2004, CAY04, HA ,       , 01:02:15.85,  15.566042, +61:43:45.8, 61.73  , 5100,  2.3, -3.0,  1.7, 6.0 ,     , 6.68 ,  3.64,  4.87,  2.65,  4.96, 2.59,  3.74, 0.32 ,   2.33,  2.29,  2.43,  2.19,  4.65,   4.68,  2.25,  3.33,  1.91,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -2.43,      , -2.01, -2.6  , -2.73 , -3.8  , -2.55 , -2.44, -2.6  , -2.83 , -2.62  , -2.66 , -3.21 , -3.24 , -2.85 , -2.82  , -2.74 , -2.89 , -2.65 ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , 0.42  ,       ,   0.84, 0.25   ,    0.12, -0.95  ,    0.3 ,   0.41,    0.25, 0.02   ,     0.23, 0.19   , -0.36  , -0.39  , 0.03    , 0.11   , -0.04  ,    0.2 ,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.09,     ,     ,    , 0.14, 0.08,  0.09, 0.1 , 0.1 , 0.05, 0.15,  0.11, 0.1 , 0.05,     ,        ,        ,        ,         ,     0.09,         ,         ,        ,     0.14,     0.08,      0.09,     0.1 ,     0.1 ,     0.05,     0.15,      0.11,     0.1 ,     0.05, 
  1, CS 29518-051, BPS CS 29518-0051      , Cayrel+2004, CAY04, HA ,       , 01:24:10.01,  21.041708, +28:15:21.0, 28.26  , 5100,  2.4, -2.8,  1.4, 5.7 ,     , 7.01 ,  3.95,  5.09,  2.99,  5.38, 2.84,  4.05, 0.62 ,   2.67,  2.72,  2.76,  2.28,  4.85,   4.78,  2.57,  3.65,  2.17,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -2.73,      , -1.68, -2.29 , -2.51 , -3.46 , -2.13 , -2.19, -2.29 , -2.53 , -2.28  , -2.23 , -2.88 , -3.15 , -2.65 , -2.72  , -2.42 , -2.57 , -2.39 ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , -0.08 ,       ,   0.97, 0.36   ,    0.14, -0.81  ,    0.52,   0.46,    0.36, 0.12   ,     0.37, 0.42   , -0.23  , -0.5   , -0.07   , 0.23   , 0.08   ,    0.26,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.11,     ,     ,    , 0.09, 0.08,  0.04, 0.09, 0.09, 0.04, 0.13,  0.13, 0.08, 0.03,     ,        ,        ,        ,         ,     0.11,         ,         ,        ,     0.09,     0.08,      0.04,     0.09,     0.09,     0.04,     0.13,      0.13,     0.08,     0.03, 
  1, CS 22189-009, HE 0239-1340           , Cayrel+2004, CAY04, HA ,       , 02:41:42.37,  40.426542, +13:28:10.5, 13.47  , 4900,  1.7, -3.5,  1.9, 5.3 ,     ,      ,  2.54,  4.2 ,  2.06,  4.35, 2.03,  3.07, -0.32,   1.66,  1.57,  1.76,  1.65,  4.01,   4.01,  1.8 ,  2.82,  1.57,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -3.13,      ,      , -3.7  , -3.4  , -4.39 , -3.16 , -3.0 , -3.27 , -3.47 , -3.29  , -3.38 , -3.88 , -3.78 , -3.49 , -3.49  , -3.19 , -3.4  , -2.99 ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , 0.36  ,       ,       , -0.21  ,    0.09, -0.9   ,    0.33,   0.49,    0.22, 0.02   ,     0.2 , 0.11   , -0.39  , -0.29  , 0.0     , 0.3    , 0.09   ,    0.5 ,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.06,     ,     ,    , 0.1 , 0.08,  0.16, 0.11, 0.13, 0.05, 0.15,  0.11, 0.06, 0.06,     ,        ,        ,        ,         ,     0.06,         ,         ,        ,     0.1 ,     0.08,      0.16,     0.11,     0.13,     0.05,     0.15,      0.11,     0.06,     0.06, 
  1, CS 22968-014, HE 0305-5442           , Cayrel+2004, CAY04, HA ,       , 03:06:29.5 ,  46.622917, +54:30:32.5, 54.51  , 4850,  1.7, -3.5,  1.9, 5.26,     , 6.11 ,  2.41,  4.22,  2.13,  4.2 , 1.78,  2.83, -0.35,   1.57,  1.47,  1.66,  1.6 ,  3.93,   3.96,  1.92,  2.91,  1.46,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -3.17,      , -2.58, -3.83 , -3.38 , -4.32 , -3.31 , -3.25, -3.51 , -3.5  , -3.38  , -3.48 , -3.98 , -3.83 , -3.57 , -3.54  , -3.07 , -3.31 , -3.1  ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , 0.4   ,       ,   0.99, -0.26  ,    0.19, -0.75  ,    0.26,   0.32,    0.06, 0.07   ,     0.19, 0.09   , -0.41  , -0.26  , 0.03    , 0.5    , 0.26   ,    0.47,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.13,     ,     ,    , 0.17, 0.07,  0.12, 0.12, 0.16, 0.05, 0.15,  0.1 , 0.11, 0.05,     ,        ,        ,        ,         ,     0.13,         ,         ,        ,     0.17,     0.07,      0.12,     0.12,     0.16,     0.05,     0.15,      0.1 ,     0.11,     0.05, 
  1, CS 22172-002, 2MASS J03142084-1035112, Cayrel+2004, CAY04, HA ,       , 03:14:20.84,  48.586833, +10:35:11.2, 10.59  , 4800,  1.3, -4.0,  2.2, 4.63,     , <5.95,  2.12,  3.92,  1.81,  4.1 , 1.71,  2.87, -0.8 ,   1.51,  1.3 ,  1.4 ,  0.94,  3.64,   3.64,  1.53,  2.24,  1.23,    ,    , 5.95,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -3.8 ,      ,      , -4.12 , -3.68 , -4.64 , -3.41 , -3.32, -3.47 , -3.95 , -3.44  , -3.65 , -4.24 , -4.49 , -3.86 , -3.86  , -3.46 , -3.98 , -3.33 ,        ,        , -2.74  ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , 0.06  ,       ,       , -0.26  ,    0.18, -0.78  ,    0.45,   0.54,    0.39, -0.09  ,     0.42, 0.21   , -0.38  , -0.63  , 0.0     , 0.4    , -0.12  ,    0.53,         ,         ,     1.12,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.08,     ,     ,    , 0.1 , 0.06,  0.09, 0.12, 0.17, 0.02, 0.17,  0.1 , 0.11, 0.05,     ,        ,        ,        ,         ,     0.08,         ,         ,        ,     0.1 ,     0.06,      0.09,     0.12,     0.17,     0.02,     0.17,      0.1 ,     0.11,     0.05, 
  1, CS 22169-035, HE 0409-1212           , Cayrel+2004, CAY04, HA ,       , 04:12:13.88,  63.057833, +12:05:05.0, 12.08  , 4700,  1.2, -3.0,  2.2, 5.2 ,     ,      ,      ,  4.63,  2.56,  4.8 , 2.5 ,  3.45, -0.05,   1.94,  1.88,  2.2 ,  2.06,  4.46,   4.46,  1.78,  2.93,  1.66,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -3.23,      ,      ,       , -2.97 , -3.89 , -2.71 , -2.53, -2.89 , -3.2  , -3.01  , -3.07 , -3.44 , -3.37 , -3.04 , -3.04  , -3.21 , -3.29 , -2.9  ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , -0.19 ,       ,       ,        ,    0.07, -0.85  ,    0.33,   0.51,    0.15, -0.16  ,     0.03, -0.03  , -0.4   , -0.33  , 0.0     , -0.17  , -0.25  ,    0.14,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.11,     ,     ,    , 0.1 , 0.11,  0.02, 0.14, 0.18, 0.05, 0.19,  0.13, 0.13, 0.17,     ,        ,        ,        ,         ,     0.11,         ,         ,        ,     0.1 ,     0.11,      0.02,     0.14,     0.18,     0.05,     0.19,      0.13,     0.13,     0.17, 
  1, CS 22186-025, BPS CS 22186-0025      , Cayrel+2004, CAY04, HA ,       , 04:24:32.8 ,  66.136667, +37:09:02.5, 37.15  , 4900,  1.5, -3.0,  2.0, 4.9 ,     , 6.36 ,  3.67,  4.94,  2.69,  5.0 , 2.67,  3.71, 0.32 ,   2.34,  2.32,  2.33,  2.01,  4.5 ,   4.5 ,  2.15,  3.23,  1.92,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -3.53,      , -2.33, -2.57 , -2.66 , -3.76 , -2.51 , -2.36, -2.63 , -2.83 , -2.61  , -2.63 , -3.31 , -3.42 , -3.0  , -3.0   , -2.84 , -2.99 , -2.64 ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , -0.53 ,       ,   0.67, 0.43   ,    0.34, -0.76  ,    0.49,   0.64,    0.37, 0.17   ,     0.39, 0.37   , -0.31  , -0.42  , 0.0     , 0.16   , 0.01   ,    0.36,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.14,     ,     ,    , 0.11, 0.06,  0.09, 0.06, 0.12, 0.01, 0.14,  0.09, 0.12, 0.02,     ,        ,        ,        ,         ,     0.14,         ,         ,        ,     0.11,     0.06,      0.09,     0.06,     0.12,     0.01,     0.14,      0.09,     0.12,     0.02, 
  1, BS 16477-003, BPS BS 16477-0003      , Cayrel+2004, CAY04, HA ,       , 14:32:56.91, 218.237125, +06:46:06.9, 6.77   , 4900,  1.7, -3.4,  1.8, 5.5 ,     ,      ,  3.04,  4.5 ,  2.51,  4.69, 2.23,  3.38, -0.18,   1.98,  1.9 ,  1.94,  1.53,  4.14,   4.15,  1.93,  2.92,  1.42,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -2.93,      ,      , -3.2  , -3.1  , -3.94 , -2.82 , -2.8 , -2.96 , -3.33 , -2.97  , -3.05 , -3.7  , -3.9  , -3.36 , -3.35  , -3.06 , -3.3  , -3.14 ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , 0.43  ,       ,       , 0.16   ,    0.26, -0.58  ,    0.54,   0.56,    0.4 , 0.03   ,     0.39, 0.31   , -0.34  , -0.54  , 0.01    , 0.3    , 0.06   ,    0.22,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.15,     ,     ,    , 0.15, 0.14,  0.1 , 0.12, 0.12, 0.11, 0.12,  0.05, 0.09, 0.07,     ,        ,        ,        ,         ,     0.15,         ,         ,        ,     0.15,     0.14,      0.1 ,     0.12,     0.12,     0.11,     0.12,      0.05,     0.09,     0.07, 
  1, CS 30325-094, 2MASS J14543927+0421380, Cayrel+2004, CAY04, HA ,       , 14:54:39.27, 223.663625, +04:21:38.0, 4.36   , 4950,  2.0, -3.4,  1.5, 5.2 ,     , 6.19 ,  3.12,  4.66,  2.59,  5.06, 2.55,  3.44, 0.2  ,   1.99,  2.01,  1.93,  1.54,  4.2 ,   4.2 ,  1.91,  3.03,  1.54,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -3.23,      , -2.5 , -3.12 , -2.94 , -3.86 , -2.45 , -2.48, -2.9  , -2.95 , -2.96  , -2.94 , -3.71 , -3.89 , -3.3  , -3.3   , -3.08 , -3.19 , -3.02 ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , 0.07  ,       ,   0.8 , 0.18   ,    0.36, -0.56  ,    0.85,   0.82,    0.4 , 0.35   ,     0.34, 0.36   , -0.41  , -0.59  , 0.0     , 0.22   , 0.11   ,    0.28,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.14,     ,     ,    , 0.11, 0.09,  0.05, 0.1 , 0.09, 0.05, 0.14,  0.13, 0.08, 0.04,     ,        ,        ,        ,         ,     0.14,         ,         ,        ,     0.11,     0.09,      0.05,     0.1 ,     0.09,     0.05,     0.14,      0.13,     0.08,     0.04, 
  1, CS 22878-101, BPS CS 22878-0101      , Cayrel+2004, CAY04, HA ,       , 16:45:31.44, 251.381   , +08:14:45.4, 8.25   , 4800,  1.3, -3.0,  2.0, 5.0 ,     ,      ,  3.22,  4.77,  2.46,  4.65,     ,  3.47, 0.04 ,   2.06,  2.02,  2.01,  1.6 ,  4.21,   4.29,  1.89,  2.77,  1.75,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -3.43,      ,      , -3.02 , -2.83 , -3.99 , -2.86 ,      , -2.87 , -3.11 , -2.89  , -2.93 , -3.63 , -3.83 , -3.29 , -3.21  , -3.1  , -3.45 , -2.81 ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , -0.14 ,       ,       , 0.27   ,    0.46, -0.7   ,    0.43,       ,    0.42, 0.18   ,     0.4 , 0.36   , -0.34  , -0.54  , 0.08    , 0.19   , -0.16  ,    0.48,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.11,     ,     ,    , 0.16, 0.03,  0.14, 0.09, 0.13, 0.12, 0.12,  0.14, 0.07, 0.1 ,     ,        ,        ,        ,         ,     0.11,         ,         ,        ,     0.16,     0.03,      0.14,     0.09,     0.13,     0.12,     0.12,      0.14,     0.07,     0.1 , 
