[X/Fe],D_Teff = +100 K,D_log g = +0.2,D_Vmic= +0.2 km s^{-1}
Sr,-0.02,0.03,0.01
Y,-0.01,0.06,0.00
Zr,-0.01,0.07,0.03
Ba,0.02,0.03,-0.02
La,0.00,0.06,0.00
Ce,0.00,0.07,0.05
Pr,0.00,0.07,0.04
Nd,0.00,0.07,0.04
Sm,0.00,0.07,0.05
Eu,0.01,0.01,-0.04
Gd,-0.01,0.07,0.03
Dy,0.00,0.07,0.04
Ho,0.00,0.07,0.02
Er,0.00,0.06,-0.03
Tm,-0.01,0.04,0.02
Yb,0.01,0.06,-0.01

[X/Ba],D_Teff = +100 K,D_log g = +0.2,D_Vmic= +0.2 km s^{-1}
Sr,-0.04,0.00,0.03
Y,-0.03,0.03,0.02
Zr,-0.03,0.04,0.05
Ba,...  .,...,...
La,-0.02,0.03,0.02
Ce,-0.02,0.04,0.07
Pr,-0.02,0.04,0.06
Nd,-0.02,0.04,0.06
Sm,-0.02,0.04,0.07
Eu,-0.01,-0.02,-0.02
Gd,-0.03,0.04,0.05
Dy,-0.02,0.04,0.06
Ho,-0.02,0.04,0.04
Er,-0.02,0.03,-0.01
Tm,-0.01,0.01,0.05
Yb,-0.01,-0.03,0.01
