Name,[Fe/H],e_[Fe/H],N,[Ca/H],e_[Ca/H],N,,[Ca/Fe],e_[Ca/Fe]
12175,-3.17,0.14,4,-2.89,0.15,2,,0.28,0.21
42241,-2.03,0.14,20,-2.54,0.15,2,,-0.51,0.21
42149,-2.95,0.15,2,-3.08,0.16,2,,-0.13,0.22
41743,-2.42,0.15,11,-2.51,0.16,2,,-0.09,0.22
42795,-3.17,0.15,2,-3.11,0.17,syn,,0.06,0.23
40789,-2.88,0.17,3,-3.06,0.16,syn,,-0.18,0.23
41460,-3.10,0.16,syn,-2.78,0.15,syn,,0.32,0.22
42096,-2.60,0.17,4,-2.40,0.18,2,,0.20,0.25
40993,-2.38,0.19,8,-2.68,0.15,syn,,-0.3,0.24
42324,-2.70,0.14,syn,-2.60,0.28,2,,0.10,0.31
12729,-2.35,0.17,5,,,,,,
