Seq,---,SDSS,Teff1,logg1,[Fe/H]1,Teff2,Teff3,Teff,logg,[Fe/H]
1,SDSS,J0002+2928,6169,3.1,-2.81,6328,6043,6150,4.0,-3.26
2,SDSS,J0008-0529,4938,2.51,-2.78,4549,4673,4950,2.0,-2.66
3,SDSS,J0018-0939,4612,3.29,-2.98,4648,4628,4600,5.0,-2.65
4,SDSS,J0020-0040,6453,2.69,-2.61,6055,6444,6450,4.0,-2.81
5,SDSS,J0021-0050,6654,3.31,-3.09,6944,6242,6650,4.0,-3.16
6,SDSS,J0023-0003,5499,2.18,-3.04,5555,5618,5500,4.0,-3.12
7,SDSS,J0027+1404,6270,3.68,-2.88,6121,6166,6250,4.0,-3.03
8,SDSS,J0027-1909,6555,3.8,-3.04,6824,6529,6550,4.0,-2.71
9,SDSS,J0028-1015,6151,3.95,-2.87,6581,6152,6150,4.0,-2.81
10,SDSS,J0029-1910,6499,3.75,-3.39,6750,6444,6500,4.0,-3.15
11,SDSS,J0033-1859,5009,2.11,-2.83,4797,5016,5000,2.1,-2.8
12,SDSS,J0041-0953,5988,2.8,-2.88,5959,5969,6000,4.0,-2.81
13,SDSS,J0100+0049,5533,3.48,-2.95,5490,5562,5550,4.0,-3.18
14,SDSS,J0111+1442,6330,3.7,-2.61,6323,6161,6350,4.0,-2.8
15,SDSS,J0115+2637,5510,3.46,-2.98,5495,5535,5500,4.0,-3.32
16,SDSS,J0120-1001,5801,2.77,-3.18,5702,5917,5800,4.0,-3.45
17,SDSS,J0126+0607,6877,,,6842,6611,6900,4.0,-3.01
18,SDSS,J0131-0908,5257,2.38,-2.79,4949,5050,5250,2.4,-2.62
19,SDSS,J0140+2344,6103,3.37,-3.57,5890,5860,6100,4.0,-3.65
20,SDSS,J0209+2120,6244,2.64,-2.86,5954,6190,6250,4.0,-2.89
21,SDSS,J0254+3328,6197,3.46,-2.77,6257,6311,6200,4.0,-2.82
22,SDSS,J0259+0057,4550,3.92,-3.62,4746,4696,4550,5.0,-3.31
23,SDSS,J0308+0505,5938,3.05,-2.01,6136,5743,5950,4.0,-2.19
24,SDSS,J0317+0023,5785,3.54,-3.34,5911,5913,5800,4.0,-3.39
25,SDSS,J0320+4143,5966,4.25,-2.94,6166,6047,5950,4.0,-2.92
26,SDSS,J0351+1026,5441,2.69,-3.09,5645,5723,5450,3.6,-3.18
27,SDSS,J0414+0552,6514,3.69,-2.84,7020,6534,6500,4.0,-2.32
28,SDSS,J0416+0713,5956,3.2,-2.19,5464,5264,5950,4.0,-2.59
29,SDSS,J0629+8303,5539,2.51,-3.0,5542,5439,5550,4.0,-2.82
30,SDSS,J0630+2552,6100,3.77,-3.15,7493,6185,6100,4.0,-3.05
31,SDSS,J0711+6702,5338,2.32,-2.57,5237,5235,5350,3.0,-2.91
32,SDSS,J0723+3637,5135,2.98,-3.35,4992,5113,5150,2.2,-3.32
33,SDSS,J0727+1609,6613,4.02,-2.82,6124,6276,6600,4.0,-2.92
34,SDSS,J0741+6708,5201,2.4,-2.94,5006,5116,5200,2.5,-2.87
35,SDSS,J0746+2831,6111,4.15,-2.77,6313,6038,6100,4.0,-2.75
36,SDSS,J0748+1758,6091,3.36,-2.81,6311,6176,6100,4.0,-2.6
37,SDSS,J0749+1801,5098,2.85,-2.8,4978,5037,5100,1.8,-2.64
38,SDSS,J0804+5153,5948,3.14,-2.74,5693,5873,5950,4.0,-3.01
39,SDSS,J0809+0907,6155,3.16,-3.37,6285,6214,6150,4.0,-3.38
40,SDSS,J0814+3337,6454,3.34,-3.14,6590,6469,6450,4.0,-3.28
41,SDSS,J0817+2641,6053,3.4,-3.17,6277,6109,6050,4.0,-2.85
42,SDSS,J0819+3119,6327,4.07,-2.75,6455,6385,6350,4.0,-2.88
43,SDSS,J0821+1819,6269,3.8,-3.25,6187,6242,6250,4.0,-3.7
44,SDSS,J0825+0403,6414,3.35,-3.42,5653,6444,6400,4.0,-3.6
45,SDSS,J0827+1052,6409,3.88,-3.23,6230,6365,6400,4.0,-3.17
46,SDSS,J0840+5405,6152,3.45,-2.92,5766,6286,6150,4.0,-3.25
47,SDSS,J0847+0121,6271,3.83,-3.01,6199,6419,6250,4.0,-3.2
48,SDSS,J0851+1018,6486,3.8,-2.94,6438,6281,6500,4.0,-2.89
49,SDSS,J0858+3541,5192,1.99,-2.76,5075,5001,5200,2.5,-2.53
50,SDSS,J0859+0402,5416,3.7,-3.04,5188,5225,5400,3.1,-3.05
51,SDSS,J0907+0246,5985,2.89,-3.39,6293,6066,6000,4.0,-3.3
52,SDSS,J0912+0216,6127,2.55,-2.85,6275,5952,6150,4.0,-2.68
53,SDSS,J0932+0241,6220,3.32,-2.89,5910,6405,6200,4.0,-3.14
54,SDSS,J1004+3442,6114,3.14,-3.05,6035,6076,6100,4.0,-3.09
55,SDSS,J1033+4001,6582,3.83,-2.9,6323,6464,6600,4.0,-3.06
56,SDSS,J1036+1212,5854,3.13,-3.45,5787,5917,5850,4.0,-3.47
57,SDSS,J1106+0343,6281,4.1,-2.89,7010,6185,6300,4.0,-2.88
58,SDSS,J1108+1747,6051,3.35,-2.84,6201,6024,6050,4.0,-3.17
59,SDSS,J1120+3027,5750,4.32,-3.02,5810,5671,5750,4.0,-3.14
60,SDSS,J1128+3841,6570,3.68,-3.26,6621,6565,6550,4.0,-2.82
61,SDSS,J1147+1510,6499,3.7,-2.98,6876,6459,6500,4.0,-2.96
62,SDSS,J1159+5425,5721,3.09,-3.25,5886,5702,5700,4.0,-3.26
63,SDSS,J1213+4450,6637,4.34,-3.11,6230,6719,6650,4.0,-3.2
64,SDSS,J1230+0005,6160,2.9,-3.56,6153,6271,6150,4.0,-3.34
65,SDSS,J1233+3407,6325,3.61,-2.64,6173,6133,6300,4.0,-2.87
