Seq,---,SDSS,eFe1,eFe2,eNa,eMg,eCa,eTi,eSr,eBa,eC
1,SDSS,J0002+2928,0.21,0.3,0.24,0.16,0.21,0.27,0.29,0.27,0.22
2,SDSS,J0008-0529,0.34,0.34,0.24,0.16,0.18,0.3,0.35,0.39,
3,SDSS,J0018-0939,0.33,0.34,0.24,0.15,0.17,0.32,,,0.22
4,SDSS,J0020-0040,0.21,0.31,,0.18,0.24,0.27,0.31,,
5,SDSS,J0021-0050,0.22,0.39,0.31,0.21,0.29,,,,
6,SDSS,J0023-0003,0.34,0.39,0.3,0.21,0.26,0.33,0.33,0.51,
7,SDSS,J0027+1404,0.22,0.4,0.25,0.22,0.3,,,,
8,SDSS,J0027-1909,0.21,0.3,0.28,0.19,0.25,0.28,0.32,,
9,SDSS,J0028-1015,0.21,,0.2,0.17,0.23,,0.3,,
10,SDSS,J0029-1910,0.21,,,0.17,0.22,,0.3,,
11,SDSS,J0033-1859,0.34,0.37,0.26,0.19,0.27,0.32,0.38,0.47,
12,SDSS,J0041-0953,0.2,0.28,0.18,0.14,0.18,,,,
13,SDSS,J0100+0049,0.21,0.29,0.2,0.17,0.23,0.26,0.3,0.32,
14,SDSS,J0111+1442,0.21,0.3,0.21,0.18,0.24,0.28,0.31,,
15,SDSS,J0115+2637,0.36,0.48,0.38,0.37,0.53,0.37,,,
16,SDSS,J0120-1001,0.22,,0.23,0.2,0.27,,0.34,,
17,SDSS,J0126+0607,0.2,0.29,0.23,0.15,0.2,,,0.27,0.22
18,SDSS,J0131-0908,0.34,0.35,0.21,0.17,0.19,0.31,0.31,,
19,SDSS,J0140+2344,0.21,,,0.17,0.22,,0.3,,
20,SDSS,J0209+2120,0.2,0.3,,0.12,0.16,,,,
21,SDSS,J0254+3328,0.21,0.32,0.23,0.2,0.27,,,,
22,SDSS,J0259+0057,0.36,,0.22,0.2,,,,,0.22
23,SDSS,J0308+0505,0.21,0.3,0.28,0.19,,0.27,0.32,,0.22
24,SDSS,J0317+0023,0.2,,0.18,0.14,0.18,,,,
25,SDSS,J0320+4143,0.22,,0.26,0.24,0.32,0.34,0.38,,
26,SDSS,J0351+1026,0.37,0.41,0.28,0.27,0.39,0.39,0.32,,0.14
27,SDSS,J0414+0552,0.24,,0.22,0.19,0.25,,,,
28,SDSS,J0416+0713,0.24,,0.22,0.19,0.25,,,,
29,SDSS,J0629+8303,0.21,0.29,0.29,0.14,0.14,0.28,,,0.22
30,SDSS,J0630+2552,0.24,,,0.19,,,,,
31,SDSS,J0711+6702,0.34,0.33,0.16,0.13,0.2,0.3,0.24,0.36,0.14
32,SDSS,J0723+3637,0.34,0.34,0.22,0.14,,0.31,,,0.14
33,SDSS,J0727+1609,0.2,0.27,0.15,0.08,0.09,0.26,0.22,,
34,SDSS,J0741+6708,0.34,0.37,0.26,0.19,0.21,0.31,0.37,0.37,0.14
35,SDSS,J0746+2831,0.2,0.29,0.22,0.14,0.11,0.26,0.24,,
36,SDSS,J0748+1758,0.2,0.3,0.22,0.19,0.26,,0.32,,
37,SDSS,J0749+1801,0.34,0.35,0.2,0.14,0.17,0.3,0.29,0.36,
38,SDSS,J0804+5153,0.21,0.29,0.21,0.17,0.23,0.26,0.26,0.32,
39,SDSS,J0809+0907,0.2,0.29,0.24,0.16,0.21,,,,
40,SDSS,J0814+3337,0.21,0.33,0.19,0.15,0.2,,,,
41,SDSS,J0817+2641,0.21,,,0.15,0.2,,0.28,0.3,
42,SDSS,J0819+3119,0.21,0.3,0.21,0.18,0.25,0.3,0.26,,
43,SDSS,J0821+1819,0.24,,,0.19,0.25,,,,
44,SDSS,J0825+0403,0.25,,,0.23,0.31,,,,
45,SDSS,J0827+1052,0.21,0.34,0.25,0.22,0.31,,0.36,0.38,
46,SDSS,J0840+5405,0.21,0.33,,0.16,0.21,0.29,,,
47,SDSS,J0847+0121,0.21,0.35,0.27,0.18,0.24,,0.31,0.33,
48,SDSS,J0851+1018,0.2,0.29,0.22,0.14,0.18,0.26,,,
49,SDSS,J0858+3541,0.33,0.33,0.2,0.15,0.16,0.3,0.25,0.36,0.14
50,SDSS,J0859+0402,0.34,0.35,0.24,0.19,0.32,0.31,,,
51,SDSS,J0907+0246,0.2,0.28,0.17,0.13,0.17,0.26,0.23,,
52,SDSS,J0912+0216,0.2,0.28,0.17,0.11,0.11,,0.25,0.25,0.22
53,SDSS,J0932+0241,0.21,0.3,0.22,0.19,0.26,0.27,0.27,0.29,
54,SDSS,J1004+3442,0.2,0.27,0.15,0.09,0.11,0.25,0.21,,
55,SDSS,J1033+4001,0.2,0.28,,0.12,0.15,0.29,,,
56,SDSS,J1036+1212,0.2,0.3,0.2,0.16,0.21,0.26,0.25,0.31,0.22
57,SDSS,J1106+0343,0.2,0.29,0.2,0.17,0.22,,0.25,,
58,SDSS,J1108+1747,0.21,,0.19,0.15,0.2,,,,
59,SDSS,J1120+3027,0.21,0.36,0.21,0.18,0.25,0.28,0.32,,
60,SDSS,J1128+3841,0.22,0.35,,0.24,0.33,0.34,0.39,,
61,SDSS,J1147+1510,0.22,0.4,0.25,0.22,0.31,0.39,,,
62,SDSS,J1159+5425,0.21,0.32,0.29,0.19,0.26,0.29,0.27,,
63,SDSS,J1213+4450,0.22,0.38,0.3,0.2,0.28,,,,
64,SDSS,J1230+0005,0.2,0.29,,0.16,0.21,0.29,0.29,,
65,SDSS,J1233+3407,0.21,0.32,0.25,0.22,0.31,0.39,,,
66,SDSS,J1241-0837,0.34,0.37,0.26,0.25,0.24,0.32,,0.46,0.14
67,SDSS,J1242-0336,0.34,0.34,0.2,0.14,0.18,0.3,0.3,0.37,0.14
68,SDSS,J1245-0738,0.2,0.28,0.22,0.14,0.19,0.28,0.24,0.27,0.22
69,SDSS,J1300+2632,0.2,,0.19,0.12,0.15,,,,
70,SDSS,J1303+2515,0.21,0.3,0.22,0.19,0.25,0.27,,,
71,SDSS,J1304+3239,0.23,0.34,0.3,0.28,0.39,0.33,0.43,0.45,
72,SDSS,J1312+2450,0.21,0.34,0.25,0.16,0.22,0.28,0.29,,
73,SDSS,J1316+1747,0.34,0.36,0.26,0.18,0.21,0.31,,0.47,
74,SDSS,J1334+0022,0.21,0.32,0.25,0.22,0.3,0.28,,,
75,SDSS,J1338+1204,0.2,0.28,0.17,0.12,0.15,0.26,0.23,0.27,
76,SDSS,J1349-0229,0.22,0.32,0.23,0.2,0.27,,,0.3,0.22
77,SDSS,J1400+0753,0.24,0.36,,0.26,0.35,0.32,,,
78,SDSS,J1408+6239,0.24,0.35,0.3,0.28,0.39,0.37,0.44,,
79,SDSS,J1410+5350,0.2,0.3,,0.12,0.16,0.29,0.23,,
80,SDSS,J1412+5609,0.2,,0.2,0.1,0.16,,,,
