Table 1 
Observational Details of the Target Stars


Name	R.A.	Decl.	V Mag.	J Mag.	Exp. Time	SNR	RV_Gaia	RV_helio	
					(s)		(km s^-1)	(km s^-1)	
2MASS J00125284+4726278	00:12:52.848	+47:26:27.84	13.85	11.72	1600	29	-80.1	-80.3	
2MASS J01171437+2911580	01:17:14.371	+29:11:57.98	13.52	11.61	900	38	-136.3	-137.9	
2MASS J01261714+2620558	01:26:17.139	+26:20:55.84	13.96	11.97	1200	11	-162.4	-171.4	
2MASS J02462013-1518418 ^a	02:46:20.130	-15:18:41.80	10.70	12.30	1400	34	278.5	259.3	
2MASS J04051243+2141326	04:05:12.430	+21:41:32.64	13.51	11.53	1100	34	...	-310.9	
2MASS J04464970+2124561	04:46:49.709	+21:24:56.02	15.22	13.21	2000	19	-59.1	-54.2	
2MASS J05455436+4420133 ^b	05:45:54.367	+44:20:13.34	13.42	10.88	1200	18	-67.1	-87.9	
2MASS J06114434+1151292 ^a	06:11:44.340	+11:51:29.20	...	10.40	900	14	341.3	305.2	
2MASS J06321853+3547202	06:32:18.530	+35:47:20.20	13.78	11.88	900	37	-81.9	-85.5	
2MASS J07424682+3533180	07:42:46.822	+35:33:17.92	13.96	12.22	1200	23	216.3	216.2	
2MASS J07532819+2350207	07:53:28.198	+23:50:20.66	13.78	12.00	900	29	353.4	353.4	
2MASS J08011752+4530033	08:01:17.505	+45:30:03.42	13.26	11.57	900	48	47.2	51.2	
2MASS J08203890+3619470	08:20:38.911	+36:19:47.02	15.81	13.64	1800	13	...	-64.5	
2MASS J08471988+3209297	08:47:19.885	+32:09:29.77	13.70	11.37	900	14	-21.7	-22.5	
2MASS J09092839+1704521	09:09:28.395	+17:04:52.17	14.88	13.42	1800	18	123.1	123.8	
2MASS J09143307+2351544	09:14:33.076	+23:51:54.40	13.22	11.26	900	39	-48.3	-46.1	
2MASS J09185208+5107215	09:18:52.082	+51:07:21.37	13.09	11.45	600	40	-53.4	-48.2	
2MASS J09261148+1802142	09:26:11.477	+18:02:14.44	14.60	12.49	1500	29	199.5	198.9	
2MASS J09563630+5953170	09:56:36.309	+59:53:17.06	13.36	10.99	900	20	-285.9	-285.6	
2MASS J10122279+2716094	10:12:22.792	+27:16:09.43	15.19	13.52	1800	18	...	34.2	
2MASS J10542923+2056561	10:54:29.231	+20:56:55.91	14.20	12.41	1200	09	88.3	89.4	
2MASS J11052721+3305150	11:05:27.221	+33:05:15.08	13.77	12.18	900	34	-205.2	-205.9	
2MASS J12131230+2506598	12:13:12.305	+25:06:59.87	13.82	12.17	900	22	-91.1	-88.8	
2MASS J12334194+1952177	12:33:41.935	+19:52:17.59	13.00	10.89	600	37	68.5	68.7	
2MASS J12445815+5820391	12:44:58.178	+58:20:39.13	13.76	11.72	900	18	-67.5	-67.9	
2MASS J13281307+5503080	13:28:13.077	+55:03:07.99	13.48	12.34	800	11	-0.5	2.9	
2MASS J13525684+2243314	13:52:56.851	+22:43:31.55	13.59	11.31	900	16	5.1	6.7	
2MASS J13545109+3820077	13:54:51.097	+38:20:07.81	13.74	11.88	900	22	141.4	130.2	
2MASS J14245543+2707241	14:24:55.435	+27:07:24.18	15.29	13.74	2000	17	...	19.7	
2MASS J14445238+4038527	14:44:52.377	+40:38:52.72	13.03	10.93	600	12	-104.5	-112.3	
2MASS J15442141+5735135 ^b	15:44:21.414	+57:35:13.51	13.97	12.10	1200	17	-143.5	-129.6	
2MASS J16374570+3230413	16:37:45.696	+32:30:41.20	13.41	11.83	900	22	-234.4	-227.2	
2MASS J16380702+4059136	16:38:07.029	+40:59:13.68	14.01	12.56	1800	26	-25.3	-15.4	
2MASS J16393877+3616077	16:39:38.767	+36:16:07.66	13.13	11.58	900	24	-116.2	-108.2	
2MASS J16451495+4357120	16:45:14.952	+43:57:12.05	13.10	11.26	600	19	-84.1	-77.0	
2MASS J17041197+1626552	17:04:11.974	+16:26:55.20	13.93	11.86	900	18	-176.6	-171.0	
2MASS J17045729+3720576	17:04:57.300	+37:20:57.62	14.12	12.02	1200	19	-152.1	-148.0	
2MASS J17125701+4432051	17:12:57.021	+44:32:05.16	13.42	11.34	900	24	-123.7	-121.2	
2MASS J21463220+2456393	21:46:32.210	+24:56:39.42	15.29	13.46	1800	12	...	-309.3	
2MASS J22175058+2104371	22:17:50.588	+21:04:37.19	13.39	11.30	1200	29	...	-114.6	
2MASS J22424551+2720245	22:42:45.505	+27:20:24.54	13.14	11.29	1800	40	...	-392.2	
Notes.
^a Indicates likely binary star, based on the reported RUWE from Gaia.
^b Indicates potential binary star, based on deviations in RV of more than 1sigma between the Gaia RVs and our determination.
