Star ID	, T _eff	,$\mathrm{log}g$,	xi _t,[Fe/H],	T _eff,	$\mathrm{log}g$,	xi _t,	[Fe/H],	sigma _[Fe I/H],	N_Fe I,	N_Fe II
2MASS J00125284+4726278,	4400,	0.03,	1.91,	-2.68,	4630,	0.82,	2.01,	-2.5,	0.23,	77,	11
2MASS J01171437+2911580,	4414,	0.12,	1.7,	-2.72,	4643,	0.88,	1.58,	-2.6,	0.21,	92,	14
2MASS J01261714+2620558,	4875,	2.74,	1.21,	-0.93,	5057,	3.28,	1.33,	-0.76,	0.17,	53,	8
2MASS J02462013-1518418,	4700,	0.99,	1.83,	-3.1,	4900,	1.45,	1.95,	-2.9,	0.13,	83,	10
2MASS J04051243+2141326,	5396,	1.6,	2.03,	-2.8,	5526,	1.91,	1.88,	-2.67,	0.18,	45,	10
2MASS J04464970+2124561,	5889,	3.37,	2.12,	-1.96,	5970,	3.49,	2.03,	-1.88,	0.24,	57,	10
2MASS J05455436+4420133,	4358,	0.41,	1.54,	-2.91,	4592,	1.24,	1.66,	-2.68,	0.23,	77,	12
2MASS J06114434+1151292,	4270,	0.02,	1.58,	-2.95,	4513,	0.78,	1.69,	-2.72,	0.18,	71,	9
2MASS J06321853+3547202,	4877,	1.45,	0.9,	-2.95,	5059,	1.8,	1.06,	-2.8,	0.18,	79,	7
2MASS J07424682+3533180,	4705,	1.36,	0.95,	-2.9,	4904,	1.7,	1.09,	-2.79,	0.15,	60,	7
2MASS J07532819+2350207,	5276,	2.1,	0.71,	-2.85,	5418,	2.3,	0.92,	-2.88,	0.2,	36,	3
2MASS J08011752+4530033,	4780,	1.59,	1.19,	-3.02,	4972,	1.95,	1.32,	-2.9,	0.19,	89,	10
2MASS J08203890+3619470,	4327,	0.66,	1.48,	-2.69,	4564,	1.46,	1.54,	-2.51,	0.26,	50,	7
2MASS J08471988+3209297,	4403,	1.06,	2.23,	-2.47,	4633,	1.59,	2.09,	-2.3,	0.21,	54,	7
2MASS J09092839+1704521,	4709,	1.63,	1.1,	-2.41,	4914,	2.15,	1.24,	-2.3,	0.11,	46,	4
2MASS J09143307+2351544,	4311,	0.55,	1.4,	-3.45,	4550,	1.15,	1.51,	-3.25,	0.21,	71,	12
2MASS J09185208+5107215,	4890,	1,	1.44,	-3.18,	5071,	1.39,	1.57,	-3.11,	0.2,	67,	7
2MASS J09261148+1802142,	4324,	0.67,	1.84,	-2.97,	4562,	1.2,	1.71,	-2.7,	0.25,	73,	7
2MASS J09563630+5953170,	4205,	0.65,	2.85,	-2.53,	4454,	1.15,	2.77,	-2.22,	0.21,	54,	3
2MASS J10122279+2716094,	4484,	0.75,	1.31,	-2.52,	4706,	1.32,	1.43,	-2.46,	0.24,	70,	11
2MASS J10542923+2056561,	5029,	3.22,	1.08,	-0.71,	5196,	3.58,	3.12,	-0.55,	0.19,	45,	6
2MASS J11052721+3305150,	5121,	2.24,	1.17,	-3.12,	5279,	2.48,	1.03,	-3,	0.24,	54,	4
2MASS J12131230+2506598,	4605,	0.7,	1.4,	-2.98,	4814,	0.95,	1.57,	-2.9,	0.26,	47,	8
2MASS J12334194+1952177,	4140,	0.08,	1.38,	-3.1,	4396,	0.58,	1.44,	-3,	0.26,	75,	8
2MASS J12445815+5820391,	4173,	0.1,	1.57,	-2.93,	4425,	0.9,	1.63,	-2.85,	0.18,	63,	7
2MASS J13281307+5503080,	5700,	3.92,	0.49,	-0.19,	5800,	4.13,	3.81,	-0.14,	0.18,	41,	5
2MASS J13525684+2243314,	4503,	1.37,	1.91,	-2.7,	4723,	1.95,	1.52,	-2.55,	0.19,	50,	4
2MASS J13545109+3820077,	4410,	0.25,	2.24,	-2.83,	4639,	0.85,	2.11,	-2.7,	0.14,	61,	7
2MASS J14245543+2707241,	5900,	3.72,	3.02,	-1.74,	5980,	3.95,	2.87,	-1.7,	0.22,	32,	4
2MASS J14445238+4038527,	4729,	1.79,	3.39,	-2.56,	4926,	2.2,	1.81,	-2.45,	0.23,	34,	3
2MASS J15442141+5735135,	4404,	0.26,	1.8,	-2.88,	4550,	1.15,	1.71,	-2.75,	0.21,	78,	9
2MASS J16374570+3230413,	4995,	1.48,	1.57,	-2.57,	5165,	1.76,	1.61,	-2.45,	0.22,	82,	11
2MASS J16380702+4059136,	5138,	2.9,	1.02,	-2.63,	5294,	3.25,	2.74,	-2.5,	0.27,	51,	7
2MASS J16393877+3616077,	5751,	2.45,	0.66,	-1.93,	5846,	2.61,	2.33,	-1.95,	0.26,	47,	6
2MASS J16451495+4357120,	4598,	0.98,	2.16,	-2.88,	4808,	1.4,	1.04,	-2.71,	0.18,	61,	8
2MASS J17041197+1626552,	4728,	0.97,	3.46,	-2.79,	4925,	1.5,	1.13,	-2.66,	0.21,	46,	8
2MASS J17045729+3720576,	4628,	2.1,	2.12,	-2.54,	4835,	2.55,	2.01,	-2.45,	0.29,	38,	8
2MASS J17125701+4432051,	4320,	0.17,	1.94,	-2.87,	4558,	0.78,	2.11,	-2.7,	0.17,	77,	8
2MASS J21463220+2456393,	5786,	2.8,	2,	-1.05,	5685,	2.98,	1.85,	-1.1,	0.18,	44,	5
2MASS J22175058+2104371,	5020,	1.47,	0.89,	-3.16,	5188,	1.66,	0.95,	-3.07,	0.28,	43,	7
2MASS J22424551+2720245,	4798,	1.56,	1.12,	-3.45,	4988,	1.98,	1.12,	-3.3,	0.18,	68,	7
