Table 4 
Select Abundances and Classification of Program Stars


Star Name	[Fe/H]	[C/Fe] ^a	Delta[C/Fe]_corr ^b	[Mg/Fe]	[Sr/Fe]	[Ba/Fe]	[Eu/Fe]	[Ba/Eu]	Classification	
2MASS J00125284+4726278	-2.50	-0.52	0.76	+0.38	-0.07 +or- 0.17	-0.33 +or- 0.16	...	...	VMP	
2MASS J01171437+2911580	-2.60	-1.02	0.77	+0.49	-0.05 +or- 0.19	-0.28 +or- 0.21	-0.61 +or- 0.18	+0.33	VMP	
2MASS J01261714+2620558	-0.76	-0.50	0.02	-0.24	+0.27 +or- 0.16	0.00 +or- 0.16	+0.23 +or- 0.18	-0.23	MP	
2MASS J02462013-1518418	-2.90	+0.10	0.42	+0.47	+0.30 +or- 0.18	+0.79 +or- 0.20	+1.10 +or- 0.24	-0.31	r-II	
2MASS J04051243+2141326	-2.67	+0.16	0.35	+0.39	+0.18 +or- 0.22	+0.19 +or- 0.17	+0.70 +or- 0.24	-0.51	r-I	
2MASS J04464970+2124561	-1.88	+1.04	0.00	-0.13	-0.83 +or- 0.16	+1.70 +or- 0.22	<+0.55	...	Mg-poor, CEMP-s	
2MASS J05455436+4420133	-2.68	-0.94	0.76	+0.27	-1.10 +or- 0.25	-0.65 +or- 0.26	...	...	VMP	
2MASS J06114434+1151292	-2.72	-0.98	0.76	+0.17	-0.80 +or- 0.21	-0.60 +or- 0.22	+0.03 +or- 0.18	-0.63	Mg-poor, VMP	
2MASS J06321853+3547202	-2.80	-0.39	0.53	+0.29	-0.93 +or- 0.25	-1.37 +or- 0.22	+0.46 +or- 0.19	-1.83	r-I, VMP	
2MASS J07424682+3533180	-2.79	-0.30	0.54	+0.33	-0.36 +or- 0.16	+0.29 +or- 0.16	<+0.19	...	VMP	
2MASS J07532819+2350207	-2.88	+0.23	0.01	+0.04	<-0.64	<-1.11	<-0.54	...	Mg-poor, VMP	
2MASS J08011752+4530033	-2.98	-0.01	0.33	+0.43	-0.11 +or- 0.16	-0.13 +or- 0.20	+0.35 +or- 0.16	-0.48	r-I, EMP	
2MASS J08203890+3619470	-2.51	-1.28	0.77	+0.21	-0.52 +or- 0.22	+0.12 +or- 0.23	-0.15 +or- 0.127	+0.27	VMP	
2MASS J08471988+3209297	-2.30	-1.04	0.75	+0.07	+0.41 +or- 0.16	+0.61 +or- 0.16	-0.23 +or- 0.17	+0.84	Mg-poor, VMP	
2MASS J09092839+1704521	-2.30	-0.47	0.39	+0.37	-0.01 +or- 0.17	-0.49 +or- 0.19	...	...	VMP	
2MASS J09143307+2351544	-3.25	-0.75	0.72	+0.43	+0.17 +or- 0.20	-0.91 +or- 0.16	-0.06 +or- 0.22	-0.85	Limited-r, EMP	
2MASS J09185208+5107215	-3.11	+0.31	0.71	+0.32	-0.19 +or- 0.21	-1.12 +or- 0.24	<+0.65	...	CEMP-no	
2MASS J09261148+1802142	-2.70	-0.71	0.76	+0.37	-0.96 +or- 0.15	-0.79 +or- 0.16	<-0.04	...	VMP	
2MASS J09563630+5953170	-2.22	-1.01	0.78	+0.22	...	-0.36 +or- 0.16	-0.53 +or- 0.16	+0.17	VMP	
2MASS J10122279+2716094	-2.46	-0.56	0.77	+0.39	-0.24 +or- 0.19	-0.28 +or- 0.18	-0.07 +or- 0.16	-0.21	VMP	
2MASS J10542923+2056561	-0.55	-0.43	0.02	-0.34	+0.20 +or- 0.21	+0.15 +or- 0.22	+1.38 +or- 0.19	-1.23	r-II, MP	
2MASS J11052721+3305150	-3.00	-0.21	0.00	+0.33	-1.03 +or- 0.18	-0.30 +or- 0.16	<-0.27	...	EMP, GCE	
2MASS J12131230+2506598	-2.90	-0.67	0.75	+0.40	+0.27 +or- 0.19	-0.38 +or- 0.26	...	...	EMP	
2MASS J12334194+1952177	-3.00	-0.89	0.75	+0.63	...	-2.05 +or- 0.22	<-0.31	...	EMP	
2MASS J12445815+5820391	-2.84	-0.98	0.76	+0.38	-0.42 +or- 0.23	+0.55 +or- 0.21	+0.32 +or- 0.17	+0.23	VMP	
2MASS J13281307+5503080	-0.14	-0.22	0.00	-0.04	<-0.81	+0.46 +or- 0.16	<+0.39	...	MP	
2MASS J13525684+2243314	-2.55	-1.09	0.55	+0.40	...	-1.34 +or- 0.20	...	...	VMP	
2MASS J13545109+3820077	-2.70	-0.55	0.76	+0.58	-0.80 +or- 0.16	-0.17 +or- 0.22	-0.36 +or- 0.26	+0.19	VMP	
2MASS J14245543+2707241	-1.70	+0.51	0.00	-0.26	...	-0.17 +or- 0.19	<-0.04	...	Mg-poor, VMP	
2MASS J14445238+4038527	-2.45	-0.16	0.20	+0.29	...	-0.44 +or- 0.18	<+0.29	...	VMP	
2MASS J15442141+5735135	-2.75	-0.30	0.75	+0.35	-0.97 +or- 0.22	-0.70 +or- 0.16	+0.04 +or- 0.26	-0.74	VMP	
2MASS J16374570+3230413	-2.45	-0.26	0.48	+0.28	-0.57 +or- 0.16	-0.61 +or- 0.17	...	...	VMP	
2MASS J16380702+4059136	-2.50	-0.42	0.01	-0.10	+0.86 +or- 0.16	+1.27 +or- 0.19	+1.62 +or- 0.16	-0.35	r-II, Mg-poor	
2MASS J16393877+3616077	-1.95	-0.07	0.01	-0.25	+0.54 +or- 0.17	+0.11 +or- 0.15	...	...	MP	
2MASS J16451495+4357120	-2.71	-0.03	0.74	+0.28	...	-1.13 +or- 0.16	-0.21 +or- 0.16	-0.92	CEMP-no	
2MASS J17041197+1626552	-2.66	+0.03	0.73	+0.28	...	-0.31 +or- 0.22	+0.62 +or- 0.16	-0.93	CEMP-no	
2MASS J17045729+3720576	-2.45	-1.20	0.01	+0.25	-0.85 +or- 0.18	+0.34 +or- 0.16	+0.80 +or- 0.19	-0.46	r-II, VMP	
2MASS J17125701+4432051	-2.70	-0.78	0.76	+0.29	-0.14 +or- 0.16	-0.60 +or- 0.22	-0.06 +or- 0.21	-0.54	VMP	
2MASS J21463220+2456393	-1.05	-0.04	0.02	+0.10	-0.07 +or- 0.20	+0.46 +or- 0.23	+0.30 +or- 0.16	+0.16	MP	
2MASS J22175058+2104371	-3.07	+1.09	0.38	+0.86	...	<-0.96	<+0.55	...	Mg-rich, CEMP-no	
2MASS J22424551+2720245	-3.30	-0.37	0.27	+0.24	...	<-1.58	...	...	EMP	
Notes.
^a Indicates derived abundance before correction.
^b Indicates correction for evolutionary effects from V. M. Placco et al. (2014). This value should be added to the "as observed" [C/Fe] value in order to obtain the corrected [C/Fe] abundance.
