Star ID,[V I/H],e_[V I/H],[V II/H],e_[V II/H],[Cr I/H],e_[Cr I/H],[Cr II/H],e_[Cr II/H],[Mn I/H],e_[Mn I/H],[Co I/H],e_[Co I/H],[Co I/H],e_[Co I/H],[Cu/H],e_[Cu/H],[Zn I/H],e_[Zn I/H]
2MASS J00125284+4726278,-1.75,0.11,...,...,-2.73,0.23,-2.68,0.16,-2.92,...,...,0.28,-2.38,0.25,...,...,-2.46,0.17
2MASS J01171437+2911580,-2.97,0.10,...,...,-2.66,0.22,-2.52,0.15,-2.97,0.32,-2.53,0.21,-2.64,0.16,...,...,-2.53,0.14
2MASS J01261714+2620558,-0.51,0.15,-0.31,0.12,-0.62,0.38,-0.31,0.50,-0.80,0.36,-0.66,0.52,-1.07,0.41,-0.24,0.10,-0.46,0.16
2MASS J02462013-1518418,...,...,-2.22,0.15,-3.30,0.28,...,...,-3.35,0.32,-3.21,0.13,-2.76,0.17,...,...,-2.65,0.16
2MASS J04051243+2141326,-1.35,0.10,...,...,-3.14,0.17,-2.18,0.26,-3.13,0.25,-2.45,0.14,-2.01,0.17,...,...,-2.14,0.18
2MASS J04464970+2124561,...,...,...,...,-2.14,0.28,-1.82,0.17,-1.65,0.12,-1.92,0.14,-1.67,0.24,...,...,-1.19,0.15
2MASS J05455436+4420133,-2.78,0.18,-2.61,0.23,-2.89,0.24,-2.32,0.15,-3.18,0.18,...,...,-2.75,0.22,...,...,...,...
2MASS J06114434+1151292,...,...,...,...,-3.00,0.19,-2.63,0.14,-3.51,0.17,-3.10,0.28,-2.50,0.21,...,...,-2.50,0.13
2MASS J06321853+3547202,-2.74,0.12,...,...,-2.84,0.17,...,...,-3.53,0.18,-2.15,0.14,-2.86,0.18,...,...,...,...
2MASS J07424682+3533180,-2.35,0.10,...,...,-2.65,0.43,-1.91,0.30,-2.80,0.42,-1.80,0.15,-2.60,0.13,...,...,-2.57,0.14
2MASS J07532819+2350207,-0.95,0.14,-1.61,0.11,-2.89,0.30,...,...,-2.61,0.45,-2.28,0.12,-1.88,0.14,...,...,-1.99,0.11
2MASS J08011752+4530033,-2.48,0.10,-2.64,0.19,-3.09,0.19,...,...,-3.28,0.19,-2.45,0.22,-2.70,0.18,...,...,-2.64,0.30
2MASS J08203890+3619470,-3.19,0.10,...,...,-3.06,0.32,...,...,-3.38,0.10,-2.62,0.10,-2.42,0.20,-2.94,0.10,-1.41,0.10
2MASS J08471988+3209297,...,...,...,...,-2.20,0.17,-1.86,0.17,-2.43,0.37,...,...,-2.27,0.34,...,...,...,...
