Type           , Name       , Loc, Sci_key, RA_hms     , DEC_dms     , RA_deg            , DEC_deg            , logg, Teff, l_A(C), A(C), e_A(C), l_[Fe/H], [Fe/H], e_[Fe/H], l_[C/Fe], [C/Fe], e_[C/Fe], [C/Fe]c, l_[C/Fe]f, [C/Fe]f, e_[C/Fe]f, [Ba/H], Slit, Reference      , Ref
RGB            , 10_7_442   , DW ,        , 01:00:50.35, -33:52:15.67,                   ,                    , 1.62, 4723,       ,     ,       ,         , -3.15 ,     0.22,         , 0.39  ,     0.38,    0.29,          , 0.68   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
CEMP-s         , 10_7_486   , DW , S      , 01:00:45.41, -33:52:14.68,                   ,                    , 1.14, 4509,       ,     ,       , >       , -3.02 ,         ,         ,       ,         ,        ,          ,        ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_7_570   , DW ,        , 01:00:36.41, -33:52:19.54,                   ,                    , 1.81, 4805,       ,     ,       ,         , -2.94 ,     0.24,         , 0.37  ,     0.34,    0.13,          , 0.50   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_7_923   , DW ,        , 01:00:01.12, -33:59:21.38,                   ,                    , 1.4 , 4641,       ,     ,       ,         , -3.77 ,     0.20, <       , 0.34  ,     0.36,    0.47, <        , 0.81   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_1062  , DW ,        , 01:00:48.14, -33:42:13.32,                   ,                    , 1.93, 4859,       ,     ,       ,         , -2.91 ,     0.23,         , 0.37  ,     0.30,    0.06,          , 0.43   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_1072  , DW ,        , 01:00:47.83, -33:41:03.17,                   ,                    , 1.3 , 4581,       ,     ,       ,         , -3.63 ,     0.21, <       , 0.25  ,         ,    0.56, <        , 0.81   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_1124  , DW ,        , 01:00:46.21, -33:42:34.03,                   ,                    , 1.21, 4539,       ,     ,       ,         , -2.72 ,     0.2 ,         , -0.49 ,     0.38,    0.68,          , 0.19   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_1308  , DW ,        , 01:00:40.35, -33:44:14.23,                   ,                    , 1.36, 4603,       ,     ,       ,         , -2.97 ,     0.23,         , -0.01 ,     0.40,    0.54,          , 0.53   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_1325  , DW ,        , 01:00:39.72, -33:39:12.42,                   ,                    , 2.03, 4870,       ,     ,       ,         , -1.96 ,     0.48,         , -0.53 ,     0.41,    0.04,          , -0.49  ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
Blueward_of_RGB, 10_8_1366  , DW ,        , 01:00:38.71, -33:43:16.58,                   ,                    , 2.81, 5227,       ,     ,       ,         , -2.10 ,     0.38,         , -0.22 ,     0.41,    0.01,          , -0.21  ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_1463  , DW ,        , 01:00:36.46, -33:50:26.67,                   ,                    , 1.96, 4871,       ,     ,       ,         , -2.91 ,     0.27,         , 0.22  ,     0.32,    0.04,          , 0.26   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_1566  , DW ,        , 01:00:33.94, -33:40:08.24,                   ,                    , 1.04, 4486,       ,     ,       ,         , -2.42 ,     0.2 ,         , -0.74 ,     0.31,    0.77,          , 0.03   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
Blueward_of_RGB, 10_8_1615  , DW ,        , 01:00:33.05, -33:43:02.26,                   ,                    , 2.61, 5151,       ,     ,       ,         , -2.55 ,     0.34, <       , 0.25  ,         ,    0.01, <        , 0.26   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_1640  , DW ,        , 01:00:32.68, -33:41:05.05,                   ,                    , 1.8 , 4758,       ,     ,       ,         , -1.59 ,     0.26,         , -0.89 ,     0.27,    0.3 ,          , -0.59  ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_1731  , DW ,        , 01:00:31.00, -33:47:12.23,                   ,                    , 1.96, 4869,       ,     ,       ,         , -2.91 ,     0.23, <       , 0.25  ,         ,    0.03, <        , 0.28   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_1877  , DW ,        , 01:00:28.63, -33:46:02.64,                   ,                    , 1.49, 4607,       ,     ,       ,         , -1.87 ,     0.26,         , -0.70 ,     0.30,    0.46,          , -0.24  ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_1887  , DW ,        , 01:00:28.43, -33:47:41.51,                   ,                    , 1.19, 4530,       ,     ,       ,         , -2.72 ,     0.21,         , -0.26 ,     0.36,    0.68,          , 0.42   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_2028  , DW ,        , 01:00:25.95, -33:48:40.71,                   ,                    , 1.53, 4697,       ,     ,       ,         , -2.39 ,     0.51,         , -0.22 ,     0.51,    0.47,          , 0.25   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_2126  , DW ,        , 01:00:24.07, -33:45:54.41,                   ,                    , 1.4 , 4620,       ,     ,       ,         , -2.74 ,     0.24,         , 0.38  ,     0.36,    0.46,          , 0.84   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
CEMP-s         , 10_8_2134  , DW , S      , 01:00:23.71, -33:40:20.40,                   ,                    , 1.41, 4628,       ,     ,       , >       , -2.98 ,         ,         ,       ,         ,        ,          ,        ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_2148  , DW ,        , 01:00:23.49, -33:41:46.18,                   ,                    , 1.76, 4785,       ,     ,       ,         , -2.83 ,     0.27,         , 0.55  ,     0.35,    0.18,          , 0.73   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_2211  , DW ,        , 01:00:22.74, -33:51:22.84,                   ,                    , 1.18, 4456,       ,     ,       ,         , -1.59 ,     0.25,         , -1.09 ,     0.27,    0.65,          , -0.44  ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_2558  , DW ,        , 01:00:17.03, -33:42:47.26,                   ,                    , 1.88, 4837,       ,     ,       ,         , -2.91 ,     0.28,         , 0.22  ,     0.47,    0.09,          , 0.31   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
