Name,I/O,Simbad_Identifier,Loc,System,Slit,Reference,Ref,Instrument,Ncap_key,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,logg,Teff,ulc,epsc,e_c,ll[Fe/H],[Fe/H],e_[Fe/H],ul[C/Fe],[C/Fe],e_[C/Fe],[C/Fe]c,ul[C/Fe]f,[C/Fe]f,e_[C/Fe]f,[Ba/H]
10_7_442,1,[CSF2018] 10-7-442,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:50.35,-33:52:15.67,15.209792,-33.871019,1.62,4723,,,,,-3.15,0.22,,0.39,0.38,0.29,,0.68,,
10_7_486,1,[CSF2018] 10-7-486,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,S,CEMP-s,01:00:45.41,-33:52:14.68,15.189208,-33.870744,1.14,4509,,,,-3.02,,,,,,,,,,
10_7_570,1,[CSF2018] 10-7-570,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:36.41,-33:52:19.54,15.151708,-33.872094,1.81,4805,,,,,-2.94,0.24,,0.37,0.34,0.13,,0.50,,
10_7_923,1,[CSF2018] 10-7-923,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:01.12,-33:59:21.38,15.004667,-33.989272,1.4,4641,,,,,-3.77,0.20,0.34,,0.36,0.47,0.81,,,
10_8_1062,1,[CSF2018] 10-8-1062,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:48.14,-33:42:13.32,15.200583,-33.7037,1.93,4859,,,,,-2.91,0.23,,0.37,0.30,0.06,,0.43,,
10_8_1072,1,[CSF2018] 10-8-1072,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:47.83,-33:41:03.17,15.199292,-33.684214,1.3,4581,,,,,-3.63,0.21,0.25,,,0.56,0.81,,,
10_8_1124,1,[CSF2018] 10-8-1124,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:46.21,-33:42:34.03,15.192542,-33.709453,1.21,4539,,,,,-2.72,0.2,,-0.49,0.38,0.68,,0.19,,
10_8_1308,1,[CSF2018] 10-8-1308,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:40.35,-33:44:14.23,15.168125,-33.737286,1.36,4603,,,,,-2.97,0.23,,-0.01,0.40,0.54,,0.53,,
10_8_1325,1,[CSF2018] 10-8-1325,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:39.72,-33:39:12.42,15.1655,-33.65345,2.03,4870,,,,,-1.96,0.48,,-0.53,0.41,0.04,,-0.49,,
10_8_1366,1,[CSF2018] 10-8-1366,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,Blueward_of_RGB,01:00:38.71,-33:43:16.58,15.161292,-33.721272,2.81,5227,,,,,-2.10,0.38,,-0.22,0.41,0.01,,-0.21,,
10_8_1463,1,[CSF2018] 10-8-1463,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:36.46,-33:50:26.67,15.151917,-33.840742,1.96,4871,,,,,-2.91,0.27,,0.22,0.32,0.04,,0.26,,
10_8_1566,1,[CSF2018] 10-8-1566,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:33.94,-33:40:08.24,15.141417,-33.668956,1.04,4486,,,,,-2.42,0.2,,-0.74,0.31,0.77,,0.03,,
10_8_1615,1,[CSF2018] 10-8-1615,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,Blueward_of_RGB,01:00:33.05,-33:43:02.26,15.137708,-33.717294,2.61,5151,,,,,-2.55,0.34,0.25,,,0.01,0.26,,,
10_8_1640,1,[CSF2018] 10-8-1640,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:32.68,-33:41:05.05,15.136167,-33.684736,1.8,4758,,,,,-1.59,0.26,,-0.89,0.27,0.3,,-0.59,,
10_8_1731,1,[CSF2018] 10-8-1731,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:31.00,-33:47:12.23,15.129167,-33.786731,1.96,4869,,,,,-2.91,0.23,0.25,,,0.03,0.28,,,
10_8_1877,1,[CSF2018] 10-8-1877,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:28.63,-33:46:02.64,15.119292,-33.7674,1.49,4607,,,,,-1.87,0.26,,-0.70,0.30,0.46,,-0.24,,
