Name        , f_Name , RA_deg            , DEC_deg            , Slit, logg, Teff, l_[Fe/H]KP, [Fe/H]KP, e_[Fe/H]KP, l_A(C), A(C), e_A(C), l_[C/Fe], [C/Fe], e_[C/Fe], [C/Fe]c, l_[C/Fe]c, [C/Fe]f, e_[C/Fe]f, [Ba/H]
10_7_442    ,        , 15.209808333333333, -33.87101944444444 ,  1.0, 1.61, 4752,           , -3.33   ,       0.22,       , 5.55,   0.3 ,         , 0.45  ,     0.2 ,    0.29,          , 0.74   ,      0.2 , 
10_7_486    , b      , 15.189229166666667, -33.87074444444445 ,  0.7, 1.05, 4523, >         , -2.64   ,           ,       , 7.84,   0.15,         ,       ,         ,        ,          ,        ,          , 0.36
10_7_790    ,        , 15.052654166666667, -33.885933333333334,  0.7, 1.23, 4574,           , -3.03   ,       0.17,       , 5.35,   0.34,         , -0.05 ,     0.3 ,    0.63,          , 0.58   ,      0.3 , 
10_7_923    ,        , 15.004679166666667, -33.989272222222226,  1.0, 1.39, 4666,           , -3.87   ,       0.2 , <     , 4.76,       , <       , 0.2   ,         ,    0.49, <        , 0.69   ,          , 
10_8_1226   ,        , 15.1789875        , -33.78509722222222 ,  1.0, 1.47, 4685,           , -3.05   ,       0.21,       , 5.56,   0.33,         , 0.18  ,     0.25,    0.44,          , 0.62   ,      0.25, 
10_8_1566   , b      , 15.141420833333333, -33.668955555555556,  1.0, 1.53, 4659,           , -2.11   ,       0.34,       , 5.72,   0.4 ,         , -0.6  ,     0.2 ,    0.47,          , -0.13  ,      0.2 , 
10_8_2714   ,        , 15.061408333333333, -33.85508055555556 ,  1.0, 3.02, 5328,           , -2.96   ,       0.38, <     , 6.47,       , <       , 1.0   ,         ,    0.01, <        , 1.01   ,          , 
10_8_3804   ,        , 14.995445833333333, -33.848225         ,  1.0, 1.62, 4752, >         , -2.78   ,           ,       , 8.12,   0.22,         ,       ,         ,        ,          ,        ,          , 
10_8_3810   ,        , 14.99435          , -33.724805555555555,  1.0, 2.69, 5199,           , -3.1    ,       0.33, <     , 6.03,       , <       , 0.7   ,         ,    0.01, <        , 0.71   ,          , 
10_8_3963   , b      , 14.984029166666666, -33.718025000000004,  0.7, 1.08, 4513, >         , -3.0    ,           ,       , 7.98,   0.15,         ,       ,         ,        ,          ,        ,          , 0.8
11_1_3334   , d      , 14.9567375        , -33.67827222222222 ,  1.0, 1.62, 4721,           ,         ,           ,       , 7.76,   0.15,         ,       ,         ,        ,          ,        ,          , 
11_1_4121   , b      , 14.9210375        , -33.757022222222226,  0.7, 1.24, 4579, >         , -3.03   ,           ,       , 7.40,   0.1 ,         ,       ,         ,        ,          ,        ,          , -0.53
11_1_4296   ,        , 14.911454166666667, -33.770716666666665,  1.0, 1.52, 4720,           , -3.99   ,       0.22, <     , 5.44,       , <       , 1.0   ,         ,    0.36, <        , 1.36   ,          , 
11_1_4422   , b      , 14.90255          , -33.677363888888884,  1.0, 1.75, 4810,           , -2.85   ,       0.23,       , 6.68,   0.34,         , 1.1   ,     0.25,    0.16,          , 1.26   ,      0.25, 
11_1_4673   , b      , 14.890145833333333, -33.819472222222224,  1.0, 1.21, 4570,           , -2.94   ,       0.18,       , 5.19,   0.27,         , -0.3  ,     0.2 ,    0.65,          , 0.35   ,      0.2 , 
11_1_6015   ,        , 14.792725         , -33.76482222222222 ,  1.0, 1.87, 4824,           , -2.42   ,       0.3 ,       , 5.41,   0.36,         , -0.6  ,     0.2 ,    0.12,          , -0.48  ,      0.2 , 
