Name,lambda,Species,chi,loggf,EW,l_logepsX,logepsX
TucII-301,4313.00,C-H,,,,,5.49
TucII-301,4323.00,C-H,,,,,5.79
TucII-301,5889.95,Na I,0.00,0.11,117.5,,3.19
TucII-301,5895.92,Na I,0.00,-0.19,78.2,,2.73
TucII-301,3832.30,Mg I,2.71,0.27,152.6,,4.52
TucII-301,3838.29,Mg I,2.72,0.49,145.8,,4.22
TucII-301,5172.68,Mg I,2.71,-0.45,148.7,,4.88
TucII-301,5183.60,Mg I,2.72,-0.24,195.7,,5.18
TucII-301,3944.00,Al I,,,,,3.07
TucII-301,3961.52,Al I,0.01,-0.34,77.2,,2.13
TucII-301,3905.52,Si I,,,,,4.50
TucII-301,4226.73,Ca I,0.00,0.24,143.8,,3.20
TucII-301,4454.78,Ca I,1.90,0.26,46.3,,3.29
TucII-301,6162.17,Ca I,1.90,-0.09,29.0,,3.22
TucII-301,4246.82,Sc II,,,,,-0.38
TucII-301,4314.08,Sc II,,,,,0.02
TucII-301,4325.00,Sc II,,,,,0.19
TucII-301,4400.39,Sc II,,,,,0.44
TucII-301,3913.46,Ti II,1.12,-0.42,98.7,,2.38
TucII-301,4300.05,Ti II,1.18,-0.49,81.9,,1.90
TucII-301,4337.91,Ti II,1.08,-0.96,65.1,,1.84
TucII-301,4395.03,Ti II,1.08,-0.54,72.3,,1.57
TucII-301,4399.77,Ti II,1.24,-1.19,63.0,,2.20
TucII-301,4443.80,Ti II,1.08,-0.72,95.9,,2.35
TucII-301,4468.52,Ti II,1.13,-0.60,92.5,,2.19
TucII-301,4501.27,Ti II,1.12,-0.77,71.6,,1.81
TucII-301,4533.96,Ti II,1.24,-0.53,71.2,,1.70
TucII-301,4563.77,Ti II,1.22,-0.96,80.8,,2.33
TucII-301,4254.33,Cr I,0.00,-0.11,81.0,,2.04
TucII-301,4274.80,Cr I,0.00,-0.22,55.6,,1.53
TucII-301,4030.75,Mn I,,,,,1.31
TucII-301,4034.48,Mn I,,,,,1.45
TucII-301,3878.02,Fe I,0.96,-0.90,97.8,,4.03
TucII-301,3895.66,Fe I,0.11,-1.67,121.2,,4.54
TucII-301,4063.59,Fe I,1.56,0.06,111.5,,4.07
TucII-301,4071.74,Fe I,1.61,-0.01,96.9,,3.81
TucII-301,4132.06,Fe I,1.61,-0.68,78.5,,3.93
TucII-301,4143.41,Fe I,3.05,-0.20,40.3,,4.24
TucII-301,4143.87,Fe I,1.56,-0.51,94.4,,4.15
TucII-301,4187.04,Fe I,2.45,-0.51,56.9,,4.19
TucII-301,4202.03,Fe I,1.49,-0.69,103.3,,4.49
TucII-301,4250.79,Fe I,1.56,-0.71,79.7,,3.91
TucII-301,4260.47,Fe I,2.40,0.08,65.0,,3.71
TucII-301,4325.76,Fe I,1.61,0.01,110.7,,4.08
TucII-301,4383.55,Fe I,1.48,0.20,133.7,,4.21
TucII-301,4404.75,Fe I,1.56,-0.15,98.8,,3.84
TucII-301,4415.12,Fe I,1.61,-0.62,81.3,,3.88
TucII-301,4461.65,Fe I,0.09,-3.19,62.1,,4.18
TucII-301,4528.61,Fe I,2.18,-0.82,47.5,,3.96
TucII-301,4918.99,Fe I,2.85,-0.34,50.1,,4.27
TucII-301,4920.50,Fe I,2.83,0.07,48.6,,3.81
TucII-301,5216.27,Fe I,1.61,-2.08,42.8,,4.41
TucII-301,5269.54,Fe I,0.86,-1.33,97.0,,3.98
TucII-301,5328.04,Fe I,0.92,-1.47,89.3,,3.98
TucII-301,5328.53,Fe I,1.56,-1.85,66.7,,4.58
TucII-301,5371.49,Fe I,0.96,-1.64,84.8,,4.08
TucII-301,5397.13,Fe I,0.92,-1.98,89.2,,4.47
TucII-301,5405.77,Fe I,0.99,-1.85,64.6,,3.85
TucII-301,5429.70,Fe I,0.96,-1.88,63.1,,3.82
TucII-301,5434.52,Fe I,1.01,-2.13,65.5,,4.17
TucII-301,5446.92,Fe I,0.99,-1.91,61.2,,3.84
TucII-301,5455.61,Fe I,1.01,-2.09,70.3,,4.24
TucII-301,5506.78,Fe I,0.99,-2.79,35.3,,4.22
TucII-301,4923.93,Fe II,2.89,-1.32,56.8,,4.01
TucII-301,5018.45,Fe II,2.89,-1.22,70.2,,4.18
TucII-301,4215.52,Sr II,,,,<,-1.69
TucII-301,4554.03,Ba II,,,,<,-1.93
TucII-301,4129.00,Eu I,,,,<,-1.79
TucII-303,4313.00,C-H,,,,<,6.29
TucII-303,4323.00,C-H,,,,<,6.29
TucII-303,5889.95,Na I,0.00,0.11,132.8,,3.40
TucII-303,5895.92,Na I,0.00,-0.19,108.0,,3.28
TucII-303,5172.68,Mg I,2.71,-0.45,153.2,,4.92
TucII-303,5183.60,Mg I,2.72,-0.24,176.4,,5.07
TucII-303,3944.00,Al I,,,,<,3.41
TucII-303,3905.52,Si I,,,,,4.66
TucII-303,4226.73,Ca I,0.00,0.24,177.2,,3.67
TucII-303,4434.96,Ca I,1.89,-0.01,57.7,,3.84
TucII-303,4454.78,Ca I,1.90,0.26,49.2,,3.44
TucII-303,6162.17,Ca I,1.90,-0.09,51.8,,3.76
TucII-303,6439.07,Ca I,2.52,0.47,43.5,,3.75
TucII-303,4246.82,Sc II,,,,,-0.59
TucII-303,4314.08,Sc II,,,,,-0.22
TucII-303,4300.05,Ti II,1.18,-0.49,68.1,,1.49
TucII-303,4395.03,Ti II,1.08,-0.54,97.4,,1.95
TucII-303,4417.71,Ti II,1.17,-1.19,40.7,,1.74
TucII-303,4443.80,Ti II,1.08,-0.72,100.0,,2.17
TucII-303,4450.48,Ti II,1.08,-1.52,38.0,,1.93
TucII-303,4468.52,Ti II,1.13,-0.60,98.9,,2.08
TucII-303,4501.27,Ti II,1.12,-0.77,117.2,,2.62
TucII-303,4563.77,Ti II,1.22,-0.96,67.9,,1.97
TucII-303,4571.97,Ti II,1.57,-0.32,60.9,,1.62
TucII-303,4254.33,Cr I,0.00,-0.11,110.9,,2.68
TucII-303,4274.80,Cr I,0.00,-0.22,87.2,,2.26
TucII-303,4289.72,Cr I,0.00,-0.37,114.3,,3.02
TucII-303,4030.75,Mn I,,,,,1.63
TucII-303,4033.06,Mn I,,,,,1.98
TucII-303,4041.36,Mn I,,,,,2.96
TucII-303,4132.06,Fe I,1.61,-0.68,101.1,,4.39
TucII-303,4134.68,Fe I,2.83,-0.65,56.6,,4.86
TucII-303,4143.41,Fe I,3.05,-0.20,78.5,,5.04
TucII-303,4143.87,Fe I,1.56,-0.51,124.6,,4.73
TucII-303,4187.04,Fe I,2.45,-0.51,79.5,,4.69
TucII-303,4187.80,Fe I,2.42,-0.51,69.5,,4.47
TucII-303,4199.10,Fe I,3.05,0.16,81.8,,4.74
TucII-303,4202.03,Fe I,1.49,-0.69,127.9,,4.89
TucII-303,4233.60,Fe I,2.48,-0.58,69.9,,4.61
TucII-303,4260.47,Fe I,2.40,0.08,102.4,,4.50
TucII-303,4282.40,Fe I,2.18,-0.78,64.6,,4.38
TucII-303,4337.05,Fe I,1.56,-1.70,74.7,,4.78
TucII-303,4352.73,Fe I,2.22,-1.29,64.5,,4.93
TucII-303,4375.93,Fe I,0.00,-3.00,90.0,,4.59
TucII-303,4415.12,Fe I,1.61,-0.62,117.3,,4.64
TucII-303,4427.31,Fe I,0.05,-2.92,95.5,,4.68
TucII-303,4442.34,Fe I,2.20,-1.23,48.2,,4.57
TucII-303,4447.72,Fe I,2.22,-1.34,40.1,,4.57
TucII-303,4459.12,Fe I,2.18,-1.28,63.9,,4.85
TucII-303,4461.65,Fe I,0.09,-3.19,96.3,,5.00
TucII-303,4466.55,Fe I,2.83,-0.60,55.2,,4.75
TucII-303,4494.56,Fe I,2.20,-1.14,72.7,,4.87
TucII-303,4528.61,Fe I,2.18,-0.82,83.4,,4.71
TucII-303,4531.15,Fe I,1.48,-2.10,63.9,,4.88
TucII-303,4871.32,Fe I,2.87,-0.36,58.0,,4.57
TucII-303,4890.76,Fe I,2.88,-0.39,62.8,,4.69
TucII-303,4891.49,Fe I,2.85,-0.11,82.0,,4.69
TucII-303,4903.31,Fe I,2.88,-0.93,46.3,,4.96
TucII-303,4920.50,Fe I,2.83,0.07,86.9,,4.58
TucII-303,4994.13,Fe I,0.92,-2.97,48.9,,4.84
TucII-303,5006.12,Fe I,2.83,-0.61,45.8,,4.58
TucII-303,5012.07,Fe I,0.86,-2.64,75.3,,4.86
TucII-303,5110.41,Fe I,0.00,-3.76,68.1,,4.87
TucII-303,5171.60,Fe I,1.49,-1.72,79.2,,4.71
TucII-303,5194.94,Fe I,1.56,-2.02,68.6,,4.91
TucII-303,5216.27,Fe I,1.61,-2.08,63.1,,4.93
TucII-303,5328.04,Fe I,0.92,-1.47,137.4,,4.96
TucII-303,5328.53,Fe I,1.56,-1.85,76.4,,4.86
TucII-303,5371.49,Fe I,0.96,-1.64,109.5,,4.58
TucII-303,5397.13,Fe I,0.92,-1.98,117.3,,5.03
TucII-303,5405.77,Fe I,0.99,-1.85,118.7,,5.01
TucII-303,5429.70,Fe I,0.96,-1.88,97.9,,4.58
TucII-303,5434.52,Fe I,1.01,-2.13,86.9,,4.68
TucII-303,5446.92,Fe I,0.99,-1.91,110.0,,4.88
TucII-303,5455.61,Fe I,1.01,-2.09,104.5,,4.97
TucII-303,5497.52,Fe I,1.01,-2.83,47.3,,4.75
TucII-303,5506.78,Fe I,0.99,-2.79,54.0,,4.79
TucII-303,5586.76,Fe I,3.37,-0.14,48.0,,4.71
TucII-303,5615.64,Fe I,3.33,0.05,70.8,,4.84
TucII-303,6494.98,Fe I,2.40,-1.24,58.5,,4.85
TucII-303,4233.17,Fe II,2.58,-1.97,90.3,,4.88
TucII-303,4508.28,Fe II,2.86,-2.58,33.7,,4.80
TucII-303,4520.22,Fe II,2.81,-2.60,45.5,,4.97
TucII-303,4522.63,Fe II,2.84,-2.25,79.5,,5.20
TucII-303,4583.84,Fe II,2.81,-1.93,65.5,,4.61
TucII-303,4923.93,Fe II,2.89,-1.32,88.8,,4.45
TucII-303,5018.45,Fe II,2.89,-1.22,101.2,,4.58
TucII-303,4215.52,Sr II,,,,,-0.67
TucII-303,4554.03,Ba II,,,,<,-2.06
TucII-303,4129.00,Eu I,,,,<,-1.12
TucII-305,4313.00,C-H,,,,,5.66
TucII-305,4323.00,C-H,,,,,5.64
TucII-305,5889.95,Na I,0.00,0.11,95.3,,2.50
TucII-305,5895.92,Na I,0.00,-0.19,75.1,,2.51
TucII-305,4702.99,Mg I,4.33,-0.38,45.7,,4.76
TucII-305,5172.68,Mg I,2.71,-0.45,122.8,,4.12
TucII-305,5183.60,Mg I,2.72,-0.24,147.7,,4.34
TucII-305,3944.00,Al I,,,,,2.86
TucII-305,3961.52,Al I,0.01,-0.34,75.8,,1.88
TucII-305,3905.52,Si I,,,,,4.11
TucII-305,4226.73,Ca I,0.00,0.24,110.3,,2.16
TucII-305,4454.78,Ca I,1.90,0.26,26.7,,2.83
TucII-305,4246.82,Sc II,,,,,-0.76
TucII-305,4314.08,Sc II,,,,,-0.39
TucII-305,4325.00,Sc II,,,,,-0.61
TucII-305,4400.39,Sc II,,,,,-0.29
TucII-305,4337.91,Ti II,1.08,-0.96,57.0,,1.52
TucII-305,4395.03,Ti II,1.08,-0.54,93.1,,1.72
TucII-305,4399.77,Ti II,1.24,-1.19,32.1,,1.53
