Name,RA_hms,DEC_dms
LMC-109,04:12:01.964,-66:00:58.36
LMC-402,04:28:27.512,-69:22:08.36
LMC-204,04:33:20.143,-68:02:41.87
LMC-100,04:33:47.361,-67:37:31.51
LMC-404,04:35:40.896,-66:09:29.18
LMC-101,04:42:26.547,-65:45:50.31
LMC-003,04:53:37.090,-64:43:57.55
LMC-405,04:54:16.665,-64:50:01.06
LMC-407,04:55:47.448,-64:12:45.29
LMC-202,05:04:52.769,-72:20:42.85
LMC-400,05:08:33.774,-72:25:27.55
LMC-406,05:15:58.050,-64:49:18.10
LMC-104,05:18:01.352,-63:22:26.56
LMC-403,05:27:13.519,-65:11:46.17
LMC-414,05:27:13.879,-61:48:50.35
LMC-411,05:29:44.001,-63:54:12.14
LMC-207,05:32:54.917,-64:53:09.88
LMC-413,05:37:05.212,-64:34:42.64
LMC-319,05:38:55.896,-64:21:50.52
LMC-410,05:42:10.807,-63:53:20.39
LMC-217,05:44:00.168,-62:10:47.41
LMC-007,05:44:58.823,-72:41:45.25
LMC-206,05:45:46.652,-65:46:35.40
LMC-116,05:46:35.167,-64:20:32.05
LMC-119,05:51:51.026,-63:56:37.60
LMC-409,05:55:03.971,-63:54:43.19
LMC-215,05:56:37.323,-66:05:17.85
LMC-124,06:08:14.982,-62:07:23.33
LMC-323,06:17:10.604,-73:59:35.81
LMC-008,06:27:25.744,-67:01:18.05
LMC-416,06:45:46.181,-66:29:56.95
