Name,Ref,Reference,Loc,MP_key,alpha_key,Ncap_key,C_key,RA_hms,DEC_dms,RA_deg,DEC_deg,RV,e_RV,Teff,e_Teff,logg,e_logg,vmic,e_vmic,G_mag,t_exp,Date,Instrument,epsc,ulc,[C/H],ul[C/H],e_[C/H],[C/Fe],ul[C/Fe],e_[C/Fe],[C/Fe]_c,epsna,[Na/H],ul[Na/H],e_[Na/H],[Na/Fe],e_[Na/Fe],epsmg,[Mg/H],ul[Mg/H],e_[Mg/H],[Mg/Fe],e_[Mg/Fe],epsal,[Al/H],ul[Al/H],e_[Al/H],[Al/Fe],e_[Al/Fe],epssi,[Si/H],ul[Si/H],e_[Si/H],[Si/Fe],e_[Si/Fe],epsk,[K/H],ul[K/H],e_[K/H],[K/Fe],e_[K/Fe],epsca,[Ca/H],ul[Ca/H],e_[Ca/H],[Ca/Fe],e_[Ca/Fe],epssc,[Sc/H],ul[Sc/H],e_[Sc/H],[Sc/Fe],e_[Sc/Fe],epsti,[Ti/H],ul[Ti/H],e_[Ti/H],[Ti/Fe],e_[Ti/Fe],epstiII,[TiII/H],ul[TiII/H],e_[TiII/H],[TiII/Fe],e_[TiII/Fe],epsv,[V/H],ul[V/H],e_[V/H],[V/Fe],e_[V/Fe],epsvII,[VII/H],ul[VII/H],e_[VII/H],[VII/Fe],e_[VII/Fe],epscr,[Cr/H],ul[Cr/H],e_[Cr/H],[Cr/Fe],e_[Cr/Fe],epscrII,[CrII/H],ul[CrII/H],e_[CrII/H],[CrII/Fe],e_[CrII/Fe],epsmn,[Mn/H],ul[Mn/H],e_[Mn/H],[Mn/Fe],e_[Mn/Fe],epsfe,[Fe/H],ul[Fe/H],e_[Fe/H],[Fe/Fe],e_[Fe/Fe],epsfeII,[FeII/H],ul[FeII/H],e_[FeII/H],[FeII/Fe],e_[FeII/Fe],epsco,[Co/H],ul[Co/H],e_[Co/H],[Co/Fe],e_[Co/Fe],epsni,[Ni/H],ul[Ni/H],e_[Ni/H],[Ni/Fe],e_[Ni/Fe],epssr,[Sr/H],ul[Sr/H],e_[Sr/H],[Sr/Fe],e_[Sr/Fe],epsy,[Y/H],ul[Y/H],e_[Y/H],[Y/Fe],e_[Y/Fe],epszr,[Zr/H],ul[Zr/H],e_[Zr/H],[Zr/Fe],e_[Zr/Fe],epsba,[Ba/H],ul[Ba/H],e_[Ba/H],[Ba/Fe],e_[Ba/Fe],epsla,[La/H],ul[La/H],e_[La/H],[La/Fe],e_[La/Fe],epseu,[Eu/H],ul[Eu/H],e_[Eu/H],[Eu/Fe],ul[Eu/Fe],e_[Eu/Fe]
LMC-109,CHI24,Chiti+2024,DW,VMP,,R1,,04:12:01.964,-66:00:58.36,63.0082,-66.0162,222.5,2.0,4504.0,155.0,1.1,0.31,2.58,0.28,17.01,20; 40,2022-12-19; 2022-12-20,MIKE,5.03,,-3.4,,0.39,-0.55,,0.23,0.19,3.21,-3.03,,0.34,-0.18,0.21,5.18,-2.42,,0.26,0.43,0.22,2.4,-4.05,,0.66,-1.2,0.61,5.09,-2.42,,0.69,0.43,0.61,2.79,-2.24,,0.26,0.61,0.22,3.72,-2.62,,0.26,0.23,0.22,0.39,-2.76,,0.24,0.09,0.28,2.2,-2.75,,0.32,0.1,0.2,2.46,-2.49,,0.23,0.36,0.3,1.04,-2.89,,0.31,-0.04,0.21,1.72,,-2.21,,0.64,,2.52,-3.12,,0.3,-0.27,0.2,2.93,-2.71,,0.22,0.14,0.37,2.03,-3.4,,0.28,-0.55,0.21,4.65,-2.85,,0.32,0.0,0.2,4.66,-2.84,,0.23,0.01,0.34,1.88,-3.11,,0.34,-0.26,0.2,3.36,-2.86,,0.27,-0.01,0.21,-0.22,-3.09,,0.51,-0.24,0.49,-0.79,-3.0,,0.24,-0.15,0.3,0.36,,-2.22,,0.63,,-0.92,-3.1,,0.26,-0.25,0.27,-1.35,,-2.45,,0.4,,-1.85,-2.37,,0.26,0.48,,0.28
LMC-402,CHI24,Chiti+2024,DW,EMP,,,,04:28:27.512,-69:22:08.36,67.1146,-69.369,,,4545.0,150.0,1.12,0.3,2.14,0.2,17.21,20,2023-01-27,MIKE,,,,,,,-0.1,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMC-204,CHI24,Chiti+2024,DW,VMP,,R1,,04:33:20.143,-68:02:41.87,68.3339,-68.045,252.3,2.0,4594.0,173.0,0.95,0.36,3.02,0.34,17.3,47,2022-12-01,MIKE,5.45,,-2.98,,0.46,-0.15,,0.31,0.59,3.16,-3.08,,0.35,-0.25,0.27,5.08,-2.52,,0.31,0.31,0.28,2.03,-4.42,,0.64,-1.59,0.63,4.81,-2.7,,0.78,0.13,0.73,2.76,-2.27,,0.31,0.56,0.28,3.6,-2.74,,0.3,0.09,0.29,0.17,-2.98,,0.3,-0.15,0.33,2.26,-2.69,,0.35,0.14,0.27,2.21,-2.74,,0.3,0.09,0.34,1.36,,-2.57,,0.26,,1.69,,-2.24,,0.59,,,,,,,,,,,,,,2.72,,-2.71,,0.12,,4.67,-2.83,,0.35,0.0,0.27,4.61,-2.89,,0.29,-0.06,0.38,1.91,-3.08,,0.35,-0.25,0.27,3.14,-3.08,,0.35,-0.25,0.27,-1.4,-4.27,,0.3,-1.44,0.34,-0.57,,-2.78,,0.05,,0.4,,-2.18,,0.65,,-1.67,-3.85,,0.31,-1.02,0.32,-1.12,,-2.22,,0.61,,-1.68,,-2.2,,,0.63,
LMC-100,CHI24,Chiti+2024,DW,VMP,,R1,,04:33:47.361,-67:37:31.51,68.4473,-67.6254,289.0,2.0,4612.0,162.0,1.1,0.32,2.63,0.29,17.36,25; 80,2022-12-01; 2022-12-19,MIKE,5.48,,-2.95,,0.4,-0.28,,0.26,0.44,3.49,-2.75,,0.34,-0.08,0.23,5.32,-2.28,,0.28,0.39,0.23,2.82,-3.63,,0.67,-0.96,0.66,4.49,-3.02,,0.85,-0.35,0.74,,,,,,,3.92,-2.42,,0.27,0.25,0.24,0.61,-2.54,,0.25,0.13,0.29,2.27,-2.68,,0.32,-0.01,0.22,2.59,-2.36,,0.25,0.31,0.3,1.1,-2.83,,0.47,-0.16,0.38,1.86,,-2.07,,0.6,,2.88,-2.76,,0.31,-0.09,0.22,3.25,-2.39,,0.24,0.28,0.36,2.59,-2.84,,0.28,-0.17,0.23,4.83,-2.67,,0.32,0.0,0.22,4.81,-2.69,,0.25,-0.02,0.34,2.38,-2.61,,0.36,0.06,0.23,3.56,-2.66,,0.32,0.01,0.25,-0.82,-3.69,,0.34,-1.02,0.35,-0.52,,-2.73,,-0.06,,0.69,,-1.89,,0.78,,-1.24,-3.42,,0.27,-0.75,0.28,-1.27,,-2.37,,0.3,,-1.78,,-2.3,,,0.37,
LMC-404,CHI24,Chiti+2024,DW,VMP,,,,04:35:40.896,-66:09:29.18,68.9204,-66.1581,,,4676.0,150.0,1.38,0.3,2.01,0.2,17.45,15,2023-03-17,MagE,,,,,,-0.55,,0.34,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.42,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMC-101,CHI24,Chiti+2024,DW,NaN,,,,04:42:26.547,-65:45:50.31,70.6106,-65.764,,,,,,,,,17.07,20,2022-11-30,MIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMC-003,CHI24,Chiti+2024,DW,VMP,,,,04:53:37.090,-64:43:57.55,73.4045,-64.7327,281.5,2.0,4540.0,158.0,0.8,0.33,2.9,0.28,17.05,100,2022-11-30,MIKE,5.08,,-3.35,,0.4,-0.38,,0.24,0.35,3.36,-2.88,,0.37,0.09,0.28,5.01,-2.59,,0.26,0.38,0.21,2.51,-3.94,,0.62,-0.97,0.65,4.19,-3.32,,0.65,-0.35,0.62,2.51,-2.52,,0.25,0.45,0.22,3.56,-2.78,,0.24,0.19,0.22,0.02,-3.13,,0.24,-0.16,0.29,2.15,-2.8,,0.3,0.17,0.2,2.12,-2.83,,0.26,0.14,0.32,1.03,,-2.9,,0.07,,1.41,,-2.52,,0.45,,2.26,-3.38,,0.29,-0.41,0.2,2.73,-2.91,,0.22,0.06,0.36,2.35,,-3.08,,-0.11,,4.53,-2.97,,0.3,0.0,0.2,4.49,-3.01,,0.22,-0.04,0.34,2.06,-2.93,,0.35,0.04,0.26,3.53,-2.69,,0.27,0.28,0.21,-0.23,-3.1,,0.29,-0.13,0.32,-0.67,,-2.88,,0.09,,0.06,,-2.52,,0.45,,-1.96,-4.14,,0.24,-1.17,0.28,-1.73,,-2.83,,0.14,,-2.21,,-2.73,,,0.24,
LMC-405,CHI24,Chiti+2024,DW,VMP,,,,04:54:16.665,-64:50:01.06,73.5694,-64.8336,,,4653.0,150.0,1.33,0.3,2.04,0.2,17.38,25,2023-01-27,MIKE,,,,,,-0.35,,0.28,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMC-407,CHI24,Chiti+2024,DW,VMP,,,,04:55:47.448,-64:12:45.29,73.9477,-64.2126,,,4631.0,150.0,1.29,0.3,2.05,0.2,17.33,20,2023-01-27,MIKE,,,,,,-0.49,,0.28,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.01,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMC-202,CHI24,Chiti+2024,DW,NaN,,,,05:04:52.769,-72:20:42.85,76.2199,-72.3452,,,,,,,,,17.42,25,2022-12-19,MIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
