Name,[Fe/H],e_[Fe/H],ul[C/Fe],[C/Fe],e_[C/Fe],[Mg/Fe],e_[Mg/Fe],[Ca/Fe],e_[Ca/Fe],ul[Eu/Fe],[Eu/Fe],e_[Eu/Fe]
LMC-003,-2.97,0.20,,-0.38,0.20,0.38,0.20,0.19,0.20,0.24,,
LMC-100,-2.67,0.22,,-0.28,0.22,0.39,0.22,0.25,0.22,0.37,,
LMC-104,-2.56,0.21,,-0.62,0.21,0.34,0.21,0.19,0.21,,0.18,0.21
LMC-109,-2.85,0.20,,-0.55,0.20,0.43,0.20,0.23,0.20,,0.48,0.20
LMC-119,-4.15,0.20,-0.35,,,0.42,0.20,0.47,0.20,1.04,,
LMC-124,-2.97,0.21,,-0.33,0.21,0.49,0.21,0.37,0.21,0.47,,
LMC-204,-2.83,0.27,,-0.15,0.27,0.31,0.27,0.09,0.27,0.63,,
LMC-206,-2.56,0.24,,-0.34,0.24,-0.05,0.24,0.02,0.24,0.36,,
LMC-207,-3.34,0.25,,-0.12,0.25,0.16,0.26,0.48,0.25,0.54,,
LMC-215,-3.09,0.17,,-0.14,0.17,0.48,0.17,0.28,0.17,0.24,,
LMC-319,-2.69,0.24,,-0.20,0.36,,,,,,,
LMC-323,-2.10,0.32,,-0.80,0.47,,,,,,,
LMC-400,-2.85,0.28,,-0.42,0.27,,,,,,,
LMC-402,-3.20,0.25,-0.10,,,,,,,,,
LMC-403,-2.55,0.36,,-0.49,0.28,,,,,,,
LMC-404,-2.42,0.32,,-0.55,0.34,,,,,,,
LMC-405,-2.50,0.31,,-0.35,0.28,,,,,,,
LMC-406,-2.22,0.41,,-0.54,0.28,,,,,,,
LMC-407,-2.01,0.42,,-0.49,0.28,,,,,,,
LMC-409,-2.63,0.21,-0.55,,,,,,,,,
LMC-410,-2.64,0.36,,-0.41,0.27,,,,,,,
LMC-411,-2.79,0.17,-0.45,,,,,,,,,
LMC-413,-2.37,0.44,,-0.68,0.26,,,,,,,
LMC-414,-2.30,0.22,,-0.37,0.28,,,,,,,
LMC-416,-2.48,0.22,,-0.59,0.27,,,,,,,
