Name,Species,logepsX_sun,lambda,chi,loggf,EW,l_logepsX,logepsX
LMC-003,11.0,6.24,5889.951,0.0,0.108,172.91,,3.144
LMC-003,11.0,6.24,5895.924,0.0,-0.194,181.87,,3.573
LMC-003,12.0,7.6,4571.096,0.0,-5.623,93.05,,5.149
LMC-003,12.0,7.6,4702.991,4.346,-0.44,57.35,,4.852
LMC-003,12.0,7.6,5528.405,4.346,-0.498,71.3,,5.043
LMC-003,13.0,6.45,3962.0,,,,,2.513
LMC-003,14.0,7.51,3906.0,,,,,4.194
LMC-003,19.0,5.03,7698.974,0.0,-0.178,31.63,,2.51
LMC-003,20.0,6.34,4283.011,1.886,-0.224,50.33,,3.508
LMC-003,20.0,6.34,4318.652,1.899,-0.21,49.43,,3.494
LMC-003,20.0,6.34,4425.437,1.879,-0.358,37.88,,3.438
LMC-003,20.0,6.34,4435.679,1.886,-0.519,31.89,,3.505
LMC-003,20.0,6.34,4454.779,1.899,0.258,67.66,,3.264
LMC-003,20.0,6.34,4455.887,1.899,-0.518,31.74,,3.516
LMC-003,20.0,6.34,5588.749,2.524,0.21,53.7,,3.814
LMC-003,20.0,6.34,6122.217,1.886,-0.316,74.06,,3.781
LMC-003,20.0,6.34,6162.173,1.899,-0.09,79.51,,3.633
LMC-003,20.0,6.34,6439.075,2.524,0.47,60.91,,3.602
LMC-003,21.1,3.15,4246.0,,,,,-0.225
LMC-003,21.1,3.15,4313.0,,,,,-0.08
LMC-003,21.1,3.15,4324.0,,,,,-0.078
LMC-003,21.1,3.15,4399.0,,,,,-0.042
LMC-003,21.1,3.15,4415.0,,,,,0.039
LMC-003,21.1,3.15,4669.0,,,,,0.263
LMC-003,21.1,3.15,5526.0,,,,,0.27
LMC-003,22.0,4.95,3958.205,0.048,-0.11,101.75,,2.43
LMC-003,22.0,4.95,3989.758,0.021,-0.13,69.46,,1.912
LMC-003,22.0,4.95,3998.636,0.048,0.02,81.85,,1.973
LMC-003,22.0,4.95,4533.239,0.848,0.54,61.28,,2.101
LMC-003,22.0,4.95,4534.776,0.835,0.35,54.25,,2.18
LMC-003,22.0,4.95,4991.066,0.835,0.45,67.55,,2.207
LMC-003,22.0,4.95,4999.503,0.825,0.32,40.2,,1.963
LMC-003,22.0,4.95,5007.209,0.818,0.17,50.83,,2.252
LMC-003,22.0,4.95,5210.384,0.048,-0.82,53.8,,2.301
LMC-003,22.1,4.95,4025.129,0.607,-2.11,105.14,,2.393
LMC-003,22.1,4.95,4053.821,1.891,-1.07,45.85,,2.07
LMC-003,22.1,4.95,4290.215,1.164,-0.87,123.98,,2.11
LMC-003,22.1,4.95,4312.86,1.179,-1.12,115.54,,2.219
LMC-003,22.1,4.95,4394.059,1.22,-1.77,56.29,,2.063
LMC-003,22.1,4.95,4395.031,1.083,-0.54,130.95,,1.765
LMC-003,22.1,4.95,4395.839,1.242,-1.93,51.44,,2.185
LMC-003,22.1,4.95,4399.765,1.236,-1.2,93.21,,2.006
LMC-003,22.1,4.95,4418.331,1.236,-1.99,51.63,,2.239
LMC-003,22.1,4.95,4443.801,1.079,-0.71,116.85,,1.669
LMC-003,22.1,4.95,4444.554,1.115,-2.2,45.62,,2.212
LMC-003,22.1,4.95,4450.482,1.083,-1.52,87.35,,2.044
LMC-003,22.1,4.95,4468.493,1.13,-0.63,126.04,,1.793
LMC-003,22.1,4.95,4501.27,1.115,-0.77,117.03,,1.763
LMC-003,22.1,4.95,4529.48,1.571,-1.75,50.37,,2.385
LMC-003,22.1,4.95,4545.133,1.13,-2.45,43.87,,2.446
LMC-003,22.1,4.95,4571.971,1.571,-0.31,125.62,,2.011
LMC-003,22.1,4.95,4583.409,1.164,-2.84,20.77,,2.456
LMC-003,22.1,4.95,4763.883,1.22,-2.4,33.49,,2.329
LMC-003,22.1,4.95,4798.531,1.079,-2.66,26.29,,2.279
LMC-003,22.1,4.95,5129.156,1.89,-1.34,37.48,,2.135
LMC-003,23.0,3.93,4379.0,,,,<,1.028
LMC-003,23.0,3.93,4384.0,,,,<,1.32
LMC-003,23.1,3.93,3952.0,,,,<,1.412
LMC-003,23.1,3.93,4006.0,,,,<,1.579
LMC-003,24.0,5.64,5206.023,0.941,0.02,85.82,,2.17
LMC-003,24.0,5.64,5409.783,1.029,-0.67,39.2,,2.352
LMC-003,24.1,5.64,4558.644,4.07,-0.43,23.64,,2.733
LMC-003,25.0,5.43,4753.0,,,,<,2.429
LMC-003,25.0,5.43,4762.0,,,,<,2.538
LMC-003,25.0,5.43,4782.0,,,,<,2.405
