Name,RA_hms,DEC_dms,G_mag,Teff,e_Teff,logg,e_logg,vmic,e_vmic,[Fe/H],e_[Fe/H],RV,e_RV,[C/Fe],e_[C/Fe],ul_[C/Fe],[C/Fe]_c,[Mg/Fe],e_[Mg/Fe],[Ca/Fe],e_[Ca/Fe],[Eu/Fe],e_[Eu/Fe],ul_[Eu/Fe],t_exp,Date,Instrument
LMC-003,04:53:37.090,-64:43:57.55,17.05,4540,158,0.80,0.33,2.90,0.28,-2.97,0.20,281.5,2.0,-0.38,0.20,0,0.35,0.38,0.20,0.19,0.20,0.24,nan,1,100,"2022-11-30",MIKE
LMC-007,05:44:58.823,-72:41:45.25,17.04,,,,,,,,,,,,,,,,,,,,,,20,"2022-11-30",MIKE
LMC-008,06:27:25.744,-67:01:18.05,16.90,,,,,,,,,,,,,,,,,,,,,,20,"2022-11-30",MIKE
LMC-100,04:33:47.361,-67:37:31.51,17.36,4612,162,1.10,0.32,2.63,0.29,-2.67,0.22,289.0,2.0,-0.28,0.22,0,0.44,0.39,0.22,0.25,0.22,0.37,nan,1,25; 80,"2022-12-01; 2022-12-19",MIKE
LMC-101,04:42:26.547,-65:45:50.31,17.07,,,,,,,,,,,,,,,,,,,,,,20,"2022-11-30",MIKE
LMC-104,05:18:01.352,-63:22:26.56,16.50,4531,155,1.05,0.31,2.89,0.28,-2.56,0.21,224.5,2.0,-0.62,0.21,0,0.15,0.34,0.21,0.19,0.21,0.18,0.21,0,15; 30; 30,"2022-12-01; 2022-12-19; 2022-12-20",MIKE
LMC-109,04:12:01.964,-66:00:58.36,17.01,4504,155,1.10,0.31,2.58,0.28,-2.85,0.20,222.5,2.0,-0.55,0.20,0,0.19,0.43,0.20,0.23,0.20,0.48,0.20,0,20; 40,"2022-12-19; 2022-12-20",MIKE
LMC-116,05:46:35.167,-64:20:32.05,17.18,,,,,,,,,,,,,,,,,,,,,,15,"2022-11-30",MIKE
LMC-119,05:51:51.026,-63:56:37.60,16.85,4315,207,0.80,0.33,2.66,0.28,-4.15,0.20,300.7,2.0,-0.35,nan,1,0.30,0.42,0.20,0.47,0.20,1.04,nan,1,105,"2022-12-01",MIKE
LMC-124,06:08:14.982,-62:07:23.33,16.76,4531,160,1.10,0.32,2.78,0.29,-2.97,0.21,284.2,2.0,-0.33,0.21,0,0.40,0.49,0.21,0.37,0.21,0.47,nan,1,60,"2022-12-20",MIKE
LMC-202,05:04:52.769,-72:20:42.85,17.42,,,,,,,,,,,,,,,,,,,,,,25,"2022-12-19",MIKE
LMC-204,04:33:20.143,-68:02:41.87,17.30,4594,173,0.95,0.36,3.02,0.34,-2.83,0.27,252.3,2.0,-0.15,0.27,0,0.59,0.31,0.27,0.09,0.27,0.63,nan,1,47,"2022-12-01",MIKE
LMC-206,05:45:46.652,-65:46:35.40,17.08,4720,170,1.65,0.34,2.56,0.31,-2.56,0.24,277.2,2.0,-0.34,0.24,0,0.05,-0.05,0.24,0.02,0.24,0.36,nan,1,110,"2022-12-01",MIKE
LMC-207,05:32:54.917,-64:53:09.88,17.10,4486,172,0.80,0.30,2.57,0.32,-3.34,0.25,334.0,2.0,-0.12,0.25,0,0.65,0.16,0.26,0.48,0.25,0.54,nan,1,115,"2022-12-01",MIKE
LMC-215,05:56:37.323,-66:05:17.85,17.16,4567,157,0.75,0.35,2.50,0.27,-3.09,0.17,299.6,2.0,-0.14,0.17,0,0.61,0.48,0.17,0.28,0.17,0.24,nan,1,105,"2022-12-19",MIKE
LMC-217,05:44:00.168,-62:10:47.41,17.08,,,,,,,,,,,,,,,,,,,,,,25,"2022-12-19",MIKE
LMC-319,05:38:55.896,-64:21:50.52,17.33,4631,150,1.29,0.30,2.05,0.2,-2.69,0.24,,,-0.20,0.36,0,0.41,,,,,,,,15,"2023-03-17",MagE
LMC-323,06:17:10.604,-73:59:35.81,17.46,4609,150,1.25,0.30,2.08,0.2,-2.10,0.32,,,-0.80,0.47,0,-0.18,,,,,,,,10,"2023-03-16",MagE
LMC-400,05:08:33.774,-72:25:27.55,16.82,4422,150,0.9,0.30,2.26,0.2,-2.85,0.28,,,-0.42,0.27,0,0.31,,,,,,,,15,"2023-01-27",MIKE
