Name,RV,e_RV,[Fe/H],e_[Fe/H],[C/Fe],e_[C/Fe],ul_[C/Fe],[C/Fe]_c,[Mg/Fe],e_[Mg/Fe],[Ca/Fe],e_[Ca/Fe],[Eu/Fe],e_[Eu/Fe],ul_[Eu/Fe]
LMC-003,281.5,2.0,-2.97,0.20,-0.38,0.20,0,0.35,0.38,0.20,0.19,0.20,0.24,nan,1
LMC-100,289.0,2.0,-2.67,0.22,-0.28,0.22,0,0.44,0.39,0.22,0.25,0.22,0.37,nan,1
LMC-104,224.5,2.0,-2.56,0.21,-0.62,0.21,0,0.15,0.34,0.21,0.19,0.21,0.18,0.21,0
LMC-109,222.5,2.0,-2.85,0.20,-0.55,0.20,0,0.19,0.43,0.20,0.23,0.20,0.48,0.20,0
LMC-119,300.7,2.0,-4.15,0.20,-0.35,nan,1,0.30,0.42,0.20,0.47,0.20,1.04,nan,1
LMC-124,284.2,2.0,-2.97,0.21,-0.33,0.21,0,0.40,0.49,0.21,0.37,0.21,0.47,nan,1
LMC-204,252.3,2.0,-2.83,0.27,-0.15,0.27,0,0.59,0.31,0.27,0.09,0.27,0.63,nan,1
LMC-206,277.2,2.0,-2.56,0.24,-0.34,0.24,0,0.05,-0.05,0.24,0.02,0.24,0.36,nan,1
LMC-207,334.0,2.0,-3.34,0.25,-0.12,0.25,0,0.65,0.16,0.26,0.48,0.25,0.54,nan,1
LMC-215,299.6,2.0,-3.09,0.17,-0.14,0.17,0,0.61,0.48,0.17,0.28,0.17,0.24,nan,1
