Name,Teff,logg,Vmic,Fe/H_m,Fe/H_c
HD 2796,4950,1.5,2.1,-2.4,-2.47
HD 186478,4700,1.3,2.0,-2.6,-2.59
BD+17 3248,5250,1.4,1.5,-2.0,-2.07
BD-18 5550,4750,1.4,1.8,-3.0,-3.06
CD-38 245,4800,1.5,2.2,-4.0,-4.19
BS 16467-062,5200,2.5,1.6,-4.0,-3.77
BS 16477-003,4900,1.7,1.8,-3.4,-3.36
BS 17569-049,4700,1.2,1.9,-3.0,-2.88
CS 22169-035,4700,1.2,2.2,-3.0,-3.04
CS 22172-002,4800,1.3,2.2,-4.0,-3.86
CS 22186-025,4900,1.5,2.0,-3.0,-3.00
CS 22189-009,4900,1.7,1.9,-3.5,-3.49
CS 22873-055,4550,0.7,2.2,-3.0,-2.99
CS 22873-166,4550,0.9,2.1,-3.0,-2.97
CS 22878-101,4800,1.3,2.0,-3.0,-3.25
CS 22885-096,5050,2.6,1.8,-4.0,-3.78
CS 22891-209,4700,1.0,2.1,-3.0,-3.29
CS 22892-052,4850,1.6,1.9,-3.0,-3.03
CS 22896-154,5250,2.7,1.2,-2.7,-2.69
CS 22897-008,4900,1.7,2.0,-3.5,-3.41
CS 22948-066,5100,1.8,2.0,-3.0,-3.14
CS 22952-015,4800,1.3,2.1,-3.4,-3.43
CS 22953-003,5100,2.3,1.7,-3.0,-2.84
CS 22956-050,4900,1.7,1.8,-3.3,-3.33
CS 22966-057,5300,2.2,1.4,-2.6,-2.62
CS 22968-014,4850,1.7,1.9,-3.5,-3.56
CS 29491-053,4700,1.3,2.0,-3.0,-3.04
CS 29495-041,4800,1.5,1.8,-2.8,-2.82
CS 29502-042,5100,2.5,1.5,-3.0,-3.19
CS 29516-024,4650,1.2,1.7,-3.0,-3.06
CS 29518-051,5200,2.6,1.4,-2.8,-2.69
CS 30325-094,4950,2.0,1.5,-3.4,-3.30
