Name,Simbad_Identifier,Teff,logg,Vmic,Fe/H
J163044,SDSS J163044.49+124947.8,4700,1.40,2.1,-2.54
J163059,SDSS J163059.32+124725.6,4600,1.20,2.2,-2.85
J163104,SDSS J163104.50+124614.4,4870,1.70,2.2,-2.55
J163114,SDSS J163114.06+124526.6,4750,1.40,2.0,-2.30
LeoIV-S1,SDSS J113255.99-003027.8,4500,1.10,2.5,-2.90
J113258,SDSS J113258.70-003449.9,4800,1.50,2.4,-2.20
J125713,SDSS J125713.63+341846.9,4590,1.20,2.0,-2.60
BooII-7,SDSS J135801.42+125105.0,4910,2.50,2.0,-3.10
BooII-15,SDSS J135751.18+125136.9,4980,2.60,2.3,-3.00
J132844,SDSS J132844.25+333411.8,4450,0.81,2.0,-2.50
J132755,SDSS J132755.65+333324.5,4350,0.72,2.3,-2.20
