Species,lambda,chi,loggf,BM-235,HE0033-2141,HE0050-0918,HE1210-2729,HE2234-4757,BM-028,BM-209,BM-308,HE0012-5643,HE0017-3646,HE0048-1109,HE0324-0122,BM-056,BM-121,HE0007-1752,HE0039-0216,HE0429-4620,HE1401-0010,HE2138-0314,HE2315-4306,HE2319-5228,HE2322-6125
O I,6300.30,0.00,0.00,,,,,,,,,,,,,12.0,12.4,,,,,,,,
O I,6363.78,0.02,0.00,8.2,,,,,,,,,,,,,,,,,,,,,
Na I,5682.63,2.10,0.00,17.9,,,,,,7.2,,,,,,,,,,,,,,30.9,
Na I,5688.20,2.10,0.00,36.0,,,,,,,,,8.3,,,18.2,,,,,,,,34.6,
Na I,5895.92,0.00,0.00,,128.2,242.6,151.8,150.6,202.0,137.8,169.2,,136.6,77.3,165.8,192.0,193.9,94.4,53.7,125.0,51.8,91.0,147.0,,143.7
Na I,5889.95,0.00,0.11,261.8,144.1,259.3,178.3,178.8,276.3,160.1,191.6,28.4,168.9,100.4,190.5,228.8,223.4,100.3,67.7,163.5,70.6,112.5,164.5,,159.5
Mg I,3838.29,2.72,0.49,,,,,245.2,,,,,,,,,,,,,,,,,
Mg I,3829.36,2.71,0.00,,154.7,292.4,178.3,174.9,,,215.2,70.5,166.5,,,,,,,,,122.7,,,
Mg I,5183.60,2.72,0.00,,178.4,366.4,,225.9,,257.5,272.5,,195.8,,239.8,,290.9,161.7,122.5,219.0,128.4,,248.4,,219.6
Mg I,4057.50,4.35,0.00,,33.4,123.0,,34.0,70.1,,,,,23.0,42.4,83.9,,14.6,,,10.0,18.3,,,
Mg I,4571.10,0.00,0.00,140.8,40.6,99.5,54.7,71.1,,,87.3,,,,53.7,105.4,,,,,,13.9,,45.7,
Mg I,4702.99,4.33,0.00,140.6,57.2,133.8,67.7,61.8,99.5,,92.7,9.6,64.9,40.9,77.9,109.6,,,,84.9,,36.9,,58.6,76.4
Mg I,3832.30,2.71,0.27,,,,,194.1,,,,,,,,,,,,,,,,,
