Name,System,sub_System,Species,N,l_logepsX,logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe],e_logepsX
BM-235,Helmi,trail,C-H,2,,6.37,,-2.06,,-0.04,0.1
BM-235,Helmi,trail,C-N,1,,6.6,,-1.23,,0.4,0.3
BM-235,Helmi,trail,N-H,1,,6.4,,-1.43,,0.2,0.3
BM-235,Helmi,trail,O I,1,,7.79,,-0.9,,0.73,0.15
BM-235,Helmi,trail,Na I,4,,4.66,,-1.58,,0.05,0.15
BM-235,Helmi,trail,Mg I,8,,6.29,,-1.31,,0.31,0.11
BM-235,Helmi,trail,Al I,,,,,,,,
BM-235,Helmi,trail,Si I,6,,6.22,,-1.29,,0.34,0.17
BM-235,Helmi,trail,Ca I,23,,5.1,,-1.24,,0.39,0.19
BM-235,Helmi,trail,Sc II,9,,1.82,,-1.33,,0.3,0.17
BM-235,Helmi,trail,Ti I,28,,3.59,,-1.36,,0.27,0.16
BM-235,Helmi,trail,Ti II,38,,3.71,,-1.24,,0.39,0.17
BM-235,Helmi,trail,V II,3,,2.21,,-1.72,,-0.09,0.1
BM-235,Helmi,trail,Cr I,20,,3.96,,-1.68,,-0.05,0.17
BM-235,Helmi,trail,Cr II,3,,4.14,,-1.5,,0.12,0.1
BM-235,Helmi,trail,Mn I,9,,3.35,,-2.08,,-0.45,0.15
BM-235,Helmi,trail,Fe I,231,,5.87,,-1.63,,0.0,0.15
BM-235,Helmi,trail,Fe II,28,,5.84,,-1.66,,-0.03,0.12
BM-235,Helmi,trail,Co I,5,,3.29,,-1.7,,-0.07,0.16
BM-235,Helmi,trail,Ni I,27,,4.55,,-1.67,,-0.04,0.15
BM-235,Helmi,trail,Cu I,2,,2.16,,-2.03,,-0.4,0.17
BM-235,Helmi,trail,Zn I,2,,2.87,,-1.69,,-0.06,0.1
BM-235,Helmi,trail,Sr II,2,,1.33,,-1.54,,0.09,0.15
BM-235,Helmi,trail,Y II,2,,0.3,,-1.91,,-0.28,0.1
BM-235,Helmi,trail,Zr II,7,,1.32,,-1.26,,0.37,0.2
BM-235,Helmi,trail,Ba II,5,,0.63,,-1.55,,0.08,0.1
BM-235,Helmi,trail,La II,14,,-0.23,,-1.33,,0.29,0.1
BM-235,Helmi,trail,Ce II,7,,-0.02,,-1.6,,0.03,0.1
BM-235,Helmi,trail,Pr II,3,,-0.49,,-1.21,,0.42,0.1
BM-235,Helmi,trail,Nd II,39,,0.2,,-1.22,,0.41,0.2
BM-235,Helmi,trail,Sm II,22,,-0.18,,-1.14,,0.49,0.2
BM-235,Helmi,trail,Eu II,4,,-0.63,,-1.15,,0.48,0.1
BM-235,Helmi,trail,Gd II,5,,-0.05,,-0.93,,0.7,0.15
BM-235,Helmi,trail,Dy II,2,,0.0,,-0.81,,0.82,0.15
BM-235,Helmi,trail,Ho II,2,,-0.47,,-0.95,,0.68,0.15
