Name,Species,N,l_logepsX,logepsX,l_[X/H],[X/H],e_[X/H],l_[X/Fe],[X/Fe],e_[X/Fe]
TucV-1,C-H,,,+5.99,,-2.44,0.13,,+1.11,0.11
#TucV-1,C_corr,,,+6.65,,-1.78,0.13,,+1.77,0.11
TucV-1,C-N,,,+6.09,,-1.75,0.35,,+1.81,0.34
TucV-1,O I,3,,+7.46,,-1.23,0.26,,+2.32,0.27
TucV-1,Na I,4,,+3.64,,-2.60,0.15,,+0.95,0.15
TucV-1,Mg I,6,,+5.41,,-2.19,0.10,,+1.36,0.11
TucV-1,Al I,1,,+2.90,,-3.55,0.45,,0.00,0.45
TucV-1,Si I,1,,+4.99,,-2.52,0.22,,+1.03,0.23
TucV-1,K I,2,,+2.25,,-2.78,0.11,,+0.77,0.11
TucV-1,Ca I,16,,+3.26,,-3.08,0.09,,+0.47,0.09
TucV-1,Sc II,7,,-0.02,,-3.17,0.14,,+0.27,0.12
TucV-1,Ti I,4,,+1.70,,-3.25,0.16,,+0.30,0.15
TucV-1,Ti II,16,,+1.63,,-3.32,0.15,,+0.12,0.10
TucV-1,V II,,<,+1.11,<,-2.82,,<,+0.62,
TucV-1,Cr I,2,,+1.93,,-3.71,0.19,,-0.16,0.19
TucV-1,Cr II,,,,,,,,,
TucV-1,Mn I,2,,+0.71,,-4.72,0.26,,-1.17,0.25
TucV-1,Fe I,68,,+3.95,,-3.55,0.08,,,
TucV-1,Fe II,4,,+4.06,,-3.44,0.13,,,
TucV-1,Co I,3,,+1.55,,-3.48,0.20,,+0.08,0.18
TucV-1,Ni I,,<,+3.09,<,-3.10,,<,+0.32,
TucV-1,Zn I,,<,+1.92,<,-2.64,,<,+0.80,
TucV-1,Sr II,2,,-2.30,,-5.17,0.18,,-1.73,0.16
TucV-1,Y II,,,,,,,,,
TucV-1,Zr II,,,,,,,,,
TucV-1,Ba II,4,,-2.48,,-4.66,0.20,,-1.22,0.16
TucV-1,La II,,,,,,,,,
TucV-1,Ce II,,,,,,,,,
TucV-1,Pr II,,,,,,,,,
TucV-1,Nd II,,,,,,,,,
TucV-1,Eu II,,<,-2.87,<,-3.39,,<,+0.05,
TucV-1,Dy II,,,,,,,,,
TucV-2,C-H,,,+5.56,,-2.87,0.10,,-0.40,0.09
#TucV-2,C_corr,,,+6.06,,-2.37,0.10,,+0.10,0.09
TucV-2,C-N,,,,,,,,,
TucV-2,O I,,,,,,,,,
TucV-2,Na I,5,,+4.62,,-1.62,0.10,,+0.84,0.10
TucV-2,Mg I,8,,+5.92,,-1.68,0.09,,+0.78,0.10
TucV-2,Al I,1,,+3.73,,-2.72,0.41,,-0.25,0.40
TucV-2,Si I,2,,+5.07,,-2.44,0.20,,+0.02,0.19
TucV-2,K I,2,,+3.23,,-1.80,0.12,,+0.66,0.11
TucV-2,Ca I,15,,+4.37,,-1.97,0.08,,+0.49,0.08
TucV-2,Sc II,7,,+0.84,,-2.31,0.12,,+0.13,0.10
TucV-2,Ti I,14,,+2.71,,-2.24,0.12,,+0.22,0.11
TucV-2,Ti II,16,,+2.73,,-2.22,0.13,,+0.22,0.11
