# Only a stub. Online version should be complete. It hasn't been posted to CDS yet. -AY 2025/06/05

Name,Species,D_Teff,D_logg,D_Vmic,D_Fe/H,e_sys
TucV-1,C-H,0.10,-0.07,-0.01,0.03,0.07
TucV-1,C-N,0.20,-0.02,0.00,0.04,0.00
TucV-1,O I,-0.07,0.10,-0.01,0.01,0.43
TucV-1,Na I,0.09,-0.05,-0.03,-0.03,0.21
TucV-1,Mg I,0.08,-0.10,-0.06,-0.03,0.17
TucV-1,Al I,0.15,-0.13,-0.13,-0.08,0.30
TucV-1,Si I,-0.02,-0.06,-0.07,-0.05,0.00
TucV-1,K I,0.10,-0.03,-0.01,-0.02,0.00
TucV-1,Ca I,0.09,-0.04,-0.01,-0.02,0.09
TucV-1,Sc II,-0.01,0.08,-0.04,0.00,0.20
TucV-1,Ti I,0.16,-0.05,-0.01,-0.02,0.10
TucV-1,Ti II,0.04,0.07,-0.03,0.02,0.13
TucV-1,Cr I,0.14,-0.05,-0.02,-0.03,0.19
TucV-1,Mn I,0.23,-0.10,-0.05,-0.04,0.15
TucV-1,Fe I,0.08,-0.02,0.03,0.01,0.21
TucV-1,Fe II,0.00,0.09,-0.02,0.02,0.11
TucV-1,Co I,0.16,-0.06,-0.05,-0.04,0.09
TucV-1,Sr II,-0.02,0.07,-0.07,-0.01,0.00
TucV-1,Ba II,0.06,0.08,-0.00,0.03,0.19
