Name,Simbad_Identifier,RA_hms,DEC_dms
2MASS J01234438-7332025,2MASS J01234438-7332025,01:23:44.3701,-73:32:02.524
2MASS J14362653-3127262,2MASS J14362653-3127262,14:36:26.5359,-31:27:26.222
2MASS J20055457-0928302,2MASS J20055457-0928302,20:05:54.5796,-09:28:30.157
Gaia DR3 4348475068024891776,Gaia DR3 4348475068024891776,16:10:32.30,-08:15:38.50
Gaia DR3 6308927046493238528,Gaia DR3 6308927046493238528,15:05:02.13,-13:44:20.23
Gaia DR3 6725661847747358336,Gaia DR3 6725661847747358336,18:09:43.61,-40:52:07.99
Gaia DR3 6726207068062588160,Gaia DR3 6726207068062588160,18:21:50.8206,-41:03:33.574
SMSS J030634.26-750133.3,SMSS J030634.26-750133.3,03:06:34.2706,-75:01:33.199
SMSS J030740.92-610018.8,SMSS J030740.92-610018.8,03:07:40.9499,-61:00:18.764
SMSS J090921.70-163821.1,SMSS J090921.70-163821.1,09:09:21.7104,-16:38:21.163
