Star Names              , filename                           , [Sr/H], [Sr/Fe], [Ba/H], [Ba/Fe], [Fe_I/H], [Fe_I/Fe], [Mg/H], [Mg/Fe], [Ca/H], [Ca/Fe], [Ti_I/H], [Ti_I/Fe], [Ti_II/H], [Ti_II/Fe], [Cr/H], [Cr/Fe], [Ni/H], [Ni/Fe], [C/H], [C/Fe], [Si/H], [Si/Fe], [Eu/H], [Eu/Fe],  C/H corr, Dtrans_l           , Dtrans_llim, Dtrans_u           , Dtrans_ulim
6725661847747358336     , 6725661847747358336_abundance_table, -4.9  , -1.46  , -5.0  , -1.56  , -3.44   ,       0.0, -3.04 , 0.4    , -3.2  , 0.24   , -3.22   , 0.22     , -3.26    ,       0.19, -3.64 , -0.2   , -3.63 , -0.19  , -3.38, 0.06  , -3.02 , 0.42   ,       ,        ,  -3.36   , -3.081246399047171 ,            , -2.6988535035061276, 
SMSS J030634.26-750133.3, 1039485365_abundance_table         , -4.52 , -1.49  , -4.66 , -1.63  , -3.02   ,       0.0, -2.82 , 0.2    , -2.93 , 0.1    , -2.8    , 0.22     , -2.91    ,       0.11, -3.27 , -0.25  , -2.98 , 0.04   , -3.12, -0.1  , -2.78 , 0.24   ,       ,        ,  -3.0    , -2.721246399047171 ,            , -2.3388535035061278, 
2MASS J01234438-7332025 , 4686426283400662912_abundance_table, -5.05 , -1.9   , -6.1  , -2.95  , -3.15   ,       0.0, -2.4  , 0.74   , -2.87 , 0.27   , -3.02   , 0.13     , -2.74    ,       0.41, -3.53 , -0.39  , -3.37 , -0.23  , -3.94, -0.8  , -2.5  , 0.65   ,       ,        ,  -3.18   , -2.9012463990471713,            , -2.518853503506128 , 
4348475068024891776     , 4348475068024891776_abundance_table, -3.92 , -0.36  , -4.78 , -1.22  , -3.56   ,       0.0, -3.4  , 0.16   , -3.48 , 0.08   , -3.61   , -0.05    , -3.53    ,       0.03, -4.45 , -0.89  , -3.95 , -0.39  , -4.11, -0.55 , -2.91 , 0.65   ,       ,        ,  -4.11   , -3.8312463990471715,            , -3.448853503506128 , 
2MASS J20055457-0928302 , 4191531774709865984_abundance_table, -4.11 , -1.78  , -5.71 , -3.38  , -2.33   ,       0.0, -2.69 , -0.36  , -2.43 , -0.1   , -2.0    , 0.34     , -1.51    ,       0.83, -2.05 , 0.29   , -1.86 , 0.47   , -3.57, -1.24 , -2.56 , -0.22  ,       ,        ,  -2.81   , -2.531246399047171 ,            , -2.148853503506128 , 
6308927046493238528     , 6308927046493238528_abundance_table, -4.69 , -1.52  , -4.68 , -1.51  , -3.17   ,       0.0, -2.9  , 0.27   , -2.95 , 0.22   , -3.09   , 0.09     , -2.95    ,       0.23, -3.25 , -0.08  , -2.97 , 0.21   , -3.24, -0.07 , -2.65 , 0.53   ,       ,        ,  -2.84   , -2.561246399047171 ,            , -2.1788535035061276, 
2MASS J14362653-3127262 , 6216986193417446400_abundance_table, -5.84 , -2.64  , -5.31 , -2.11  , -3.2    ,       0.0, -2.81 , 0.39   , -3.02 , 0.18   , -3.36   , -0.17    , -3.12    ,       0.07, -3.55 , -0.35  , -3.14 , 0.06   , -3.93, -0.73 , -2.73 , 0.47   ,       ,        ,  -3.19   , -2.911246399047171 ,            , -2.5288535035061277, 
SMSS J090921.70-163821.1, 5729400267359655680_abundance_table, -6.39 , -2.34  , -5.98 , -1.93  , -4.05   ,       0.0, -3.83 , 0.22   , -3.73 , 0.32   , -4.32   , -0.27    , -3.9     ,       0.15, -5.2  , -1.14  , -4.78 , -0.73  , -3.51, 0.54  , -3.15 , 0.9    ,       ,        ,  -2.81   , -2.531246399047171 ,            , -2.148853503506128 , 
SMSS J030740.92-610018.8, 1039508644_abundance_table         , -5.5  , -2.35  , -4.23 , -1.08  , -3.15   ,       0.0, -2.35 , 0.8    , -2.72 , 0.43   , -2.9    , 0.25     , -2.92    ,       0.23, -3.64 , -0.49  , -3.06 , 0.09   , -3.05, 0.1   , -1.95 , 1.2    ,       ,        ,  0.31    , 0.5887536009528289 ,            , 0.9711464964938722 , 
6726207068062588160     , 6726207068062588160_abundance_table, -4.93 , -1.45  , -4.89 , -1.42  , -3.47   ,       0.0, -2.79 , 0.69   , -2.96 , 0.51   , -3.03   , 0.45     , -3.13    ,       0.35, -3.7  , -0.23  , -3.43 , 0.04   , -2.61, 0.86  , -3.14 , 0.34   ,       ,        ,  -2.59   , -2.311246399047171 ,            , -1.9288535035061274, 
