Name,Simbad_Identifier,System,RA_hms,DEC_dms,Bmag,Vmag,gmag,g-r_0,Vel,e_Vel,HJD
BooI-009,[NWG2010] BooI 009,Bootes I,13:59:48.80,+14:19:43.1,17.70,,17.93,0.81,97.1,0.4,2455333
BooI-094,[NWG2010] BooI 094,Bootes I,14:00:31.51,+14:34:03.5,,,17.50,0.87,95.0,0.7,2454968
BooI-117,[NWG2010] BooI 117,Bootes I,14:00:10.49,+14:31:45.5,18.0,,18.20,0.74,98.0,0.6,2455333
BooI-121,[NWG2010] BooI 121,Bootes I,14:00:36.51,+14:39:27.2,17.50,,17.92,0.82,105.4,0.6,2454968
BooI-127,[NWG2010] BooI 127,Bootes I,14:00:14.57,+14:35:52.8,17.90,,18.16,0.77,98.5,0.5,2455333
BooI-911,[NWG2010] BooI 911,Bootes I,14:00:01.08,+14:36:51.6,17.60,,17.97,0.80,102.2,0.6,2454969
HD216143,HD 216143,Bootes I,22:50:31.09,-06:54:49.6,8.78,,7.81,,,,
HD85773,HD 85773,Bootes I,09:53:39.24,-22:50:08.4,10.51,9.43,,,,,





