Name,Z,Ion,lambda,chi,loggf,EW,logepsX
BooI-009,11,1,5895.92,0.00,-0.19,150.0,3.61
BooI-009,12,1,4702.99,4.35,-0.44,50.1,4.94
BooI-009,12,1,5528.40,4.35,-0.50,69.7,5.24
BooI-009,20,1,6122.23,1.89,-0.38,60.1,3.92
BooI-009,20,1,6162.18,1.90,-0.17,69.0,3.85
BooI-009,21,2,5031.02,1.36,-0.40,27.4,0.30
BooI-009,21,2,5526.82,1.77,0.02,34.8,0.48
BooI-009,22,1,4991.05,0.83,0.25,57.8,2.62
BooI-009,22,1,5210.39,0.05,-0.88,36.8,2.49
BooI-009,22,2,4450.49,1.08,-1.52,70.2,2.20
BooI-009,22,2,5154.07,1.57,-1.75,35.1,2.42
BooI-009,24,1,6717.69,1.57,-1.75,35.1,2.25
BooI-009,26,1,4489.74,0.12,-3.97,71.9,4.90
BooI-009,26,1,4871.32,2.87,-0.36,62.9,4.40
BooI-009,26,1,4872.14,2.88,-0.57,62.8,4.62
BooI-009,26,1,4918.99,2.87,-0.34,76.3,4.58
BooI-009,26,1,4924.77,2.28,-2.11,30.1,4.93
BooI-009,26,1,4938.81,2.88,-1.08,47.8,4.89
BooI-009,26,1,4939.69,0.86,-3.34,65.9,5.02
BooI-009,26,1,4994.13,0.92,-3.08,84.1,5.09
BooI-009,26,1,5006.12,2.83,-0.61,51.6,4.43
BooI-009,26,1,5049.82,2.28,-1.35,62.0,4.67
BooI-009,26,1,5051.64,0.92,-2.79,97.6,5.03
BooI-009,26,1,5079.74,0.99,-3.22,56.4,4.91
BooI-009,26,1,5083.34,0.96,-2.96,88.3,5.08
BooI-009,26,1,5127.36,0.92,-3.31,90.0,5.40
BooI-009,26,1,5150.84,0.99,-3.04,68.6,4.89
BooI-009,26,1,5151.91,1.01,-3.32,65.9,5.16
BooI-009,26,1,5194.94,1.56,-2.09,79.4,4.79
BooI-009,26,1,5198.71,2.22,-2.13,28.4,4.83
BooI-009,26,1,5202.34,2.18,-1.84,65.8,5.07
BooI-009,26,1,5216.27,1.61,-2.15,87.5,5.03
BooI-009,26,1,5225.53,0.11,-4.79,33.0,5.04
BooI-009,26,1,5232.94,2.94,-0.06,70.5,4.27
BooI-009,26,1,5266.56,3.00,-0.39,54.4,4.42
BooI-009,26,1,5283.62,3.24,-0.53,40.8,4.64
BooI-009,26,1,5501.47,0.96,-3.05,93.1,5.19
BooI-009,26,1,5569.62,3.42,-0.49,36.4,4.72
BooI-009,26,1,5615.64,3.33,0.05,66.3,4.54
BooI-009,26,1,5701.55,2.56,-2.22,28.3,5.28
BooI-009,26,1,6137.69,2.59,-1.40,41.4,4.71
BooI-009,26,1,6191.56,2.43,-1.42,65.5,4.88
BooI-009,26,1,6230.72,2.56,-1.28,65.7,4.90
BooI-009,26,1,6252.56,2.40,-1.69,44.6,4.81
BooI-009,26,1,6358.70,0.86,-4.47,11.8,5.01
BooI-009,26,1,6393.60,2.43,-1.58,71.4,5.12
BooI-009,26,1,6400.00,3.60,-0.29,34.5,4.67
BooI-009,26,1,6421.35,2.28,-2.03,41.9,4.95
BooI-009,26,1,6430.85,2.18,-2.01,50.5,4.94
BooI-009,26,1,6677.99,2.69,-1.42,45.2,4.87
BooI-009,26,2,5197.58,3.23,-2.22,25.9,4.58
BooI-009,26,2,5234.62,3.22,-2.18,29.3,4.60
BooI-009,28,1,5476.90,1.83,-0.89,76.2,3.53
BooI-009,28,1,6643.64,1.68,-2.01,29.0,3.67
BooI-009,56,2,4934.10,0.00,-0.16,86.3,-1.61
BooI-094,11,1,5889.95,0.00,0.11,149.2,2.73
BooI-094,12,1,4571.10,0.00,-5.62,71.5,4.88
BooI-094,12,1,4702.99,4.35,-0.44,44.5,4.71
BooI-094,12,1,5528.40,4.35,-0.50,52.1,4.83
BooI-094,20,1,6162.18,1.90,-0.17,73.3,3.63
BooI-094,20,1,6493.79,2.52,-0.11,23.7,3.60
BooI-094,22,1,4981.73,0.85,0.50,37.4,1.79
BooI-094,22,2,5154.07,1.57,-1.75,30.3,2.02
BooI-094,24,1,6717.69,1.57,-1.75,30.3,1.94
BooI-094,26,1,4918.99,2.87,-0.34,67.0,4.13
BooI-094,26,1,4994.13,0.92,-3.08,54.8,4.28
BooI-094,26,1,5006.12,2.83,-0.61,46.3,4.09
BooI-094,26,1,5049.82,2.28,-1.35,57.2,4.29
BooI-094,26,1,5051.64,0.92,-2.79,91.7,4.42
BooI-094,26,1,5083.34,0.96,-2.96,81.6,4.51
BooI-094,26,1,5127.36,0.92,-3.31,59.9,4.56
BooI-094,26,1,5171.60,1.48,-1.79,95.2,4.16
BooI-094,26,1,5194.94,1.56,-2.09,86.8,4.45
BooI-094,26,1,5216.27,1.61,-2.15,76.7,4.46
BooI-094,26,1,5232.94,2.94,-0.06,69.0,3.94
BooI-094,26,1,5266.56,3.00,-0.39,52.5,4.13
BooI-094,26,1,5324.18,3.21,-0.10,51.7,4.10
BooI-094,26,1,5501.47,0.96,-3.05,74.8,4.48
BooI-094,26,1,5506.78,0.99,-2.80,97.8,4.52
BooI-094,26,1,5586.76,3.37,-0.14,39.1,4.14
BooI-094,26,1,5615.64,3.33,0.05,55.9,4.12
BooI-094,26,1,6191.56,2.43,-1.42,49.8,4.36
BooI-094,26,1,6230.72,2.56,-1.28,49.8,4.38
BooI-094,26,1,6393.60,2.43,-1.58,43.3,4.42
BooI-094,26,1,6430.85,2.18,-2.01,45.3,4.55
BooI-094,26,1,6677.99,2.69,-1.42,38.7,4.50
BooI-094,26,2,4923.93,2.89,-1.26,88.4,3.86
BooI-094,26,2,5276.00,3.20,-2.01,30.0,4.18
BooI-094,28,1,5476.90,1.83,-0.89,60.6,2.96
BooI-094,56,2,4554.03,0.00,0.14,86.4,-2.29
BooI-094,56,2,4934.10,0.00,-0.16,86.4,-2.06
BooI-094,56,2,6141.73,0.70,-0.08,34.2,-1.96
BooI-117,11,1,5889.95,0.00,0.11,165.1,3.79
BooI-117,11,1,5895.92,0.00,-0.19,152.5,3.90
BooI-117,12,1,4571.10,0.00,-5.62,85.0,5.63
BooI-117,12,1,4702.99,4.35,-0.44,64.3,5.23
BooI-117,12,1,5528.40,4.35,-0.50,87.5,5.62
BooI-117,20,1,5588.76,2.53,0.36,50.1,3.89
BooI-117,20,1,6102.73,1.88,-0.85,66.2,4.58
BooI-117,20,1,6122.23,1.89,-0.38,58.4,3.99
BooI-117,20,1,6162.18,1.90,-0.17,96.2,4.45
BooI-117,20,1,6471.66,2.51,-0.69,17.9,4.21
BooI-117,20,1,6493.79,2.52,-0.11,39.5,4.12
BooI-117,21,2,5031.02,1.36,-0.40,42.0,0.66
BooI-117,21,2,5239.82,1.45,-0.77,30.2,0.91
BooI-117,21,2,5526.82,1.77,0.02,57.9,0.96
BooI-117,22,1,4991.05,0.83,0.25,76.0,3.06
BooI-117,22,1,4999.51,0.83,0.25,52.7,2.64
BooI-117,22,1,5064.65,0.05,-0.99,40.8,2.73
BooI-117,22,2,5154.07,1.57,-1.75,62.4,3.00
BooI-117,24,1,6717.69,1.57,-1.75,62.4,3.41
BooI-117,26,1,4494.56,2.20,-1.14,84.0,5.01
BooI-117,26,1,4939.69,0.86,-3.34,75.1,5.33
BooI-117,26,1,4966.09,3.33,-0.87,50.4,5.36
BooI-117,26,1,4994.13,0.92,-3.08,92.7,5.49
BooI-117,26,1,5049.82,2.28,-1.35,96.5,5.49
BooI-117,26,1,5068.77,2.94,-1.04,61.2,5.25
BooI-117,26,1,5127.36,0.92,-3.31,93.5,5.71
BooI-117,26,1,5150.84,0.99,-3.04,69.5,5.05
BooI-117,26,1,5151.91,1.01,-3.32,80.2,5.56
BooI-117,26,1,5194.94,1.56,-2.09,88.3,5.16
BooI-117,26,1,5202.34,2.18,-1.84,83.6,5.56
BooI-117,26,1,5216.27,1.61,-2.15,100.0,5.53
BooI-117,26,1,5225.53,0.11,-4.79,58.4,5.52
BooI-117,26,1,5266.56,3.00,-0.39,99.8,5.42
BooI-117,26,1,5281.79,3.04,-0.83,69.0,5.29
BooI-117,26,1,5283.62,3.24,-0.53,71.8,5.27
BooI-117,26,1,5302.30,3.28,-0.72,49.6,5.11
BooI-117,26,1,5307.36,1.61,-2.99,52.6,5.43
BooI-117,26,1,5324.18,3.21,-0.10,89.8,5.17
