
Name,Species,logepsX_sun,l_logepsX,logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe],N,e_line,e_tot
BooI-009,Fe I,7.50,,4.86,,-2.64,,-2.64,38,0.04,0.14
BooI-009,Fe II,7.50,,4.59,,-2.91,,-2.91,2,0.01,0.10
BooI-009,C-H,8.43,<,5.50,<,-2.93,<,-0.29,1,,
BooI-009,Na I,6.24,,3.61,,-2.63,,0.01,1,0.25,0.27
BooI-009,Mg I,7.60,,5.09,,-2.51,,0.13,2,0.15,0.16
BooI-009,Ca I,6.34,,3.88,,-2.46,,0.18,2,0.04,0.05
BooI-009,Sc II,3.15,,0.39,,-2.76,,0.15,2,0.09,0.09
BooI-009,Ti I,4.95,,2.56,,-2.39,,0.24,2,0.07,0.07
BooI-009,Ti II,4.95,,2.31,,-2.64,,0.27,2,0.11,0.12
BooI-009,Cr I,5.64,,2.25,,-3.39,,-0.75,1,0.25,0.25
BooI-009,Ni I,6.22,,3.60,,-2.62,,0.02,2,0.07,0.07
BooI-009,Zn I,4.56,<,2.20,<,-2.36,<,0.28,1,,
BooI-009,Sr II,2.87,,,,,,,0,,
BooI-009,Ba II,2.18,,-1.61,,-3.79,,-0.89,1,0.25,0.27
BooI-094,Fe I,7.50,,4.32,,-3.18,,-3.18,22,0.04,0.14
BooI-094,Fe II,7.50,,4.02,,-3.48,,-3.48,2,0.16,0.19
BooI-094,C-H,8.43,<,5.50,<,-2.93,<,0.25,1,,
BooI-094,Na I,6.24,,2.73,,-3.51,,-0.32,1,0.19,0.20
BooI-094,Mg I,7.60,,4.81,,-2.79,,0.39,3,0.05,0.06
BooI-094,Ca I,6.34,,3.61,,-2.73,,0.46,2,0.01,0.05
BooI-094,Sc II,3.15,,,,,,,0,,
BooI-094,Ti I,4.95,,1.79,,-3.16,,0.02,1,0.19,0.19
BooI-094,Ti II,4.95,,2.02,,-2.93,,0.55,1,0.19,0.19
BooI-094,Cr I,5.64,,1.94,,-3.70,,-0.52,1,0.19,0.19
BooI-094,Ni I,6.22,,2.96,,-3.26,,-0.08,1,0.19,0.19
BooI-094,Zn I,4.56,<,2.30,<,-2.26,<,0.92,1,,
BooI-094,Sr II,2.87,,-2.47,,-5.34,,-2.16,1,0.70,0.70
BooI-094,Ba II,2.18,,-2.10,,-4.28,,-0.80,3,0.10,0.12
BooI-117,Fe I,7.50,,5.35,,-2.15,,-2.15,32,0.04,0.18
BooI-117,Fe II,7.50,,5.11,,-2.39,,-2.39,3,0.14,0.18
BooI-117,C-H,8.43,,5.49,,-2.94,,-0.79,1,0.30,0.35
BooI-117,Na I,6.24,,3.84,,-2.40,,-0.25,2,0.05,0.08
BooI-117,Mg I,7.60,,5.50,,-2.10,,0.04,3,0.13,0.14
BooI-117,Ca I,6.34,,4.21,,-2.13,,0.01,6,0.11,0.13
BooI-117,Sc II,3.15,,0.85,,-2.30,,0.08,3,0.09,0.10
BooI-117,Ti I,4.95,,2.81,,-2.14,,0.01,3,0.13,0.14
BooI-117,Ti II,4.95,,3.00,,-1.95,,0.44,1,0.20,0.20
BooI-117,Cr I,5.64,,3.41,,-2.23,,-0.08,1,0.20,0.22
BooI-117,Ni I,6.22,,4.11,,-2.11,,0.04,1,0.20,0.21
BooI-117,Zn I,4.56,<,2.50,<,-2.06,<,0.09,1,,
