Title: High-Resolution Spectroscopic Study of Extremely Metal-Poor Star 
       Candidates from the SkyMapper Survey
Authors: Jacobson H.R., Keller S., Frebel A., Casey A.R., Asplund M., 
         Bessell M.S., Da Costa G.S., Lind K., Marino A.F., Norris J.E., 
         Pena J.M., Schmidt B.P., Tisserand P., Walsh J.M., Yong D., Yu Q. 
Table: Stellar Parameters
================================================================================
Byte-by-byte Description of file: apj512602t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1- 24 A24    ---     ID       Star identifier
  26- 29 I4     K       Teff     Effective temperature
  31- 34 F4.2   [cm/s2] log(g)L  Log LTE derived surface gravity
  36- 40 F5.2   [-]     [Fe/H]L  LTE derived metallicity
  42- 45 F4.2   km/s    Vmic     Microturbulent velocity
  47- 50 F4.2   [cm/s2] log(g)N  Log NLTE derived surface gravity
  52- 57 F6.3   [-]     [Fe/H]N  NLTE derived metallicity
--------------------------------------------------------------------------------
SMSS~J000113.96-363337.9 4810 1.60 -2.32 1.80 1.90 -2.21  
SMSS~J001039.86-525851.4 4711 1.20 -2.32 2.20 1.56 -2.18  
SMSS~J001952.15-525803.0 4639 1.20 -2.56 2.40 1.56 -2.43  
SMSS~J002148.06-471132.1 4765 1.40 -3.17 2.10 1.90 -3.00  
SMSS~J003055.81-482011.3 4720 1.50 -2.53 2.50 1.82 -2.41  
SMSS~J003327.36-491037.9 4630 0.80 -3.36 2.35 1.37 -3.17  
SMSS~J004037.56-515025.2 4468 0.55 -3.83 2.45 1.05 -3.67  
SMSS~J005953.98-594329.9 5413 2.95 -3.94 1.40 3.41 -3.78  
SMSS~J010332.63-534654.3 4810 1.40 -3.03 1.80 1.90 -2.86  
SMSS~J010651.91-524410.5 4486 0.65 -3.79 2.60 1.15 -3.63  
SMSS~J010839.58-285701.5 4855 1.55 -3.02 1.90 2.04 -2.85  
SMSS~J012147.80-495328.2 4698 1.10 -1.59 2.40 1.34 -1.49  
SMSS~J014624.60-352457.7 4945 1.30 -2.81 2.30 1.88 -2.60  
SMSS~J015350.94-775525.6 4639 1.30 -2.66 2.55 1.65 -2.53  
SMSS~J015941.53-781408.7 4810 1.55 -3.11 1.85 2.02 -2.95  
2MASS~J02031860-7930291  4720 1.10 -3.03 2.45 1.64 -2.84  
SMSS~J020748.93-465616.4 5008 1.75 -2.71 2.05 2.19 -2.55  
SMSS~J021323.26-495936.5 4882 1.05 -2.87 2.40 1.69 -2.64  
SMSS~J022410.38-534659.9 4630 0.90 -3.40 2.60 1.48 -3.21  
SMSS~J022423.27-573705.1 4846 1.60 -3.97 2.05 2.33 -3.74  
SMSS~J022452.58-731051.8 4900 1.80 -2.55 2.15 2.12 -2.43  
SMSS~J022545.31-774119.9 5134 2.60 -2.63 1.70 2.81 -2.54  
SMSS~J022756.48-684256.6 5170 2.25 -2.22 2.05 2.54 -2.11  
SMSS~J023139.43-523957.4 4882 1.55 -2.94 1.95 2.05 -2.77  
SMSS~J023147.96-575341.7 4720 1.05 -3.42 2.20 1.71 -3.20  
SMSS~J024643.28-352502.4 4720 1.05 -3.37 2.60 1.70 -3.15  
SMSS~J024858.41-684306.4 4977 1.60 -3.71 1.80 2.40 -3.46  
2MASS~J03084611-4747083  5071 2.15 -1.56 1.90 2.32 -1.49  
SMSS~J031556.09-473442.1 4999 1.90 -3.26 1.90 2.38 -3.09  
SMSS~J032132.29-363123.6 4675 0.80 -3.40 2.50 1.43 -3.19  
SMSS~J033005.90-681352.5 4882 1.45 -3.44 2.15 2.11 -3.22  
SMSS~J034249.53-284216.0 4828 1.60 -2.33 1.95 1.91 -2.21  
SMSS~J040148.04-743537.3 4900 1.90 -3.09 2.05 2.28 -2.95  
SMSS~J041957.56-493818.3 4567 0.70 -2.97 2.30 1.13 -2.82  
SMSS~J051008.62-372019.8 5170 2.40 -3.20 1.60 2.78 -3.06  
SMSS~J055746.51-575057.4 5404 3.05 -2.50 1.45 3.23 -2.42  
SMSS~J061725.30-600740.6 4810 1.35 -2.72 2.05 1.80 -2.56  
SMSS~J062609.83-590503.2 4960 1.75 -2.77 1.75 2.17 -2.62  
SMSS~J063447.15-622355.0 4432 0.55 -3.41 2.85 0.95 -3.28  
SMSS~J064349.43-653038.6 4693 1.15 -2.48 1.95 1.54 -2.34  
SMSS~J065014.40-614328.0 4530 0.65 -3.18 2.65 1.09 -3.03  
SMSS~J070257.95-600422.4 4824 1.40 -2.62 1.95 1.82 -2.47  
SMSS~J080050.54-724620.6 4801 1.20 -2.08 2.55 1.53 -1.95  
SMSS~J085924.06-120104.9 4459 0.75 -3.63 2.85 1.20 -3.48  
SMSS~J090247.43-122755.0 4945 1.70 -2.40 1.95 2.05 -2.27  
SMSS~J091210.40-064427.9 5170 2.55 -2.64 1.55 2.79 -2.54  
SMSS~J093209.41-003435.8 5062 2.15 -3.11 1.80 2.54 -2.97  
2MASS~J09380777-0600392  5890 2.65 -2.68 1.50 3.27 -2.48  
SMSS~J093829.27-070520.9 5440 3.15 -2.35 1.35 3.31 -2.28  
SMSS~J094029.05-060935.0 4900 1.30 -3.18 2.20 1.96 -2.95  
SMSS~J094755.04-102724.7 5097 2.20 -2.99 1.75 2.57 -2.85  
SMSS~J095120.49-401431.3 5031 1.75 -1.48 1.95 1.96 -1.40  
SMSS~J100251.13-000152.1 5035 2.10 -2.62 1.85 2.39 -2.50  
2MASS~J10242264-2904203  4720 1.30 -3.13 2.20 1.79 -2.96  
2MASS~J10275895-3006391  4648 1.30 -2.96 2.00 1.70 -2.82  
2MASS~J10283035-2951115  4720 1.10 -2.38 2.45 1.50 -2.23  
2MASS~J10294248-0103238  4665 1.10 -2.39 2.35 1.47 -2.25  
SMSS~J105320.99-435300.1 5022 2.05 -1.86 1.70 2.22 -1.78  
SMSS~J105438.86-435819.9 4954 2.05 -1.98 1.75 2.23 -1.91  
SMSS~J110850.60-080034.7 5485 3.40 -2.90 1.65 3.56 -2.83  
SMSS~J121353.63-441911.2 4882 1.70 -2.59 1.90 2.06 -2.46  
SMSS~J121716.48-442510.2 4792 1.40 -2.10 2.05 1.69 -1.99  
SMSS~J122455.61-151134.0 5062 2.45 -2.62 1.65 2.65 -2.53  
SMSS~J123158.00-162317.6 5080 2.10 -2.63 1.75 2.43 -2.50  
SMSS~J123246.06-054559.1 4792 1.25 -3.03 2.45 1.80 -2.84  
SMSS~J125115.37-331448.1 4828 1.60 -2.64 2.15 1.98 -2.51  
SMSS~J125125.64-340343.4 4936 2.30 -2.52 1.65 2.47 -2.44  
SMSS~J125451.18-334440.3 4675 1.20 -2.81 2.25 1.63 -2.66  
SMSS~J125804.65-335045.1 5040 1.80 -3.44 2.05 2.46 -3.23  
SMSS~J130537.01-294438.3 4702 1.10 -2.35 2.30 1.48 -2.21  
SMSS~J133013.61-434632.4 4653 0.90 -2.54 2.90 1.32 -2.39  
SMSS~J133532.32-210632.9 4734 1.10 -2.73 2.25 1.58 -2.56  
SMSS~J135217.78-151405.7 5260 2.75 -2.56 1.60 2.97 -2.47  
SMSS~J135625.09-161538.7 4765 1.50 -2.76 2.00 1.88 -2.62  
SMSS~J135819.95-150937.4 5170 2.50 -2.58 1.75 2.75 -2.48  
SMSS~J141547.72-414034.0 5035 1.95 -2.26 1.85 2.23 -2.15  
SMSS~J143511.34-420326.5 4657 1.00 -3.15 2.45 1.55 -2.96  
SMSS~J151101.05-182103.0 5125 2.00 -2.71 1.85 2.42 -2.56  
SMSS~J151450.18-182946.0 4945 1.45 -2.73 2.30 1.95 -2.55  
SMSS~J155430.57-263904.8 4783 1.20 -2.61 2.20 1.65 -2.44  
SMSS~J155628.74-165533.4 4837 1.45 -2.79 2.25 1.90 -2.63  
SMSS~J160447.75-293146.7 4675 1.05 -2.66 2.35 1.49 -2.50  
SMSS~J164921.94-041943.9 4936 1.60 -2.24 2.35 1.94 -2.11  
SMSS~J165023.82-252948.7 4833 1.30 -2.48 2.10 1.72 -2.32  
SMSS~J165219.76-253133.7 4941 1.80 -2.20 1.90 2.07 -2.09  
SMSS~J173823.36-145701.0 4558 0.75 -3.58 2.80 1.28 -3.41  
SMSS~J174048.48-143635.6 4806 1.55 -2.50 2.00 1.90 -2.37  
SMSS~J174916.38-455427.5 4801 1.15 -2.51 2.30 1.60 -2.34  
SMSS~J174922.26-455103.8 4797 1.30 -2.77 2.10 1.77 -2.60  
