Title: High-Resolution Spectroscopic Study of Extremely Metal-Poor Star 
       Candidates from the SkyMapper Survey
Authors: Jacobson H.R., Keller S., Frebel A., Casey A.R., Asplund M., 
         Bessell M.S., Da Costa G.S., Lind K., Marino A.F., Norris J.E., 
         Pena J.M., Schmidt B.P., Tisserand P., Walsh J.M., Yong D., Yu Q. 
Table: Corrected Carbon Abundances
================================================================================
Byte-by-byte Description of file: apj512602t7_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1- 24 A24    ---     ID       Star identifier
      26 A1     ---   l_[C/Fe]o  Limit flag on [C/Fe]o
  27- 32 F6.2   [-]     [C/Fe]o  ? Original log C/Fe abundance
  34- 37 F4.2   [-]     Cor      ? Correction for log C/Fe
      39 A1     ---   l_[C/Fe]c  Limit flag on [C/Fe]c
  40- 44 F5.2   [-]     [C/Fe]c  ? Corrected log C/Fe abundance
--------------------------------------------------------------------------------
SMSS~J000113.96-363337.9   -0.33 0.42   0.09   
SMSS~J001039.86-525851.4   -0.23 0.67   0.44   
SMSS~J001952.15-525803.0   -0.25 0.67   0.42   
SMSS~J002148.06-471132.1    0.29 0.49   0.78   
SMSS~J003055.81-482011.3    0.05 0.45   0.50   
SMSS~J003327.36-491037.9 < -0.40 0.72 < 0.33   
SMSS~J004037.56-515025.2   -0.09 0.71   0.62   
SMSS~J005953.98-594329.9    1.21 0.00   1.21   
SMSS~J010332.63-534654.3    0.19 0.50   0.69   
SMSS~J010651.91-524410.5    0.13 0.72   0.85   
SMSS~J010839.58-285701.5    0.22 0.36   0.58   
SMSS~J012147.80-495328.2   -0.53 0.56   0.03   
SMSS~J014624.60-352457.7   -0.27 0.60   0.33   
SMSS~J015350.94-775525.6   -0.48 0.62   0.14   
SMSS~J015941.53-781408.7    0.19 0.35   0.54   
2MASS~J02031860-7930291    -0.52 0.73   0.21   
SMSS~J020748.93-465616.4   -0.54 0.22  -0.33   
SMSS~J021323.26-495936.5   -0.53 0.74   0.21   
SMSS~J022410.38-534659.9    0.03 0.75   0.79   
SMSS~J022423.27-573705.1    0.07 0.18   0.25   
SMSS~J022452.58-731051.8    0.12 0.20   0.32   
SMSS~J022545.31-774119.9    0.38 0.01   0.39   
SMSS~J022756.48-684256.6    0.24 0.01   0.25   
SMSS~J023139.43-523957.4    0.40 0.37   0.77   
SMSS~J023147.96-575341.7    0.35 0.72   1.07   
SMSS~J024643.28-352502.4    0.02 0.75   0.77   
SMSS~J024858.41-684306.4    0.66 0.25   0.91   
2MASS~J03084611-4747083     0.20 0.02   0.22   
