Table 11 
Element Abundances of HD 122563


Species	logepsilon(X)	# lines	s.d.	[X/H]	[X/Fe]	
C I	5.53	2	0.04	-3.20	-0.43	
Na I	3.96	2	0.05	-2.28	+0.49	
Mg I	5.28	7	0.10	-2.32	+0.45	
Al I	2.93	2	0.21	-3.52	-0.60	
Si I	5.38	2	0.01	-2.13	+0.64	
Ca I	3.87	22	0.08	-2.47	+0.30	
Sc II	0.20	5	0.06	-2.91	-0.14	
Ti I	2.29	30	0.07	-2.66	+0.11	
Ti II	2.42	46	0.09	-2.53	+0.24	
Cr I	2.54	19	0.07	-3.10	-0.33	
Cr II	2.88	3	0.09	-2.76	+0.01	
Mn I	2.23	7	0.04	-3.20	-0.43	
Fe I	4.73	193	0.12	-2.77	cdots	
Fe II	4.75	27	0.11	-2.75	cdots	
Co I	2.51	5	0.09	-2.48	+0.29	
Ni I	3.58	18	0.09	-2.64	+0.13	
Zn I	1.94	2	0.06	-2.62	+0.14	
Sr II	-0.21	2	0.01	-3.08	-0.31	
Y II	-0.95	5	0.06	-3.16	-0.39	
Zr II	-0.26	4	0.10	-2.84	-0.07	
Ba II	-1.66	2	0.08	-3.84	-1.07	
Eu II	-3.20	1	cdots	-3.72	-0.95	
