Species, N  , ID                      , l_logepsX, logepsX, e_logepsX, l_[X/H], [X/H], l_[X/Fe], [X/Fe]
C-H    ,   2, SMSS J000113.96-363337.9,          , 5.78   ,      0.02,        , -2.65,         , -0.33
C-H    ,   2, SMSS J001039.86-525851.4,          , 5.88   ,      0.03,        , -2.55,         , -0.23
C-H    ,   2, SMSS J001952.15-525803.0,          , 5.62   ,      0.02,        , -2.81,         , -0.25
C-H    ,   2, SMSS J002148.06-471132.1,          , 5.55   ,      0.04,        , -2.88,         , 0.29
C-H    ,   2, SMSS J003055.81-482011.3,          , 5.95   ,      0.05,        , -2.48,         , 0.05
C-H    ,   1, SMSS J003327.36-491037.9, <        , 4.67   ,      0.0 , <      , -3.75, <       , -0.4
C-H    ,   2, SMSS J004037.56-515025.2,          , 4.51   ,      0.09,        , -3.92,         , -0.09
C-H    ,   2, SMSS J005953.98-594329.9,          , 5.7    ,      0.05,        , -2.73,         , 1.21
C-H    ,   2, SMSS J010332.63-534654.3,          , 5.59   ,      0.09,        , -2.84,         , 0.19
C-H    ,   2, SMSS J010651.91-524410.5,          , 4.77   ,      0.05,        , -3.66,         , 0.13
C-H    ,   2, SMSS J010839.58-285701.5,          , 5.62   ,      0.01,        , -2.8 ,         , 0.22
C-H    ,   2, SMSS J012147.80-495328.2,          , 6.3    ,      0.02,        , -2.12,         , -0.53
C-H    ,   2, SMSS J014624.60-352457.7,          , 5.35   ,      0.05,        , -3.08,         , -0.27
C-H    ,   2, SMSS J015350.94-775525.6,          , 5.29   ,      0.04,        , -3.14,         , -0.48
C-H    ,   2, SMSS J015941.53-781408.7,          , 5.51   ,      0.09,        , -2.92,         , 0.19
C-H    ,   2, 2MASS J02031860-7930291 ,          , 4.88   ,      0.08,        , -3.55,         , -0.52
C-H    ,   2, SMSS J020748.93-465616.4,          , 5.18   ,      0.02,        , -3.25,         , -0.54
C-H    ,   2, SMSS J021323.26-495936.5,          , 5.03   ,      0.02,        , -3.4 ,         , -0.53
C-H    ,   2, SMSS J022410.38-534659.9,          , 5.06   ,      0.03,        , -3.37,         , 0.03
C-H    ,   2, SMSS J022423.27-573705.1,          , 4.53   ,      0.07,        , -3.9 ,         , 0.07
C-H    ,   1, SMSS J022452.58-731051.8,          , 6.0    ,          ,        , -2.43,         , 0.12
C-H    ,   2, SMSS J022545.31-774119.9,          , 6.18   ,      0.02,        , -2.25,         , 0.38
C-H    ,   2, SMSS J022756.48-684256.6,          , 6.45   ,      0.05,        , -1.98,         , 0.24
C-H    ,   2, SMSS J023139.43-523957.4,          , 5.89   ,      0.0 ,        , -2.54,         , 0.4
C-H    ,   2, SMSS J023147.96-575341.7,          , 5.36   ,      0.06,        , -3.07,         , 0.35
C-H    ,   2, SMSS J024643.28-352502.4,          , 5.08   ,      0.08,        , -3.35,         , 0.02
C-H    ,   2, SMSS J024858.41-684306.4,          , 5.38   ,      0.03,        , -3.05,         , 0.66
C-H    ,   2, 2MASS J03084611-4747083 ,          , 7.07   ,      0.02,        , -1.36,         , 0.2
C-H    ,   2, SMSS J031556.09-473442.1,          , 5.36   ,      0.06,        , -3.07,         , 0.19
C-H    ,   2, SMSS J032132.29-363123.6,          , 4.9    ,      0.05,        , -3.53,         , -0.13
C-H    ,   2, SMSS J033005.90-681352.5,          , 5.64   ,      0.01,        , -2.79,         , 0.65
C-H    ,   2, SMSS J034249.53-284216.0,          , 5.6    ,      0.0 ,        , -2.83,         , -0.5
C-H    ,   2, SMSS J040148.04-743537.3,          , 5.69   ,      0.01,        , -2.74,         , 0.35
C-H    ,   2, SMSS J041957.56-493818.3,          , 5.2    ,      0.04,        , -3.23,         , -0.26
C-H    ,   2, SMSS J051008.62-372019.8,          , 5.79   ,      0.02,        , -2.64,         , 0.56
C-H    ,   2, SMSS J055746.51-575057.4,          , 6.44   ,      0.02,        , -1.99,         , 0.51
C-H    ,   2, SMSS J061725.30-600740.6,          , 5.93   ,      0.02,        , -2.5 ,         , 0.22
C-H    ,   2, SMSS J062609.83-590503.2,          , 5.93   ,      0.02,        , -2.5 ,         , 0.27
C-H    ,   1, SMSS J063447.15-622355.0,          , 5.1    ,          ,        , -3.33,         , 0.08
C-H    ,   2, SMSS J064349.43-653038.6,          , 5.88   ,      0.03,        , -2.55,         , -0.07
C-H    ,   2, SMSS J065014.40-614328.0,          , 5.07   ,      0.02,        , -3.36,         , -0.18
C-H    ,   2, SMSS J070257.95-600422.4,          , 6.23   ,      0.03,        , -2.2 ,         , 0.42
C-H    ,   2, SMSS J080050.54-724620.6,          , 5.98   ,      0.06,        , -2.45,         , -0.37
C-H    ,   2, SMSS J085924.06-120104.9,          , 4.6    ,      0.1 ,        , -3.83,         , -0.2
C-H    ,   2, SMSS J090247.43-122755.0,          , 6.23   ,      0.03,        , -2.2 ,         , 0.2
C-H    ,   2, SMSS J091210.40-064427.9,          , 6.05   ,      0.0 ,        , -2.38,         , 0.26
C-H    ,   2, SMSS J093209.41-003435.8,          , 5.53   ,      0.07,        , -2.9 ,         , 0.21
