# Systematic Errors for RetII-A (DES J033523-540407)
Element,e_sys_Teff,e_sys_logg,e_sys_Vmic,e_sys_tot
C-H,syn,+0.32,-0.27,-0.04,0.42
Na I,,+0.19,-0.08,-0.17,0.27
Mg I,,+0.13,-0.03,-0.03,0.14
Al I,,+0.19,-0.10,-0.18,0.28
Si I,,+0.18,-0.02,-0.08,0.20
Ca I,,+0.13,-0.02,-0.03,0.13
Sc II,syn,+0.07,+0.02,-0.05,0.09
Ti I,,+0.23,-0.03,-0.04,0.24
Ti II,,+0.04,+0.05,-0.07,0.09
Cr I,,+0.21,-0.03,-0.09,0.23
Mn I,syn,+0.20,-0.01,-0.06,0.21
Fe I,,+0.21,-0.03,-0.07,0.22
Fe II,,-0.02,+0.06,-0.08,0.10
Co I,,+0.25,-0.02,-0.06,0.26
Ni I,,+0.24,-0.04,-0.17,0.30
Sr II,syn,+0.23,+0.09,-0.21,0.32
Y II,,+0.09,+0.05,-0.10,0.14
Zr II,,+0.08,+0.06,-0.04,0.11
Ba II,syn,+0.14,+0.05,-0.14,0.20
La II,syn,+0.09,+0.09,-0.01,0.13
Ce II,,+0.10,+0.07,-0.02,0.12
Pr II,syn,+0.14,+0.09,+0.03,0.17
Nd II,,+0.11,+0.05,-0.06,0.13
Sm II,,+0.10,+0.06,-0.03,0.12
Eu II,syn,+0.11,+0.10,+0.03,0.15
Gd II,,+0.10,+0.06,-0.03,0.12
Dy II,,+0.10,+0.05,-0.07,0.13
