Name,f_Name,Simbad_Identifier,System,RA_hms,DEC_dms,Gmag,g0mag,r0mag,Slit,t_exp,SNR4500,SNR6500
CarII-6544,,Gaia DR3 5293947247051916544,Carina II,07:36:51.11,-58:01:46.3,15.07,15.63,14.63,0.5,1.8,22,67
CarII-7872,,Gaia DR3 5293894539213647872,Carina II,07:36:51.89,-58:16:39.2,15.50,15.92,15.01,0.7,1.0,25,60
CarII-5664,,Gaia DR3 5293896360279425664,Carina II,07:38:08.51,-58:09:35.0,16.33,16.55,15.86,0.7,3.8,38,80
CarII-0064,,Gaia DR3 5293951473299720064,Carina II,07:36:21.25,-57:58:00.2,16.78,16.96,16.30,1.0,2.6,22,54
CarII-4704,,Gaia DR3 5293928074318184704,Carina II,07:35:37.66,-58:01:51.8,17.40,17.46,16.93,0.7,3.3,13,34
CarII-9296,,Gaia DR3 5293900827045399296,Carina II,07:37:39.79,-58:05:06.9,17.72,17.86,17.29,1.0,3.0,15,35
CarII-2064,,Gaia DR3 5293951881319592064,Carina II,07:36:01.33,-57:58:43.8,18.22,18.27,17.77,0.7,4.6,13,31
CarII-4928,,Gaia DR3 5293951503362524928,Carina II,07:36:24.98,-57:57:14.2,18.42,18.40,17.96,1.0,5.5,13,31
CarII-V3,a,Gaia DR3 5293940924860019584,Carina II,07:35:09.12,-57:57:14.8,18.46,18.13,18.01,1.0,2.5,15,24
CarIII-1120,,Gaia DR3 5293955665187701120,Carina III,07:38:22.30,-57:53:02.1,17.46,17.51,16.97,0.7,2.7,18,39
CarIII-8144,,Gaia DR3 5293907630273478144,Carina III,07:38:34.93,-57:57:05.3,17.65,17.72,17.18,0.7,3.2,21,41
