Name,Date,MJDate,Vel,N_orders,e_Vel
CarII-6544,2018-01-24,58142.031,470.4,34,1.2
CarII-6544,2018-01-25,58143.035,470.1,34,0.5
CarII-6544,2018-11-16,58438.191,470.7,36,0.5
CarII-6544,2019-03-09,58551.016,475.5,34,0.6
CarII-6544,2019-03-10,58552.012,476.9,36,0.7
CarII-7872,2018-11-13,58435.277,478.5,35,0.5
CarII-7872,2018-11-13,58435.355,478.2,36,0.7
CarII-7872,2018-11-16,58438.347,478.4,36,0.5
CarII-5664,2018-11-13,58435.295,483.3,31,1.2
CarII-5664,2018-11-13,58435.341,483.6,28,1.6
CarII-5664,2018-11-15,58437.312,483.1,30,0.5
CarII-5664,2018-11-15,58437.334,483.2,30,0.5
CarII-5664,2018-11-15,58437.355,483.4,32,0.5
CarII-5664,2018-11-16,58438.207,483.7,34,0.6
CarII-5664,2018-11-16,58438.228,483.6,31,0.7
CarII-5664,2018-11-16,58438.250,483.2,30,0.4
CarII-0064,2017-12-05,58092.307,473.2,30,0.8
CarII-0064,2017-12-06,58093.217,475.3,36,0.8
CarII-0064,2017-12-06,58093.313,474.8,35,0.6
CarII-0064,2017-12-06,58093.336,475.0,35,0.7
CarII-4704,2018-01-24,58142.090,471.6,36,0.5
CarII-4704,2018-01-24,58142.119,472.0,35,0.5
CarII-4704,2018-11-13,58435.225,472.8,28,1.3
CarII-4704,2018-11-13,58435.253,472.7,30,1.6
CarII-4704,2018-11-13,58435.319,472.4,30,1.0
CarII-9296,2018-01-24,58142.059,481.9,30,1.2
CarII-9296,2018-01-24,58142.324,482.5,31,1.3
CarII-9296,2018-01-25,58143.063,481.2,32,0.8
CarII-9296,2018-01-25,58143.135,480.7,32,1.2
CarII-2064,2018-01-24,58142.210,473.9,34,0.9
CarII-2064,2018-01-24,58142.249,474.2,33,0.7
CarII-2064,2018-01-24,58142.288,474.9,32,1.0
CarII-2064,2018-01-25,58143.171,474.2,33,1.0
CarII-2064,2018-01-25,58143.252,474.8,30,1.2
CarII-4928,2018-01-23,58141.220,476.1,23,1.4
CarII-4928,2018-01-23,58141.259,476.4,24,1.2
CarII-4928,2018-01-23,58141.298,476.2,24,2.6
CarII-4928,2018-01-25,58143.099,475.5,27,2.1
CarII-4928,2018-01-25,58143.213,476.1,22,0.7
CarII-4928,2018-01-25,58143.291,475.9,22,2.7
CarII-V3,2018-11-15,58437.204,471.8,26,5.3
CarII-V3,2018-11-15,58437.225,474.5,22,7.0
CarII-V3,2018-11-15,58437.247,478.2,18,1.9
CarII-V3,2018-11-15,58437.269,480.8,20,4.7
CarII-V3,2018-11-15,58437.290,483.2,16,1.5
CarIII-1120,2018-01-24,58142.147,283.7,30,1.1
CarIII-1120,2018-01-24,58142.175,284.2,28,1.0
CarIII-1120,2019-03-09,58551.039,283.5,22,1.1
CarIII-1120,2019-03-09,58551.068,284.6,26,0.8
CarIII-8144,2018-11-16,58438.277,280.8,36,0.5
CarIII-8144,2018-11-16,58438.309,281.3,34,0.3
CarIII-8144,2019-03-08,58550.044,281.9,36,0.4
CarIII-8144,2019-03-10,58552.030,281.7,32,0.7
CarIII-8144,2019-03-10,58552.052,281.6,33,0.8
