Found,DEC_input,RA_input,Query_ID,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,SCRIPT_NUMBER_ID
True,-37:22:30.2,02:35:26.13,AliqaUma_0,Gaia DR3 4953695608534281088,02 35 26.1331,-37 22 30.162,14,14,0.0357,0.0437,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,02 35 26.1331,-37 22 30.162,0.318,-0.803,0.0423,-16.1,1
True,-35:22:26.1,02:26:26.20,AliqaUma_5,Gaia DR3 4966915105554905344,02 26 26.1986,-35 22 26.122,14,14,0.0147,0.0194,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,02 26 26.1986,-35 22 26.122,0.319,-0.717,0.0011,-22.6,1
True,-34:06:22.9,02:16:18.92,AliqaUma_7,Gaia DR3 4969961611757057536,02 16 18.9242,-34 06 22.905,14,14,0.0205,0.0326,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,02 16 18.9242,-34 06 22.905,0.236,-0.735,0.0438,-47.3,1
True,-32:46:06.1,02:09:08.30,AliqaUma_9,Gaia DR3 4971176778264340352,02 09 08.2952,-32 46 06.116,14,14,0.0181,0.0206,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,02 09 08.2952,-32 46 06.116,0.155,-0.854,,-50.9,1
True,-32:05:40.0,02:09:58.92,AliqaUma_10,Gaia DR3 4971328167270778496,02 09 58.9156,-32 05 39.984,14,14,0.0245,0.0284,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,02 09 58.9156,-32 05 39.984,0.188,-0.869,0.005,-52.8,1
True,-23:51:49.7,00:58:40.08,ATLAS_0,Gaia DR3 2345957664457105408,00 58 40.0795,-23 51 49.660,14,14,0.0343,0.024,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,00 58 40.0795,-23 51 49.660,-0.373,-1.029,0.0717,-131.0,1
True,-22:44:58.0,00:48:54.95,ATLAS_1,Gaia DR3 2349268564550587904,00 48 54.9710,-22 44 58.047,14,14,0.0494,0.0343,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,00 48 54.9710,-22 44 58.047,-0.582,-1.199,,-135.7,1
True,-29:52:14.6,01:40:08.67,ATLAS_12,Gaia DR3 5022844307121290752,01 40 08.6709,-29 52 14.546,14,14,0.0191,0.0142,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,01 40 08.6709,-29 52 14.546,0.054,-0.936,0.0049,-84.4,1
True,-26:07:01.0,01:16:27.10,ATLAS_22,Gaia DR3 5039838702437479936,01 16 27.0969,-26 07 00.936,14,14,0.0303,0.0184,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,01 16 27.0969,-26 07 00.936,-0.104,-0.949,0.032,-113.36,1
True,-25:44:52.2,01:12:21.84,ATLAS_25,Gaia DR3 5040671754294144512,01 12 21.8410,-25 44 52.145,14,14,0.0413,0.0221,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,01 12 21.8410,-25 44 52.145,-0.302,-0.928,0.0175,-116.7,1
True,-24:44:48.3,01:11:13.03,ATLAS_26,Gaia DR3 5040976937490509184,01 11 13.0258,-24 44 48.247,14,14,0.034,0.0273,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,01 11 13.0258,-24 44 48.247,-0.24,-0.992,0.0482,-118.7,1
True,-22:54:15.5,00:52:59.32,ATLAS_27,Gaia DR3 2346224467824940544,00 52 59.3379,-22 54 15.575,14,14,0.0444,0.0334,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,00 52 59.3379,-22 54 15.575,-0.451,-0.988,0.0867,-142.2,1
True,-52:11:43.8,21:48:16.11,Chenab_10,Gaia DR3 6558441247408890240,21 48 16.1109,-52 11 43.737,14,14,0.0204,0.0171,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,21 48 16.1109,-52 11 43.737,0.348,-2.454,0.0048,-147.9,1
True,-52:01:06.6,21:46:14.54,Chenab_12,Gaia DR3 6558460660661091456,21 46 14.5348,-52 01 06.566,14,14,0.0198,0.0133,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,21 46 14.5348,-52 01 06.566,0.317,-2.394,0.0688,-146.6,1
True,-49:38:05.0,21:54:15.45,Chenab_16,Gaia DR3 6559165825572005120,21 54 15.4457,-49 38 04.966,14,14,0.0329,0.0273,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,21 54 15.4457,-49 38 04.966,0.407,-2.24,0.0158,-159.3,1
