Name,Simbad_Identifier,System,RA_hms,DEC_dms,Date,MJD,gmag,rmag,t_exp,Slit,SNR4500,SNR6500,Vel,e_Vel,Nord,Vaat
ATLAS_0,Gaia DR3 2345957664457105408,ATLAS,00:58:40.08,-23:51:49.7,"2019 Jul 27",58691.29,16.17,15.47,20,0.7,18,35,-131.0,0.3,35,-130.8
ATLAS_1,Gaia DR3 2349268564550587904,ATLAS,00:48:54.95,-22:44:58.0,"2018 Sep 30",58391.07,16.90,16.32,120,0.7,18,33,-135.7,0.5,33,-137.0
ATLAS_12,Gaia DR3 5022844307121290752,ATLAS,01:40:08.67,-29:52:14.6,"2018 Sep 30",58391.29,15.71,14.88,80,0.7,13,29,-84.4,0.4,19,-85.5
ATLAS_22,Gaia DR3 5039838702437479936,ATLAS,01:16:27.10,-26:07:01.0,"2018 Oct  1",58392.35,16.22,15.50,20,0.7,19,37,-112.1,0.5,35,-114.5
ATLAS_25,Gaia DR3 5040671754294144512,ATLAS,01:12:21.84,-25:44:52.2,"2019 Jul 28",58692.26,16.56,15.92,56,0.7,22,45,-116.7,0.2,35,-115.9
ATLAS_26,Gaia DR3 5040976937490509184,ATLAS,01:11:13.03,-24:44:48.3,"2019 Jul 27",58691.31,16.43,15.83,35,0.7,23,43,-118.7,0.2,34,-118.5
ATLAS_27,Gaia DR3 2346224467824940544,ATLAS,00:52:59.32,-22:54:15.5,"2018 Oct  1",58392.07,16.73,16.12,35,0.7,17,31,-142.2,0.4,34,-130.6
AliqaUma_0,Gaia DR3 4953695608534281088,Aliqa Uma,02:35:26.13,-37:22:30.2,"2019 Oct 19",58775.29,17.37,16.80,120,1.0,17,29,-16.1,0.7,17,-20.4
AliqaUma_5,Gaia DR3 4966915105554905344,Aliqa Uma,02:26:26.20,-35:22:26.1,"2018 Oct  1",58392.29,16.19,15.34,23,0.7,23,46,-22.6,0.3,35,-23.3
AliqaUma_7,Gaia DR3 4969961611757057536,Aliqa Uma,02:16:18.92,-34:06:22.9,"2019 Jul 28",58692.34,17.03,16.45,90,0.7,27,49,-47.3,0.3,34,-35.2
AliqaUma_9,Gaia DR3 4971176778264340352,Aliqa Uma,02:09:08.30,-32:46:06.1,"2018 Oct  1",58392.30,16.10,15.30,25,0.7,24,47,-50.9,0.2,33,-52.4
