Name,Species,N,logepsX_sun,l_logepsX_LTE,logepsX_LTE,logepsX_NLTEcorr,l_logepsX_NLTE,logepsX_NLTE,l_[X/H]_NLTE,[X/H]_NLTE,l_[X/Fe]_NLTE,[X/Fe]_NLTE,e_[X/H],e_[X/Fe]
J0715-7334,Li I,1,3.30,<,0.33,,<,0.33,<,-2.97,<,1.33,,
J0715-7334,C-H,1,8.51,<,3.88,0.11,<,3.99,<,-4.52,<,-0.22,,
J0715-7334,N-H,1,7.94,<,4.56,,<,4.56,<,-3.38,<,0.92,,
J0715-7334,O I,1,8.76,<,6.91,,<,6.91,<,-1.85,<,2.45,,
J0715-7334,Na I,2,6.30,,1.86,0.06,,1.92,,-4.38,,-0.07,0.12,0.09
J0715-7334,Mg I,6,7.57,,3.23,0.26,,3.49,,-4.08,,0.22,0.12,0.11
J0715-7334,Al I,2,6.46,,1.12,0.31,,1.43,,-5.03,,-0.73,0.13,0.09
J0715-7334,Si I,1,7.55,,3.04,0.24,,3.28,,-4.27,,0.03,0.18,0.13
J0715-7334,K I,1,5.12,<,2.18,,<,2.18,<,-2.94,<,1.37,,
J0715-7334,Ca I,2,6.33,,1.87,0.21,,2.08,,-4.25,,0.06,0.13,0.10
J0715-7334,Ca II,2,6.33,,2.05,0.02,,2.07,,-4.26,,0.04,0.24,0.17
J0715-7334,Sc II,3,3.08,,-1.43,,,-1.43,,-4.51,,-0.21,0.21,0.13
J0715-7334,Ti II,13,4.94,,0.29,0.33,,0.62,,-4.33,,-0.02,0.14,0.07
J0715-7334,Cr I,2,5.67,,0.57,0.03,,0.60,,-5.08,,-0.77,0.16,0.11
J0715-7334,Mn I,1,5.52,,-0.12,0.68,,0.56,,-4.96,,-0.65,0.30,0.27
J0715-7334,Fe I,58,7.49,,2.97,0.22,,3.19,,-4.30,,0.00,0.13,
J0715-7334,Fe II,6,7.49,,2.76,-0.00,,2.76,,-4.73,,-0.42,0.15,
J0715-7334,Co I,2,4.91,,0.51,0.88,,1.39,,-3.52,,0.79,0.20,0.14
J0715-7334,Ni I,6,6.25,,1.28,-0.00,,1.28,,-4.97,,-0.66,0.16,0.08
J0715-7334,Zn I,1,4.65,<,1.49,,<,1.49,<,-3.16,<,1.15,,
J0715-7334,Sr II,1,2.93,<,-3.35,,<,-3.35,<,-6.28,<,-1.97,,
J0715-7334,Ba II,1,2.22,<,-3.31,,<,-3.31,<,-5.53,<,-1.22,,
