
ID (K15a),ID (M16),RA_hms,DEC_dms,Radius,gP1mag,e_gP1mag,iP1mag,e_iP1mag,Masks,SNR,Vel,e_Vel,Member
,22,02:13:12.69,+36:08:49.4,2.11,20.71,0.09,20.34,0.09,cdefg,44.5,-380.6,3.0,0.6,Y
128,,02:13:14.24,+36:09:51.1,1.06,19.93,0.03,19.41,0.03,bdeg,25.0,-383.3,1.8,0.4,Y
116,21,02:13:15.96,+36:10:15.8,0.53,20.38,0.02,19.92,0.02,bcdeg,26.4,-381.4,3.2,0.9,Y
106,40,02:13:16.55,+36:10:45.8,0.19,17.34,0.01,16.58,0.01,bdef,219.5,-381.6,1.6,0.4,Y
91,20,02:13:19.32,+36:11:33.3,0.93,20.33,0.03,19.79,0.03,bcfg,29.7,-380.1,4.9,1.7,Y
76,23,02:13:20.61,+36:09:46.5,1.12,20.83,0.06,20.53,0.06,bcg,17.0,-385.2,4.2,1.3,Y
,27,02:13:21.35,+36:08:29.1,2.36,21.30,0.07,21.27,0.07,cd,20.0,-376.8,11.7,1.6,Y
65,46,02:13:21.54,+36:09:57.4,1.11,19.03,0.01,18.42,0.01,bdfg,81.8,-381.0,5.9,3.0,Y
,24,02:13:22.00,+36:10:25.9,0.97,21.22,0.07,21.14,0.07,d,17.8,-370.4,17.1,,Y
,26,02:13:24.83,+36:10:21.8,1.54,21.40,0.11,21.17,0.11,c,19.9,-375.6,11.2,,Y
,9,02:13:27.33,+36:13:30.5,3.45,21.25,0.10,21.05,0.10,d,17.6,-387.6,7.7,,Y
,29,02:13:30.95,+36:11:56.0,3.00,21.96,0.20,21.68,0.20,c,14.0,-386.2,4.7,,Y
,31,02:13:52.66,+36:13:24.1,7.61,20.63,0.03,20.12,0.03,cdg,42.8,-377.1,2.7,0.9,Y
,25,02:13:17.14,+36:07:14.1,3.47,21.15,0.05,21.07,0.05,cd,21.3,,,,
,1,02:12:46.71,+36:07:58.2,6.77,19.63,0.01,19.21,0.01,e,49.2,-85.4,1.8,,N
,2,02:12:50.67,+36:08:24.6,5.86,19.76,0.02,19.27,0.02,e,55.0,-89.8,2.1,,N
,14,02:13:02.68,+36:10:32.9,2.97,19.19,0.01,18.76,0.01,e,71.7,-40.6,1.6,,N
,34,02:13:08.87,+36:05:44.3,5.25,18.38,0.01,17.90,0.01,d,122.5,-40.7,1.5,,N
166,,02:13:11.42,+36:12:32.4,2.21,18.51,0.04,17.71,0.04,b,115.8,11.0,5.9,,N
174,,02:13:12.86,+36:11:20.1,1.12,18.22,0.01,17.87,0.01,b,102.7,-100.8,1.6,,N
177,4,02:13:13.22,+36:11:35.4,1.23,19.83,0.01,19.52,0.01,be,36.7,-278.0,3.6,1.4,N
126,15,02:13:14.11,+36:12:22.5,1.80,17.19,0.00,16.33,0.00,b,127.2,2.4,1.5,,N
127,,02:13:14.32,+36:13:03.5,2.45,19.63,0.01,19.08,0.01,b,54.5,-86.0,1.8,,N
113,19,02:13:16.18,+36:11:16.3,0.62,19.15,0.01,18.63,0.01,bdfg,72.7,-56.0,2.7,1.4,N
111,,02:13:16.41,+36:13:00.8,2.33,19.06,0.01,18.71,0.01,bf,66.7,-61.3,1.8,0.5,N
,47,02:13:17.33,+36:08:18.3,2.40,18.72,0.02,18.32,0.02,cdefg,96.7,-71.6,1.6,0.4,N
100,,02:13:18.03,+36:12:32.9,1.85,18.99,0.01,18.23,0.01,bf,87.2,-36.4,2.8,1.5,N
84,,02:13:19.74,+36:11:15.3,0.72,19.41,0.01,18.89,0.01,b,60.7,-66.4,1.7,,N
82,44,02:13:19.89,+36:12:12.3,1.58,18.69,0.01,18.01,0.01,bf,101.8,-176.9,1.5,0.1,N
45,42,02:13:24.28,+36:10:15.1,1.45,17.32,0.00,16.67,0.00,b,153.0,-62.1,1.5,,N
,45,02:13:33.37,+36:10:03.1,3.29,18.86,0.01,18.42,0.01,cdeg,113.9,-59.7,2.6,1.4,N
,3,02:13:38.73,+36:15:02.0,6.10,19.73,0.02,19.30,0.02,cdg,56.3,-67.8,1.6,0.2,N
,50,02:13:39.17,+36:10:39.3,4.39,18.83,0.00,18.35,0.00,e,83.5,-29.8,1.6,,N
,18,02:13:47.91,+36:16:15.1,8.28,18.82,0.01,18.18,0.01,dg,95.2,-149.1,1.7,0.6,N
