Name,Species,N,l_logepsX,logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe],e_logepsX
TriII-40,Li I,1,<,0.65,<,-0.40,<,+2.53,
TriII-40,C I,syn,,5.42,,-3.01,,-0.09,0.15
TriII-40,O I,1,<,6.77,<,-1.92,<,+1.00,
TriII-40,Na I,2,,2.51,,-3.73,,-0.81,0.15
TriII-40,Mg I,5,,4.92,,-2.68,,+0.24,0.05
TriII-40,Al I,1,,3.53,,-2.92,,\phs 0.00,
TriII-40,Si I,1,<,5.35,<,-2.16,<,+0.76,
TriII-40,K I,1,,2.98,,-2.05,,+0.88,
TriII-40,Ca I,16,,3.82,,-2.52,,+0.40,0.20
TriII-40,Sc II,5,,0.53,,-2.62,,+0.30,0.09
TriII-40,Ti I,8,,2.20,,-2.75,,+0.17,0.14
TriII-40,Ti II,16,,2.17,,-2.78,,+0.14,0.16
TriII-40,V I,1,,1.03,,-2.90,,+0.02,
TriII-40,Cr I,7,,2.27,,-3.37,,-0.45,0.30
TriII-40,Mn I,4,,2.07,,-3.36,,-0.44,0.25
TriII-40,Fe I,70,,4.58,,-2.92,,,0.21
TriII-40,Fe II,13,,4.58,,-2.92,,,0.21
TriII-40,Co I,1,,2.19,,-2.79,,+0.13,
TriII-40,Ni I,4,,3.82,,-2.40,,+0.53,0.30
TriII-40,Zn I,1,,2.04,,-2.52,,+0.40,
TriII-40,Sr II,2,,-1.56,,-4.43,,-1.51,0.32
TriII-40,Y II,1,<,-1.47,<,-3.68,<,-0.76,
TriII-40,Ba II,1,,-3.11,,-5.29,,-2.37,
TriII-40,La II,1,<,-1.79,<,-2.89,<,+0.03,
TriII-40,Ce II,1,<,-1.12,<,-2.70,<,+0.22,
TriII-40,Nd II,1,<,-1.25,<,-2.67,<,+0.25,
TriII-40,Eu II,1,<,-2.38,<,-2.90,<,+0.02,
TriII-40,Dy II,1,<,0.17,<,-0.93,<,+1.99,
