JINA_ID,Priority,Ref,Reference,Name,Simbad_Identifier,NLTE,Ncap_key,C_key,MP_key,alpha_key,Loc,System,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Li,Be,C,N,O,F,Na,Mg,Al,Si,P,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Os,Ir,Pt,Au,Hg,Pb,Bi,Th,U,CaII,TiII,VII,CrII,MnII,FeII,Added_by
35,2.0,LAI08,Lai+2008,CS 22957-022,BPS CS 22957-022,,,,,,,,,00:01:45.4879,-05:49:46.650,,,-31.6,2014AJ....147..136R,,13.95,13.34,,,11.809,11.391,11.313,5163,2.47,-2.90,1.6,,,5.75,5.2,6.5,,,4.93,,,,,,3.65,0.29,2.42,1.11,,2.21,4.57,2.28,3.3,0.05,1.98,,,,,,-0.37,-1.06,-0.38,,,,,,,,,,-1.81,,,,,,-2.51,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
235,2.0,LAI08,Lai+2008,CS 22963-004,BPS CS 22963-004,,,,,,,,,02:56:46.5715,-04:51:17.421,,,292.4,2014AJ....147..136R,,15.51,14.98,,,13.632,13.236,13.2,5659,3.4,-3.50,1.6,,,5.5,5.3,6.4,,,4.51,2.2,4.55,,,,3.25,0.02,2.04,0.65,,1.55,4.08,1.98,2.91,-0.15,,,,,,,-1.25,,,,,,,,,,,,-1.73,,,,,,-1.48,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
239,1.0,LAI08,Lai+2008,CS 31078-018,BPS CS 31078-018,,,,,,,,,03:01:00.6866,+06:16:31.808,,,81.74,,,13.9,13.211,12.713,12.19,11.496,11.071,10.999,5257,2.75,-2.85,1.5,,,6.05,4.7,6.8,,,5.16,2.9,,,,,3.93,0.43,2.56,1.29,2.65,2.56,4.66,2.42,3.5,0.35,2.17,,,,,,0.37,-0.36,0.39,,,,,,,,,,0.01,-0.93,,,,,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
457,1.0,LAI08,Lai+2008,BS 16928-053,BPS BS 16928-053,,,,,,,,,12:22:28.0240,+34:11:31.690,,,-82.0,2013MNRAS.434.1681C,,14.38,13.54,12.886,12.339,11.655,11.144,11.042,4691,1.16,-3.05,2.1,,,5.2,5.9,,,3.29,4.8,2.5,5.64,,,,3.5,-0.06,2.16,0.56,,1.82,4.43,1.89,3.03,,,,,,,,-0.44,-1.24,-0.57,,,,,,,,,,-1.76,,,,,,-2.96,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
499,1.0,LAI08,Lai+2008,BS 16929-005,BPS BS 16929-005,,,,,,,,,13:03:29.4751,+33:51:09.242,,,-49.0,2013MNRAS.434.1681C,14.109,14.228,13.61,13.208,12.766,12.172,11.751,11.669,5245,2.7,-3.35,1.6,,,6.15,4.9,,,2.98,4.69,2.47,,,,,3.35,-0.2,2.18,0.67,,,4.16,1.96,2.99,,,,,,,,0.0,-0.88,-0.21,,,,,,,,,,-1.49,,,,,,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
602,1.0,LAI08,Lai+2008,CS 30325-028,BPS CS 30325-028,,,,,,,,,15:05:19.8064,+06:17:06.933,,,-158.0,2013MNRAS.434.1681C,,13.64,12.88,12.387,11.893,11.195,10.681,10.619,4911,1.7,-2.90,1.8,,,6.0,4.8,6.5,,,5.09,,,,,,3.78,0.35,2.47,1.13,2.76,2.08,4.6,2.25,3.31,0.13,2.03,,,,,,0.23,-0.65,0.1,,,,,,,,,,-1.11,-1.91,,,,,-2.24,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
624,2.0,LAI08,Lai+2008,CS 30312-059,BPS CS 30312-059,,,,,,,,,15:34:48.8386,-01:23:37.343,,,-152.21,2013MNRAS.434.1681C,,13.85,13.14,12.596,12.065,11.289,10.813,10.696,5021,2.06,-3.15,1.8,,,5.65,4.3,,,3.36,4.85,2.45,,,,,3.55,0.1,2.27,0.9,2.62,1.72,4.36,2.06,3.06,,,,,,,,-0.19,-0.91,-0.19,,,,,,,,,,-1.02,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
631,2.0,LAI08,Lai+2008,CS 22884-108,BPS CS 22884-108,,,,,,,,,15:49:57.5787,-09:14:09.211,,,-27.0,1992AJ....103.1987B,,14.74,14.24,,,12.996,12.679,12.588,6290,4.44,-3.15,1.4,,,6.3,6.0,,,,4.62,2.6,4.52,,,,3.58,0.48,2.68,,,,4.36,,3.11,,,,,,,,0.12,,,,,,,,,,,,-0.77,,,,,,-0.72,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
638,1.0,LAI08,Lai+2008,BS 16084-160,BPS BS 16084-160,,,,,,,,,16:28:50.7923,+54:37:06.886,,,-132.32,,,13.94,13.12,12.63,12.103,11.345,10.838,10.747,4728,1.26,-3.15,2.1,,,5.2,5.5,5.9,,2.91,4.59,2.3,4.97,,,,3.34,0.06,1.91,0.66,,1.75,4.3,1.81,2.92,-0.63,,,,,,,-2.33,,,,,,,,,,,,-3.06,,,,,,-2.94,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
641,1.0,LAI08,Lai+2008,BS 16080-054,BPS BS 16080-054,,,,,,,,,16:39:18.5345,+60:57:42.547,,,-120.3335,2013MNRAS.434.1681C,,13.5,12.79,,11.786,11.097,10.632,10.508,4805,1.48,-3.00,2.1,,,5.0,5.6,,,3.74,4.95,2.7,4.95,,,,3.7,0.08,2.25,0.9,2.39,1.73,4.43,1.93,3.13,,,,,,,,0.06,-0.71,-0.16,,,,,,,,,,-1.36,,,,,,-2.33,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
