Name        , Teff, Fe/H , logg, Vmic
CS 22957-022, 5163, -2.90, 2.47,  1.6
CS 22963-004, 5659, -3.50, 3.4 ,  1.6
CS 31078-018, 5257, -2.85, 2.75,  1.5
BS 16928-053, 4691, -3.05, 1.16,  2.1
BS 16929-005, 5245, -3.35, 2.7 ,  1.6
CS 30325-028, 4911, -2.90, 1.7 ,  1.8
CS 30312-059, 5021, -3.15, 2.06,  1.8
CS 22884-108, 6290, -3.15, 4.44,  1.4
BS 16084-160, 4728, -3.15, 1.26,  2.1
BS 16080-054, 4805, -3.00, 1.48,  2.1
BS 16080-093, 4940, -3.20, 1.86,  1.9
CS 30336-049, 4827, -3.95, 1.51,  2.3
CS 22944-032, 5300, -3.00, 2.87,  1.5
CS 29502-092, 4890, -3.30, 1.72,  1.6
BD+03 740   , 6557, -2.75, 4.28,  1.8
BD+23 3130  , 5285, -2.60, 2.83,  1.6
BD+24 1676  , 6241, -2.60, 3.81,  1.6
BS 16077-007, 6544, -2.80, 4.29,  1.6
CS 22872-102, 5984, -2.90, 3.63,  1.5
CS 22878-027, 6348, -2.50, 4.39,  1.4
CS 22880-086, 5188, -3.00, 2.55,  1.5
CS 22965-054, 6205, -3.10, 3.73,  1.7
CS 29506-007, 6369, -2.85, 3.84,  1.4
CS 29522-046, 6055, -2.10, 3.8 ,  1.4
CS 31085-024, 5949, -2.70, 4.57,  0.9
BS 16467-062, 5388, -3.70, 3.04,  1.7
BS 16550-087, 4750, -3.50, 1.31,  2.3
BS 16545-089, 6500, -3.50, 4.25,  1.6
