Star,Li,Be,C,N,O,F,Na,Mg,Al,Si,P,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Os,Ir,Pt,Au,Hg,Pb,Bi,Th,U,CaII,TiII,VII,CrII,MnII,FeII
CS 22957-022,,,5.75,5.2,6.5,,,4.93,,,,,,3.65,0.29,2.42,1.11,,2.21,4.57,2.28,3.3,0.05,1.98,,,,,,-0.37,-1.06,-0.38,,,,,,,,,,-1.81,,,,,,-2.51,,,,,,,,,,,,,,,,,,,,,,,,,
CS 22963-004,,,5.5,5.3,6.4,,,4.51,2.2,4.55,,,,3.25,0.02,2.04,0.65,,1.55,4.08,1.98,2.91,-0.15,,,,,,,-1.25,,,,,,,,,,,,-1.73,,,,,,-1.48,,,,,,,,,,,,,,,,,,,,,,,,,
CS 31078-018,,,6.05,4.7,6.8,,,5.16,2.9,,,,,3.93,0.43,2.56,1.29,2.65,2.56,4.66,2.42,3.5,0.35,2.17,,,,,,0.37,-0.36,0.39,,,,,,,,,,0.01,-0.93,,,,,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,
BS 16928-053,,,5.2,5.9,,,3.29,4.8,2.5,5.64,,,,3.5,-0.06,2.16,0.56,,1.82,4.43,1.89,3.03,,,,,,,,-0.44,-1.24,-0.57,,,,,,,,,,-1.76,,,,,,-2.96,,,,,,,,,,,,,,,,,,,,,,,,,
BS 16929-005,,,6.15,4.9,,,2.98,4.69,2.47,,,,,3.35,-0.2,2.18,0.67,,,4.16,1.96,2.99,,,,,,,,0.0,-0.88,-0.21,,,,,,,,,,-1.49,,,,,,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,
CS 30325-028,,,6.0,4.8,6.5,,,5.09,,,,,,3.78,0.35,2.47,1.13,2.76,2.08,4.6,2.25,3.31,0.13,2.03,,,,,,0.23,-0.65,0.1,,,,,,,,,,-1.11,-1.91,,,,,-2.24,,,,,,,,,,,,,,,,,,,,,,,,,
CS 30312-059,,,5.65,4.3,,,3.36,4.85,2.45,,,,,3.55,0.1,2.27,0.9,2.62,1.72,4.36,2.06,3.06,,,,,,,,-0.19,-0.91,-0.19,,,,,,,,,,-1.02,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
CS 22884-108,,,6.3,6.0,,,,4.62,2.6,4.52,,,,3.58,0.48,2.68,,,,4.36,,3.11,,,,,,,,0.12,,,,,,,,,,,,-0.77,,,,,,-0.72,,,,,,,,,,,,,,,,,,,,,,,,,
BS 16084-160,,,5.2,5.5,5.9,,2.91,4.59,2.3,4.97,,,,3.34,0.06,1.91,0.66,,1.75,4.3,1.81,2.92,-0.63,,,,,,,-2.33,,,,,,,,,,,,-3.06,,,,,,-2.94,,,,,,,,,,,,,,,,,,,,,,,,,
BS 16080-054,,,5.0,5.6,,,3.74,4.95,2.7,4.95,,,,3.7,0.08,2.25,0.9,2.39,1.73,4.43,1.93,3.13,,,,,,,,0.06,-0.71,-0.16,,,,,,,,,,-1.36,,,,,,-2.33,,,,,,,,,,,,,,,,,,,,,,,,,
BS 16080-093,,,4.7,,,,,4.83,2.4,4.78,,,,3.44,0.07,2.24,0.72,,,4.31,2.03,3.09,,,,,,,,-0.35,-1.23,-0.42,,,,,,,,,,-1.33,,,,,,-2.48,,,,,,,,,,,,,,,,,,,,,,,,,
CS 30336-049,,,4.2,4.8,5.8,,,3.62,,3.7,,,,2.41,-0.69,1.25,,,0.83,3.46,1.35,2.16,-1.0,,,,,,,-2.57,,,,,,,,,,,,-3.23,,,,,,-2.58,,,,,,,,,,,,,,,,,,,,,,,,,
