Name,T_(V-I),T_(V-J),T_(V-H),T_(V-K),BC_V,M_bol,Teff,logg,Vmic,Fe/H,SNR (H10),SNR (H13),SNR (H14)
MKV0397,4494,,,,-0.50,-2.19,4490,1.1,1.9,-2.0,31,22,27
MKV0458,4518,,,,-0.48,-2.18,4520,1.1,1.8,-1.6,31,25,28
MKV0514,4454,4453,4407,4417,-0.54,-2.51,4430,0.9,2.5,-2.3,40,20,41
MKV0556,4636,4683,4668,4675,-0.41,-1.36,4670,1.5,2.2,-1.6,13,9,14
MKV0577,4623,4699,4616,4689,-0.43,-1.66,4660,1.4,1.4,-1.6,20,14,20
MKV0596,4313,6397,5755,5714,-0.11,-2.20,4660,1.5,1.7,-1.5,33,34,51
MKV0614,4587,,,,-0.45,-1.87,4590,1.3,1.8,-1.6,22,17,20
MKV0628,4381,,,,-0.56,-2.50,4380,1.0,1.7,-1.65,17,32,32
MKV0640,4425,,,,-0.53,-2.39,4420,1.0,1.8,-1.7,24,30,34
MKV0652,4540,4615,4572,4549,-0.48,-2.06,4570,1.2,1.8,-2.3,21,13,25
MKV0677,4306,,,,-0.61,-3.06,4300,0.7,1.7,-1.75,38,48,40
MKV0698,4218,4114,4119,4116,-0.74,-3.27,4150,0.55,2.0,-1.5,47,42,51
MKV0708,4668,,,,-0.42,-2.16,4670,1.2,1.8,-1.6,20,21,26
MKV0729,4551,,,,-0.46,-1.97,4550,1.2,2.1,-1.35,18,18,25
MKV0733,4491,,,,-0.50,-1.87,4490,1.25,2.0,-1.7,21,20,28
MKV0740,4585,,,,-0.44,-1.61,4585,1.3,2.2,-1.2,19,16,18
MKV0743,4694,,,,-0.40,-1.33,4690,1.55,1.5,-1.2,13,8,15
MKV0770,4535,4490,4508,4492,-0.49,-2.31,4500,1.0,1.7,-1.6,25,30,33
MKV0780,4556,4539,4538,4565,-0.47,-2.00,4550,1.2,2.3,-1.8,23,17,24
MKV0812,4709,4765,4712,4715,-0.38,-1.39,4720,1.5,2.0,-1.35,12,10,15
MKV0825,4345,4335,4339,4340,-0.59,-2.57,4340,0.9,1.7,-1.4,35,34,41
MKV0840,4378,4388,4390,4391,-0.56,-2.47,4380,0.9,1.5,-1.1,26,27,35
MKV0842,4718,,,,-0.38,-1.51,4720,1.4,2.3,-1.45,13,13,16
MKV0880,4212,4171,4186,4181,-0.70,-3.00,4190,0.6,1.9,-1.5,42,36,39
MKV0900,4207,4166,4174,4181,-0.71,-3.06,4180,0.6,1.7,-1.7,44,28,49
MKV0902,4360,,,,-0.58,-2.54,4360,0.9,1.9,-1.9,27,22,41
MKV0914,4365,,,,-0.58,-2.48,4360,0.9,2.4,-2.5,29,21,31
MKV0916,4454,4411,4421,4464,-0.53,-2.04,4440,1.1,2.1,-1.5,13,13,20
MKV0925,4698,,,,-0.40,-1.93,4700,1.3,2.2,-1.5,17,17,21
MKV0948,4339,,,,-0.59,-2.75,4340,0.8,1.6,-2.05,29,25,44
MKV0976,4692,4731,4706,4748,-0.38,-1.54,4720,1.4,1.7,-1.3,15,11,16
MKV1007,4443,4277,4261,4279,-0.60,-2.49,4315,0.9,1.4,-1.4,32,27,34
MKV1009,4522,4479,4483,4472,-0.50,-2.00,4490,1.2,2.0,-1.7,22,16,21
MKV1012,4488,4415,4419,4430,-0.53,-2.25,4440,1.0,1.8,-1.6,22,27,31
MKV1061,4453,4534,4456,4489,-0.50,-2.03,4480,1.1,1.7,-1.5,19,17,27
