Name,Simbad_Identifier,System,Loc,RA_hms,DEC_dms,Bmag,Vmag,Imag,Jmag,Hmag,Kmag,Vel,e_Vel,EW
Fnx-mem0514,[WMO2009] For-1097,Fornax,DW,02:38:40.14,-34:39:11.80,20.056,18.450,16.897,15.520,14.753,14.547,39.3,0.36,m0514
Fnx-mem0522,[LDH2014] Fnx-mem0522,Fornax,DW,02:38:47.86,-34:39:39.40,20.149,18.535,16.872,15.645,14.896,14.685,40.1,0.94,m0522
Fnx-mem0528,[LDH2014] Fnx-mem0528,Fornax,DW,02:37:32.45,-34:39:53.30,19.743,18.536,17.290,16.036,15.429,15.290,55.9,0.42,
Fnx-mem0532,[LDH2014] Fnx-mem0532,Fornax,DW,02:38:01.37,-34:40:11.30,20.218,18.722,17.288,16.135,15.438,15.272,48.5,0.94,m0532
Fnx-mem0538,[LDH2014] Fnx-mem0538,Fornax,DW,02:38:03.84,-34:40:38.70,19.893,18.561,---,---,---,---,79.5,0.00,
Fnx-mem0539,2MASS J02373287-3440420,Fornax,DW,02:37:32.86,-34:40:41.80,20.096,18.570,17.139,15.951,15.239,15.080,25.0,0.24,m0539
Fnx-mem0543,[LDH2014] Fnx-mem0543,Fornax,DW,02:38:02.43,-34:41:00.40,20.140,18.544,17.018,15.814,15.092,14.909,51.1,0.30,m0543
Fnx-mem0546,2MASS J02384635-3441147,Fornax,DW,02:38:46.31,-34:41:14.50,20.132,18.693,17.286,16.268,15.636,15.486,65.2,0.57,
Fnx-mem0556,[LDH2014] Fnx-mem0556,Fornax,DW,02:38:45.53,-34:41:44.90,20.159,18.666,17.171,16.063,15.344,15.151,50.4,0.72,m0556
Fnx-mem0571,[LDH2014] Fnx-mem0571,Fornax,DW,02:38:49.44,-34:42:29.20,19.802,18.530,16.991,16.006,15.409,15.214,38.9,1.06,
Fnx-mem0572,[LDH2014] Fnx-mem0572,Fornax,DW,02:38:44.58,-34:42:33.10,20.185,18.665,17.172,16.042,15.335,15.138,47.4,0.38,m0572
Fnx-mem0574,2MASS J02382648-3442367,Fornax,DW,02:38:26.46,-34:42:36.60,20.291,18.606,16.979,15.794,15.028,14.820,38.5,0.24,m0574
Fnx-mem0584,[WMO2009] For-1353,Fornax,DW,02:37:23.65,-34:43:20.90,19.832,18.653,17.518,16.386,15.824,15.700,65.0,1.16,m0584
Fnx-mem0595,[LDH2014] Fnx-mem0595,Fornax,DW,02:38:35.50,-34:44:02.40,20.190,18.567,16.999,15.839,15.122,14.937,48.7,0.19,m0595
Fnx-mem0598,2MASS J02380004-3444219,Fornax,DW,02:38:00.01,-34:44:21.80,20.340,18.582,16.928,15.558,14.758,14.556,37.9,0.38,m0598
Fnx-mem0604,DK 13,Fornax,DW,02:38:52.25,-34:44:55.00,20.047,18.254,16.458,15.229,14.433,14.216,44.7,0.29,m0604
Fnx-mem0606,2MASS J02383024-3445030,Fornax,DW,02:38:30.20,-34:45:02.70,20.464,18.623,16.647,15.316,14.483,14.265,51.3,1.11,m0606
Fnx-mem0607,2MASS J02382246-3445061,Fornax,DW,02:38:22.41,-34:45:06.00,20.123,18.576,17.014,15.871,15.170,14.968,50.3,0.38,m0607
Fnx-mem0610,[LDH2014] Fnx-mem0610,Fornax,DW,02:38:36.71,-34:45:20.70,20.006,18.537,16.526,15.358,14.754,14.523,57.6,0.29,
Fnx-mem0612,2MASS J02385092-3445351,Fornax,DW,02:38:50.89,-34:45:35.00,19.887,18.541,17.144,16.134,15.500,15.338,68.4,0.77,m0612
Fnx-mem0613,DK 12,Fornax,DW,02:38:59.50,-34:45:36.00,20.029,18.493,16.826,15.642,14.894,14.716,53.5,0.81,m0613
Fnx-mem0621,[KHI2013] III-84,Fornax,DW,02:37:44.47,-34:45:58.60,19.741,18.607,17.293,16.238,15.668,15.516,53.6,0.50,
Fnx-mem0626,2MASS J02382200-3446368,Fornax,DW,02:38:21.97,-34:46:36.60,20.119,18.646,17.135,16.041,15.367,15.182,38.0,0.43,m0626
Fnx-mem0629,[LDH2014] Fnx-mem0629,Fornax,DW,02:37:20.19,-34:46:45.70,20.200,18.691,17.207,16.030,15.306,15.149,53.2,0.79,m0629
Fnx-mem0631,[LDH2014] Fnx-mem0631,Fornax,DW,02:38:52.93,-34:47:01.00,19.677,18.234,16.797,15.726,15.048,14.878,43.5,0.44,m0631
Fnx-mem0633,2MASS J02375588-3447160,Fornax,DW,02:37:55.85,-34:47:15.70,20.157,18.514,16.914,15.637,14.884,14.725,34.1,0.19,m0633
Fnx-mem0634,[LDH2014] Fnx-mem0634,Fornax,DW,02:38:55.48,-34:47:20.70,20.238,18.739,17.232,16.127,15.415,15.282,50.3,0.88,m0634
Fnx-mem0638,DK  9,Fornax,DW,02:38:42.14,-34:47:40.00,20.125,18.533,16.885,15.680,14.907,14.696,35.2,0.57,m0638
