Name,RA_hms,DEC_dms
BL038,02:40:20.45,-34:24:00.1
BL045,02:40:07.52,-34:23:31.8
BL052,02:40:10.42,-34:25:17.6
BL065,02:39:22.15,-34:19:40.3
BL076,02:39:31.49,-34:23:05.1
BL077,02:39:51.42,-34:21:20.9
BL079,02:39:19.60,-34:24:49.3
BL081,02:39:56.01,-34:24:10.5
BL084,02:38:42.96,-34:25:49.1
BL085,02:38:55.53,-34:25:36.3
BL091,02:39:04.31,-34:25:18.8
BL092,02:38:49.28,-34:24:04.9
BL096,02:39:14.33,-34:22:41.5
BL097,02:39:04.07,-34:23:52.7
BL100,02:38:56.00,-34:24:44.8
BL104,02:39:14.59,-34:23:21.0
BL113,02:39:08.16,-34:36:53.3
BL115,02:38:43.45,-34:32:05.3
BL123,02:38:53.75,-34:30:06.6
BL125,02:39:08.50,-34:30:55.4
BL132,02:38:53.62,-34:33:04.5
BL135,02:39:01.55,-34:36:48.7
BL138,02:39:16.20,-34:37:00.2
BL140,02:39:11.56,-34:30:44.7
BL141,02:39:10.99,-34:28:34.4
BL146,02:38:41.76,-34:28:58.4
BL147,02:38:44.02,-34:30:51.8
BL148,02:39:11.05,-34:39:08.6
BL149,02:38:57.19,-34:35:39.8
BL150,02:39:13.94,-34:28:36.1
BL151,02:39:00.29,-34:30:30.0
BL155,02:38:40.44,-34:35:25.0
BL156,02:39:05.62,-34:26:30.6
BL158,02:39:06.84,-34:35:45.7
BL160,02:39:01.74,-34:27:19.2
BL163,02:38:43.54,-34:32:25.4
BL166,02:39:16.01,-34:30:12.9
BL168,02:39:14.78,-34:27:29.8
BL171,02:39:15.48,-34:30:46.5
BL173,02:39:14.36,-34:34:42.3
BL180,02:39:33.38,-34:33:58.4
BL185,02:39:27.67,-34:37:48.5
BL190,02:39:17.80,-34:30:56.8
BL195,02:39:20.21,-34:31:57.0
BL196,02:39:34.07,-34:33:33.2
BL197,02:39:29.33,-34:26:35.5
BL203,02:39:50.64,-34:26:47.0
BL204,02:39:16.23,-34:32:29.9
BL205,02:39:38.06,-34:37:06.2
BL208,02:39:32.94,-34:32:06.2
BL210,02:39:47.65,-34:27:05.4
BL211,02:39:51.18,-34:29:58.6
BL213,02:39:50.18,-34:35:59.3
BL216,02:39:41.92,-34:30:35.9
BL218,02:39:50.77,-34:28:36.5
BL221,02:39:31.85,-34:29:19.9
BL227,02:39:45.25,-34:31:57.8
BL228,02:39:53.84,-34:29:56.4
BL229,02:39:24.80,-34:34:38.1
BL233,02:39:53.58,-34:37:50.1
BL239,02:39:47.09,-34:31:49.8
BL242,02:39:28.03,-34:34:01.2
BL247,02:39:43.07,-34:40:18.4
BL250,02:39:45.03,-34:40:11.1
BL253,02:39:34.08,-34:33:09.6
BL257,02:39:57.30,-34:31:20.8
BL258,02:39:49.68,-34:28:50.4
BL260,02:39:55.38,-34:29:54.6
BL261,02:39:57.80,-34:26:48.8
BL262,02:39:38.42,-34:26:10.3
BL266,02:40:10.00,-34:29:58.8
BL267,02:40:17.50,-34:26:06.1
BL269,02:39:58.20,-34:32:05.3
BL278,02:40:04.38,-34:27:11.3
BL279,02:40:02.70,-34:38:29.9
BL295,02:40:26.72,-34:26:56.8
BL300,02:40:17.90,-34:27:00.7
BL304,02:40:05.49,-34:32:42.7
BL311,02:40:22.64,-34:31:31.0
BL315,02:40:24.22,-34:26:20.0
BL323,02:40:16.76,-34:29:34.4
