Found,DEC_input,RA_input,Query_ID,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,SCRIPT_NUMBER_ID
True,-34:24:00.1,02:40:20.45,BL038,[WMO2009] For-0956,02 40 20.4704,-34 24 00.376,14,14,0.0533,0.0795,90,A,O,2020yCat.1350....0G,,,18.37,,16.73,15.67,14.792,14.611,Star,,02 40 20.4704,-34 24 00.376,0.372,-0.283,,63.4144,1
True,-34:23:31.8,02:40:07.52,BL045,[WMO2009] For-1877,02 40 07.5419,-34 23 31.992,14,14,0.0565,0.0831,90,A,O,2020yCat.1350....0G,,,18.42,,16.99,15.966,15.15,14.948,Star,,02 40 07.5419,-34 23 31.992,0.343,-0.221,,79.54,1
True,-34:25:17.6,02:40:10.42,BL052,[WMO2009] For-1255,02 40 10.4430,-34 25 17.664,14,14,0.0523,0.0725,90,A,O,2020yCat.1350....0G,,,18.45,,16.81,15.799,15.043,14.971,ChemPec*,,02 40 10.4430,-34 25 17.664,0.297,-0.356,0.0354,29.0219,1
True,-34:19:40.3,02:39:22.15,BL065,GB07 Fnx01,02 39 22.1826,-34 19 40.745,14,14,0.0586,0.0773,90,A,O,2020yCat.1350....0G,,,18.355,,17.0,16.137,15.455,15.071,RGB*,,02 39 22.1826,-34 19 40.745,0.289,-0.272,0.1902,63.86,1
True,-34:23:05.1,02:39:31.49,BL076,GB07 Fnx03,02 39 31.5212,-34 23 05.395,14,14,0.0548,0.0755,90,A,O,2020yCat.1350....0G,,,18.534,,17.05,15.858,15.167,15.057,RGB*,,02 39 31.5212,-34 23 05.395,0.288,-0.194,,52.2863,1
True,-34:21:20.9,02:39:51.42,BL077,GB07 Fnx02,02 39 51.4491,-34 21 21.107,14,14,0.0559,0.0771,90,A,O,2020yCat.1350....0G,,20.63,18.548,,,15.855,15.131,15.174,RGB*,,02 39 51.4491,-34 21 21.107,0.332,-0.188,,56.7911,1
True,-34:24:49.3,02:39:19.60,BL079,DK 39,02 39 19.6328,-34 24 49.616,14,14,0.0555,0.0732,90,A,O,2020yCat.1350....0G,,20.31,18.5,,16.94,15.924,14.924,14.738,AGB*,,02 39 19.6328,-34 24 49.616,0.315,-0.324,,56.31,1
True,-34:24:10.5,02:39:56.01,BL081,[WMO2009] For-1233,02 39 56.0375,-34 24 10.603,14,14,0.0637,0.0921,90,A,O,2020yCat.1350....0G,,,18.46,,16.98,16.013,15.335,15.109,Star,,02 39 56.0375,-34 24 10.603,0.617,-0.996,0.3292,50.58,1
True,-34:25:49.1,02:38:42.96,BL084,[LHT2010] BL084,02 38 42.9879,-34 25 49.436,14,14,0.0501,0.0641,90,A,O,2020yCat.1350....0G,,,,,,15.918,14.907,14.689,Star,,02 38 42.9879,-34 25 49.436,0.355,-0.384,0.1412,58.92,1
True,-34:25:36.3,02:38:55.53,BL085,GB07 Fnx06,02 38 55.5567,-34 25 36.681,14,14,0.0471,0.0608,90,A,O,2020yCat.1350....0G,,,18.188,,,15.823,15.21,14.964,RGB*,,02 38 55.5567,-34 25 36.681,0.354,-0.215,,88.97,1
