Name,RA_hms,DEC_dms,T(V-I),T(V-J),T(V-H),T(V-K),Tavg,logg1,BC,Mbol
BL038,02:40:20.45,-34:24:00.1,3984,3976,3996,3964,3980,0.69,-0.93,-3.32
BL045,02:40:07.52,-34:23:31.8,4114,4134,4128,4110,4122,0.85,-0.77,-3.07
BL052,02:40:10.42,-34:25:17.6,4009,3999,3995,3984,3997,0.72,-0.91,-3.27
BL061,02:39:28.59,-34:18:38.0,4316,4341,4335,4333,4331,0.84,-0.60,-3.30
BL065,02:39:22.15,-34:19:40.3,4315,4340,4334,4332,4330,0.97,-0.59,-2.99
BL069,02:39:29.56,-34:25:10.6,4143,3999,4033,3994,4042,0.72,-0.86,-3.29
BL070,02:39:40.46,-34:19:38.8,3939,3928,3931,3935,3933,0.68,-1.00,-3.29
BL076,02:39:31.49,-34:23:05.1,4088,4061,4063,4048,4065,0.83,-0.83,-3.05
BL077,02:39:51.42,-34:21:20.9,4027,4024,4025,4028,4026,0.80,-0.88,-3.08
BL079,02:39:19.60,-34:24:49.3,3986,3903,3922,3934,3936,0.76,-1.01,-3.08
BL081,02:39:56.01,-34:24:10.5,4102,4045,4060,4042,4062,0.82,-0.84,-3.07
BL084,02:38:42.96,-34:25:49.1,3972,3964,3966,3970,3968,0.72,-0.95,-3.23
BL085,02:38:55.53,-34:25:36.3,4277,4299,4294,4293,4291,0.87,-0.63,-3.19
BL091,02:39:04.31,-34:25:18.8,4155,4165,4163,4164,4162,0.86,-0.73,-3.09
BL092,02:38:49.28,-34:24:04.9,3965,3956,3959,3963,3961,0.74,-0.96,-3.16
BL093,02:38:39.87,-34:25:57.1,4068,4070,4070,4072,4070,0.90,-0.82,-2.87
BL094,02:38:53.89,-34:25:06.7,3990,3984,3985,3989,3987,0.72,-0.92,-3.24
BL096,02:39:14.33,-34:22:41.5,4012,4008,4009,4013,4010,0.75,-0.90,-3.19
BL097,02:39:04.07,-34:23:52.7,4058,4059,4059,4062,4060,0.82,-0.84,-3.06
BL100,02:38:56.00,-34:24:44.8,4043,4042,4043,4046,4044,0.84,-0.86,-3.01
BL104,02:39:14.59,-34:23:21.0,4014,4011,4012,4015,4013,0.77,-0.89,-3.15
BL107,02:38:54.37,-34:31:23.5,4366,4396,4389,4387,4384,0.83,-0.56,-3.37
BL109,02:39:04.08,-34:37:58.7,4334,4360,4354,4352,4350,0.93,-0.58,-3.09
BL112,02:38:45.68,-34:34:47.5,4096,4100,4099,4101,4099,0.76,-0.79,-3.27
BL113,02:39:08.16,-34:36:53.3,4179,4191,4188,4189,4187,0.83,-0.72,-3.19
BL115,02:38:43.45,-34:32:05.3,4112,4117,4116,4118,4116,0.79,-0.77,-3.22
BL119,02:38:42.17,-34:29:50.8,3964,3956,3959,3963,3960,0.73,-0.96,-3.19
BL122,02:39:02.91,-34:31:12.0,4051,4051,4052,4054,4052,0.76,-0.84,-3.22
BL123,02:38:53.75,-34:30:06.6,3995,3990,3991,3995,3993,0.71,-0.92,-3.27
BL125,02:39:08.50,-34:30:55.4,4078,4080,4080,4082,4080,0.79,-0.82,-3.17
BL127,02:39:04.00,-34:37:26.1,3963,3955,3957,3961,3959,0.71,-0.96,-3.25
BL132,02:38:53.62,-34:33:04.5,3916,3903,3906,3911,3909,0.65,-1.04,-3.33
BL135,02:39:01.55,-34:36:48.7,4057,4058,4058,4061,4058,0.83,-0.84,-3.06
BL138,02:39:16.20,-34:37:00.2,3989,3906,3924,3937,3939,0.71,-0.99,-3.21
BL140,02:39:11.56,-34:30:44.7,3995,3989,3991,3994,3992,0.75,-0.92,-3.17
BL141,02:39:10.99,-34:28:34.4,4076,4078,4078,4080,4078,0.84,-0.82,-3.04
BL146,02:38:41.76,-34:28:58.4,4074,4076,4076,4078,4076,0.84,-0.82,-3.04
BL147,02:38:44.02,-34:30:51.8,4186,4199,4196,4197,4194,0.94,-0.70,-2.92
BL148,02:39:11.05,-34:39:08.6,3929,3917,3920,3925,3923,0.72,-1.03,-3.16
BL149,02:38:57.19,-34:35:39.8,4097,4101,4100,4102,4100,0.88,-0.80,-2.97
BL150,02:39:13.94,-34:28:36.1,4026,4023,4024,4027,4025,0.80,-0.88,-3.08
BL151,02:39:00.29,-34:30:30.0,4025,4022,4023,4026,4024,0.81,-0.88,-3.06
BL153,02:39:08.35,-34:32:44.8,4035,4033,4034,4037,4035,0.82,-0.86,-3.04
BL155,02:38:40.44,-34:35:25.0,4059,4060,4060,4063,4060,0.90,-0.84,-2.87
BL156,02:39:05.62,-34:26:30.6,4096,4100,4099,4101,4099,0.89,-0.79,-2.95
BL157,02:39:02.44,-34:27:35.4,4073,4075,4075,4077,4075,0.88,-0.82,-2.93
BL158,02:39:06.84,-34:35:45.7,4076,4079,4078,4081,4078,0.87,-0.82,-2.96
BL160,02:39:01.74,-34:27:19.2,4027,4025,4026,4029,4027,0.84,-0.88,-3.00
BL163,02:38:43.54,-34:32:25.4,4025,4022,4023,4026,4024,0.88,-0.88,-2.89
BL165,02:39:13.37,-34:40:15.8,3967,3959,3961,3965,3963,0.77,-0.95,-3.08
BL166,02:39:16.01,-34:30:12.9,4070,4091,4074,4108,4086,0.84,-0.81,-3.06
BL168,02:39:14.78,-34:27:29.8,4014,4011,4012,4015,4013,0.83,-0.89,-3.00
BL171,02:39:15.48,-34:30:46.5,4047,4047,4047,4050,4048,0.87,-0.85,-2.94
BL173,02:39:14.36,-34:34:42.3,3991,3985,3987,3990,3988,0.85,-0.93,-2.92
BL180,02:39:33.38,-34:33:58.4,4115,4102,4107,4134,4114,0.77,-0.78,-3.25
BL181,02:39:16.76,-34:34:49.9,4016,3962,3969,3969,3979,0.80,-0.93,-3.04
BL183,02:39:47.94,-34:26:43.4,4073,4199,4223,4230,4181,0.83,-0.72,-3.16
BL185,02:39:27.67,-34:37:48.5,4026,3980,3999,3988,3998,0.69,-0.92,-3.32
