Name,[NaI/Fe],e_[NaI/Fe],o_[NaI/Fe],[MgI/Fe],e_[MgI/Fe],o_[MgI/Fe],[SiI/Fe],e_[SiI/Fe],o_[SiI/Fe],[CaI/Fe],e_[CaI/Fe],o_[CaI/Fe],[TiI/Fe],e_[TiI/Fe],o_[TiI/Fe],[TiII/Fe],e_[TiII/Fe],o_[TiII/Fe],[CrI/Fe],e_[CrI/Fe],o_[CrI/Fe],[FeI/H],e_[FeI/H],o_[FeI/H],[FeII/H],e_[FeII/H],o_[FeII/H],[NiI/Fe],e_[NiI/Fe],o_[NiI/Fe],[YII/Fe],e_[YII/Fe],o_[YII/Fe],[BaII/Fe],e_[BaII/Fe],o_[BaII/Fe],[LaII/Fe],e_[LaII/Fe],o_[LaII/Fe],[NdII/Fe],e_[NdII/Fe],o_[NdII/Fe],[EuII/Fe],e_[EuII/Fe],o_[EuII/Fe]
BL038,-0.43,0.17,2,0.04,0.17,2,0.35,0.14,4,-0.22,0.10,8,-0.09,0.10,6,0.21,0.14,3,-0.09,0.24,1,-0.91,0.07,43,-0.71,0.08,4,-0.12,0.06,15,0.12,0.24,1,0.51,0.17,2,0.53,0.24,1,0.25,0.17,3,0.91,0.24,1
BL045,,,0,-0.06,0.12,2,0.23,0.16,2,-0.33,0.06,8,-0.25,0.05,10,-0.03,0.10,4,-0.17,0.16,1,-1.05,0.05,48,-0.76,0.08,5,-0.21,0.07,11,,,0,-0.05,0.14,2,0.16,0.16,1,-0.09,0.16,1,0.20,0.16,1
BL065,,,0,-0.02,0.18,1,0.36,0.16,2,-0.05,0.12,9,-0.17,0.07,7,0.29,0.12,4,-0.30,0.18,1,-1.44,0.06,42,-1.06,0.15,5,-0.15,0.07,8,,,0,0.13,0.13,2,,,0,0.50,0.18,1,0.37,0.18,1
BL076,-0.66,0.13,2,-0.18,0.13,2,-0.15,0.11,3,-0.20,0.07,8,-0.23,0.06,9,0.10,0.15,3,-0.22,0.19,1,-0.86,0.05,43,-0.43,0.12,4,-0.25,0.08,13,,,0,0.28,0.13,2,,,0,0.21,0.12,3,0.46,0.19,1
BL077,-0.78,0.14,1,-0.30,0.08,3,-0.09,0.10,2,-0.45,0.05,8,-0.37,0.06,10,-0.02,0.11,2,-0.43,0.14,1,-0.79,0.05,39,-0.40,0.21,4,-0.24,0.06,14,,,0,0.12,0.10,2,-0.12,0.14,1,0.23,0.11,3,0.39,0.14,1
BL081,-0.69,0.13,2,-0.35,0.13,2,-0.44,0.13,2,-0.33,0.06,9,-0.18,0.07,10,-0.09,0.13,3,-0.32,0.19,1,-0.63,0.06,40,-0.44,0.17,4,-0.24,0.06,14,-0.33,0.19,1,0.51,0.13,2,0.41,0.19,1,0.26,0.14,3,0.41,0.19,1
BL084,,,0,-0.13,0.18,1,-0.09,0.17,2,-0.25,0.06,9,-0.33,0.06,9,0.25,0.16,2,-0.36,0.18,1,-0.87,0.05,39,-0.67,0.09,4,-0.21,0.06,13,-0.41,0.18,1,0.40,0.13,2,0.19,0.18,1,0.21,0.14,3,0.59,0.18,1
BL085,,,0,0.38,0.15,1,0.85,0.15,1,0.34,0.06,9,0.57,0.15,1,0.54,0.22,4,,,0,-2.59,0.05,31,-2.01,0.10,4,0.72,0.22,5,,,0,0.05,0.11,2,0.71,0.15,1,1.49,0.15,1,,,0
BL091,-0.45,0.12,2,-0.04,0.12,2,-0.03,0.15,3,-0.08,0.06,7,-0.23,0.06,9,0.27,0.17,3,-0.12,0.17,1,-0.98,0.06,46,-0.62,0.19,5,-0.09,0.07,13,-0.29,0.17,1,0.37,0.12,2,0.31,0.17,1,0.45,0.10,3,0.66,0.17,1
BL092,-0.98,0.15,2,0.00,0.12,3,-0.10,0.10,4,-0.22,0.07,9,-0.24,0.08,9,0.33,0.16,3,-0.23,0.21,1,-0.92,0.07,44,-0.54,0.09,3,-0.21,0.09,11,0.20,0.21,1,0.44,0.15,2,0.27,0.21,1,0.28,0.12,3,0.68,0.21,1
BL096,-0.82,0.18,2,-0.02,0.14,3,-0.10,0.18,2,-0.18,0.10,6,-0.20,0.09,8,0.08,0.14,3,-0.31,0.25,1,-0.71,0.08,42,-0.91,0.18,4,-0.31,0.08,12,-0.34,0.25,1,0.45,0.18,2,0.35,0.25,1,0.29,0.18,3,0.76,0.25,1
BL097,-0.63,0.12,2,0.00,0.17,1,-0.08,0.11,3,-0.21,0.08,9,-0.19,0.05,10,0.21,0.10,3,-0.35,0.17,1,-0.92,0.05,43,-0.54,0.21,5,-0.08,0.06,16,-0.06,0.17,1,0.36,0.12,2,0.21,0.17,1,0.30,0.10,3,0.62,0.17,1
BL100,,,0,0.00,0.14,3,-0.08,0.13,2,-0.48,0.08,8,-0.42,0.07,8,0.31,0.15,2,-0.29,0.19,1,-0.94,0.06,48,-0.68,0.12,5,-0.26,0.07,15,-0.40,0.19,1,0.11,0.16,2,0.07,0.19,1,0.31,0.13,2,,,0
BL104,-0.77,0.21,1,-0.03,0.15,2,0.50,0.18,3,-0.17,0.07,9,-0.11,0.07,9,0.22,0.12,3,-0.53,0.21,1,-0.98,0.06,43,-0.34,0.20,4,-0.14,0.07,12,0.06,0.21,1,0.38,0.15,2,0.47,0.21,1,0.36,0.12,3,0.88,0.21,1
BL113,-0.35,0.14,2,-0.09,0.20,1,0.01,0.10,4,-0.05,0.09,9,-0.18,0.08,7,0.23,0.14,3,-0.21,0.20,1,-0.76,0.06,42,-0.65,0.10,5,-0.23,0.06,12,-0.18,0.20,1,0.58,0.20,1,0.51,0.20,1,0.25,0.15,3,0.65,0.20,1
BL115,,,0,0.03,0.10,3,-0.01,0.16,1,-0.24,0.06,8,-0.22,0.08,8,0.03,0.13,5,-0.34,0.16,1,-1.47,0.06,40,-0.95,0.10,4,-0.16,0.07,10,,,0,-0.07,0.11,2,-0.06,0.16,1,0.43,0.16,1,0.07,0.16,1
BL123,-0.73,0.17,1,-0.06,0.12,2,0.02,0.10,3,-0.28,0.06,8,-0.18,0.06,9,-0.09,0.17,3,-0.19,0.17,1,-0.98,0.05,41,-0.82,0.07,4,-0.16,0.05,16,-0.08,0.17,1,0.24,0.12,2,0.37,0.17,1,0.32,0.10,3,0.53,0.17,1
BL125,-0.54,0.17,2,-0.02,0.17,2,-0.12,0.12,4,-0.19,0.08,8,-0.07,0.08,9,0.36,0.16,3,-0.35,0.24,1,-0.75,0.06,44,-0.61,0.10,3,-0.31,0.06,15,0.01,0.24,1,0.53,0.17,2,0.93,0.24,1,0.40,0.14,3,0.76,0.24,1
