Star,Measure,Fe I,Fe II,C-H,O I,Na I,Mg I,Al I,Si I,Ca I,Sc II,Ti I,Ti II,Cr I,Mn I,Co I,Ni I,Cu I,Zn I,Sr II,Y II,Zr II,Ba II,La II,Pr II,Nd II,Eu II,Dy II
fnx_06_019,logepsX,4.58,4.67,5.05,6.67,3.54,5.23,3.56,5.16,3.82,0.40,1.97,2.45,2.39,2.09,2.12,3.34,<0.41,1.93,-0.67,-0.86,-0.12,-0.43,-1.28,-1.14,-0.89,-1.60,-0.74
fnx_06_019,[X/H],-2.92,-2.83,-3.38,-2.02,-2.70,-2.37,-2.89,-2.35,-2.52,-2.75,-2.98,-2.50,-3.25,-3.34,-2.87,-2.88,<-3.78,-2.63,-3.54,-3.07,-2.70,-2.61,-2.38,-1.86,-2.31,-2.12,-1.84
fnx_06_019,[X/Fe],-0.00,0.09,-0.46,0.90,0.22,0.55,0.03,0.57,0.40,0.17,-0.06,0.42,-0.33,-0.42,0.05,0.04,<-0.86,0.29,-0.62,-0.15,0.22,0.31,0.54,1.06,0.61,0.79,1.08
fnx_06_019,e_[X/Fe],0.10,0.10,0.12,0.12,0.10,0.11,0.12,0.12,0.10,0.10,0.09,0.11,0.09,0.10,0.16,0.08,0.12,0.12,0.12,0.10,0.12,0.10,0.10,0.16,0.10,0.10,0.10
fnx0579x-1,logepsX,4.77,4.97,5.46,6.99,3.50,5.24,,4.76,3.91,0.64,2.01,2.53,2.62,2.24,2.07,3.39,0.82,,-0.52,-1.03,,-1.21,,,,,
fnx0579x-1,[X/H],-2.73,-2.53,-2.97,-1.70,-2.74,-2.36,,-2.75,-2.43,-2.51,-2.94,-2.42,-3.02,-3.19,-2.92,-2.83,-3.37,,-3.39,-3.24,,-3.39,,,,,
fnx0579x-1,[X/Fe],0.00,0.20,-0.24,1.03,-0.00,0.37,,-0.02,0.30,0.22,-0.21,0.31,-0.29,-0.46,-0.19,-0.10,-0.64,,-0.66,-0.52,,-0.66,,,,,
fnx0579x-1,e_[X/Fe],0.10,0.13,0.12,0.12,0.10,0.10,,0.12,0.10,0.10,0.13,0.13,0.10,0.10,0.12,0.10,0.12,,0.12,0.15,,0.10,,,,,
car1_t174,logepsX,4.51,4.64,4.59,,3.80,4.98,,,3.64,,,2.08,2.07,1.55,,,,,,,,-1.99,,,,,
car1_t174,[X/H],-2.99,-2.86,-3.84,,-2.44,-2.63,,,-2.70,,,-2.87,-3.57,-3.88,,,,,,,,-4.17,,,,,
car1_t174,[X/Fe],-0.00,0.14,-0.85,,0.55,0.37,,,0.29,,,0.12,-0.58,-0.89,,,,,,,,-1.18,,,,,
car1_t174,e_[X/Fe],0.13,0.13,0.17,,0.17,0.13,,,0.17,,,0.17,0.17,0.17,,,,,,,,0.26,,,,,
car1_t194,logepsX,4.92,5.10,4.90,,4.12,5.26,,,4.10,,2.63,2.62,2.85,,,3.61,,,0.33,,,0.03,,,,,
car1_t194,[X/H],-2.58,-2.40,-3.53,,-2.12,-2.34,,,-2.24,,-2.32,-2.33,-2.79,,,-2.61,,,-2.54,,,-2.15,,,,,
car1_t194,[X/Fe],-0.00,0.18,-0.95,,0.47,0.24,,,0.34,,0.26,0.25,-0.21,,,-0.03,,,0.04,,,0.43,,,,,
car1_t194,e_[X/Fe],0.10,0.16,0.16,,0.11,0.11,,,0.27,,0.10,0.18,0.16,,,0.16,,,0.16,,,0.11,,,,,
car1_t200,logepsX,4.60,,5.06,,4.43,5.08,,,,,,2.49,2.41,2.16,,,,,-0.53,,,-0.60,,,,,
car1_t200,[X/H],-2.90,,-3.37,,-1.80,-2.52,,,,,,-2.46,-3.23,-3.27,,,,,-3.40,,,-2.78,,,,,
car1_t200,[X/Fe],0.00,,-0.47,,1.10,0.38,,,,,,0.44,-0.33,-0.37,,,,,-0.50,,,0.12,,,,,
car1_t200,e_[X/Fe],0.21,,0.21,,0.21,0.21,,,,,,0.49,0.21,0.21,,,,,0.21,,,0.27,,,,,
LG04c_0008,logepsX,4.47,4.53,4.22,,3.89,4.91,,,3.55,,,2.25,1.83,1.90,1.78,3.17,,,-1.06,,,-2.02,,,,,
LG04c_0008,[X/H],-3.03,-2.97,-4.21,,-2.35,-2.69,,,-2.79,,,-2.70,-3.81,-3.53,-3.21,-3.05,,,-3.93,,,-4.20,,,,,
LG04c_0008,[X/Fe],-0.00,0.06,-1.18,,0.68,0.34,,,0.24,,,0.33,-0.78,-0.50,-0.18,-0.02,,,-0.90,,,-1.17,,,,,
LG04c_0008,e_[X/Fe],0.17,0.21,0.17,,0.17,0.17,,,0.17,,,0.23,0.17,0.17,0.17,0.17,,,0.17,,,0.22,,,,,
