Name,Species,+D_Teff_logepsX,-D_Teff_logepsX,+D_logg_logepsX,-D_logg_logepsX,+D_Vmic_logepsX,-D_Vmic_logepsX
fnx_06_019,Fe I,+0.14,-0.15,+0.00,+0.00,-0.03,+0.03
fnx_06_019,Fe II,-0.02,+0.04,+0.05,-0.05,+0.02,+0.02
fnx_06_019,C I,+0.13,-0.08,+0.00,+0.01,+0.00,+0.00
fnx_06_019,O I,+0.06,-0.03,+0.06,-0.05,+0.01,+0.01
fnx_06_019,Mg I,+0.09,-0.10,-0.02,+0.02,+0.04,+0.04
fnx_06_019,Ca I,+0.11,-0.13,-0.02,+0.01,-0.03,+0.02
fnx_06_019,Sc II,+0.03,-0.01,+0.05,-0.05,+0.03,+0.03
fnx_06_019,Ti I,+0.27,-0.26,+0.02,-0.03,+0.03,+0.03
fnx_06_019,Ti II,+0.02,+0.00,+0.05,-0.04,+0.05,+0.05
fnx_06_019,Cr I,+0.20,-0.20,+0.00,+0.00,-0.02,+0.02
fnx_06_019,Co I,+0.22,-0.18,+0.01,-0.02,-0.13,+0.15
fnx_06_019,Ni I,+0.18,-0.16,+0.01,+0.00,+0.03,+0.03
fnx_06_019,Sr II,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00
fnx_06_019,Y II,+0.05,-0.02,+0.05,-0.05,+0.02,+0.02
fnx_06_019,Ba II,+0.06,-0.04,+0.06,-0.05,-0.05,+0.07
