Species,lambda,chi,loggf,EW_car1_t174,logepsX_car1_t174,EW_car1_t194,logepsX_car1_t194,EW_car1_t200,logepsX_car1_t200,EW_LG04c_0008,logepsX_LG04c_0008
Ba II,4554.029,0.0,0.170,( 79.2),-1.73,(165.8),0.14,(139.2),-0.32,( 84.7),-1.80
Ba II,4934.076,0.0,-0.150,( 38.4),-2.25,(164.7),-0.08,(115.0),-0.87,( 51.9),-2.23
C I,4300.0,,,,4.59,,4.90,,5.06,,4.22
Ca I,4226.728,0.0,0.244,239.1,13.6,3.64,,,,,,
Ca I,6122.217,1.89,-0.316,,,78.9,15.2,3.96,,,,
Ca I,6439.075,2.53,0.390,,,92.4,16.5,4.30,,,48.1,8.5,3.55
Co I,4118.773,1.05,-0.490,,,,,,,(102.1),1.81
Co I,4121.318,0.92,-0.320,,,,,,,(107.7),1.75
Cr I,5206,0.94,0.020,,2.07,,2.85,,2.41,,1.83
Fe I,4202.029,1.49,-0.708,,,,,120.2,11.6,4.70,,
Fe I,4337.045,1.56,-1.695,,,,,,,96.8,7.5,4.74
Fe I,4352.735,2.22,-1.287,,,,,,,66.7,11.5,4.49
Fe I,4430.614,2.22,-1.659,,,,,,,47.0,13.3,4.44
Fe I,4442.339,2.2,-1.255,,,,,,,84.2,13.1,4.76
Fe I,4459.117,2.18,-1.279,,,,,,,76.8,15.2,4.59
Fe I,4602.941,1.49,-2.209,,,,,,,72.2,9.7,4.52
Fe I,4733.591,1.49,-2.988,,,,,,,40.0,7.7,4.67
Fe I,4871.318,2.87,-0.363,,,,,75.0,13.2,4.69,78.6,11.9,4.50
Fe I,4872.138,2.88,-0.567,,,,,,,55.3,11.8,4.28
Fe I,4890.755,2.88,-0.394,,,93.2,7.1,4.83,69.3,9.6,4.61,,
Fe I,4891.492,2.85,-0.112,,,110.0,7.4,4.85,75.7,8.9,4.43,94.4,18.8,4.56
Fe I,4903.31,2.88,-0.926,,,68.3,7.4,4.87,,,51.2,8.2,4.56
Fe I,4918.994,2.87,-0.342,,,114.4,3.6,5.17,70.4,11.0,4.57,,
Fe I,4920.502,2.83,0.068,,,,,,,98.1,10.9,4.43
Fe I,4938.814,2.88,-1.077,,,,,39.0,6.2,4.71,,
Fe I,5006.119,2.83,-0.638,,,,,51.0,12.6,4.44,71.3,14.8,4.57
Fe I,5049.82,2.28,-1.355,55.2,5.9,4.41,96.9,7.6,5.10,,,62.7,17.9,4.42
Fe I,5110.413,0.0,-3.760,,,,,81.4,11.1,4.73,,
Fe I,5171.596,1.49,-1.793,,,,,,,98.6,12.8,4.53
Fe I,5191.455,3.04,-0.551,62.5,8.6,4.64,,,,,,
Fe I,5192.344,3.0,-0.421,65.2,13.9,4.51,,,,,61.3,9.9,4.35
Fe I,5194.941,1.56,-2.090,71.3,11.8,4.52,,,75.4,13.4,4.83,70.1,15.1,4.35
Fe I,5202.336,2.18,-1.838,,,89.2,5.0,5.26,,,54.3,9.9,4.60
Fe I,5216.274,1.61,-2.150,,,80.9,5.4,4.68,,,55.6,8.2,4.21
Fe I,5217.389,3.21,-1.070,,,40.2,7.2,4.88,,,,
Fe I,5232.94,2.94,-0.058,,,103.2,6.1,4.70,,,,
Fe I,5266.555,3.0,-0.386,,,86.3,4.2,4.76,56.0,10.3,4.45,,
Fe I,5281.79,3.04,-0.834,,,68.8,6.7,4.93,,,37.3,8.1,4.37
Fe I,5283.621,3.24,-0.432,,,71.4,4.6,4.83,,,44.2,9.2,4.35
Fe I,5302.3,3.28,-0.720,,,49.6,4.2,4.78,,,,
