Name,Species,l_logepsX,logepsX,[X/H],[X/Fe],e_[X/Fe]
fnx_06_019,Fe I,,4.58,-2.92,-0.0,0.1
fnx_06_019,Fe II,,4.67,-2.83,0.09,0.1
fnx_06_019,C-H,,5.05,-3.38,-0.46,0.12
fnx_06_019,O I,,6.67,-2.02,0.9,0.12
fnx_06_019,Na I,,3.54,-2.7,0.22,0.1
fnx_06_019,Mg I,,5.23,-2.37,0.55,0.11
fnx_06_019,Al I,,3.56,-2.89,0.03,0.12
fnx_06_019,Si I,,5.16,-2.35,0.57,0.12
fnx_06_019,Ca I,,3.82,-2.52,0.4,0.1
fnx_06_019,Sc II,,0.4,-2.75,0.17,0.1
fnx_06_019,Ti I,,1.97,-2.98,-0.06,0.09
fnx_06_019,Ti II,,2.45,-2.5,0.42,0.11
fnx_06_019,Cr I,,2.39,-3.25,-0.33,0.09
fnx_06_019,Mn I,,2.09,-3.34,-0.42,0.1
fnx_06_019,Co I,,2.12,-2.87,0.05,0.16
fnx_06_019,Ni I,,3.34,-2.88,0.04,0.08
fnx_06_019,Cu I,<,0.41,-3.78,-0.86,0.12
fnx_06_019,Zn I,,1.93,-2.63,0.29,0.12
fnx_06_019,Sr II,,-0.67,-3.54,-0.62,0.12
fnx_06_019,Y II,,-0.86,-3.07,-0.15,0.1
fnx_06_019,Zr II,,-0.12,-2.7,0.22,0.12
fnx_06_019,Ba II,,-0.43,-2.61,0.31,0.1
fnx_06_019,La II,,-1.28,-2.38,0.54,0.1
fnx_06_019,Pr II,,-1.14,-1.86,1.06,0.16
fnx_06_019,Nd II,,-0.89,-2.31,0.61,0.1
fnx_06_019,Eu II,,-1.6,-2.12,0.79,0.1
fnx_06_019,Dy II,,-0.74,-1.84,1.08,0.1
fnx0579x-1,Fe I,,4.77,-2.73,0.0,0.1
fnx0579x-1,Fe II,,4.97,-2.53,0.2,0.13
fnx0579x-1,C-H,,5.46,-2.97,-0.24,0.12
fnx0579x-1,O I,,6.99,-1.7,1.03,0.12
fnx0579x-1,Na I,,3.5,-2.74,-0.0,0.1
fnx0579x-1,Mg I,,5.24,-2.36,0.37,0.1
fnx0579x-1,Al I,,,,,
fnx0579x-1,Si I,,4.76,-2.75,-0.02,0.12
fnx0579x-1,Ca I,,3.91,-2.43,0.3,0.1
fnx0579x-1,Sc II,,0.64,-2.51,0.22,0.1
fnx0579x-1,Ti I,,2.01,-2.94,-0.21,0.13
fnx0579x-1,Ti II,,2.53,-2.42,0.31,0.13
fnx0579x-1,Cr I,,2.62,-3.02,-0.29,0.1
fnx0579x-1,Mn I,,2.24,-3.19,-0.46,0.1
fnx0579x-1,Co I,,2.07,-2.92,-0.19,0.12
fnx0579x-1,Ni I,,3.39,-2.83,-0.1,0.1
fnx0579x-1,Cu I,,0.82,-3.37,-0.64,0.12
fnx0579x-1,Zn I,,,,,
fnx0579x-1,Sr II,,-0.52,-3.39,-0.66,0.12
fnx0579x-1,Y II,,-1.03,-3.24,-0.52,0.15
fnx0579x-1,Zr II,,,,,
fnx0579x-1,Ba II,,-1.21,-3.39,-0.66,0.1
fnx0579x-1,La II,,,,,
fnx0579x-1,Pr II,,,,,
fnx0579x-1,Nd II,,,,,
fnx0579x-1,Eu II,,,,,
fnx0579x-1,Dy II,,,,,
car1_t174,Fe I,,4.51,-2.99,-0.0,0.13
car1_t174,Fe II,,4.64,-2.86,0.14,0.13
car1_t174,C-H,,4.59,-3.84,-0.85,0.17
car1_t174,O I,,,,,
car1_t174,Na I,,3.8,-2.44,0.55,0.17
car1_t174,Mg I,,4.98,-2.63,0.37,0.13
car1_t174,Al I,,,,,
car1_t174,Si I,,,,,
car1_t174,Ca I,,3.64,-2.7,0.29,0.17
car1_t174,Sc II,,,,,
car1_t174,Ti I,,,,,
car1_t174,Ti II,,2.08,-2.87,0.12,0.17
car1_t174,Cr I,,2.07,-3.57,-0.58,0.17
car1_t174,Mn I,,1.55,-3.88,-0.89,0.17
car1_t174,Co I,,,,,
car1_t174,Ni I,,,,,
car1_t174,Cu I,,,,,
car1_t174,Zn I,,,,,
car1_t174,Sr II,,,,,
car1_t174,Y II,,,,,
car1_t174,Zr II,,,,,
car1_t174,Ba II,,-1.99,-4.17,-1.18,0.26
car1_t174,La II,,,,,
car1_t174,Pr II,,,,,
car1_t174,Nd II,,,,,
car1_t174,Eu II,,,,,
car1_t174,Dy II,,,,,
car1_t194,Fe I,,4.92,-2.58,-0.0,0.1
car1_t194,Fe II,,5.1,-2.4,0.18,0.16
car1_t194,C-H,,4.9,-3.53,-0.95,0.16
car1_t194,O I,,,,,
car1_t194,Na I,,4.12,-2.12,0.47,0.11
car1_t194,Mg I,,5.26,-2.34,0.24,0.11
car1_t194,Al I,,,,,
car1_t194,Si I,,,,,
car1_t194,Ca I,,4.1,-2.24,0.34,0.27
car1_t194,Sc II,,,,,
car1_t194,Ti I,,2.63,-2.32,0.26,0.1
car1_t194,Ti II,,2.62,-2.33,0.25,0.18
car1_t194,Cr I,,2.85,-2.79,-0.21,0.16
car1_t194,Mn I,,,,,
car1_t194,Co I,,,,,
car1_t194,Ni I,,3.61,-2.61,-0.03,0.16
car1_t194,Cu I,,,,,
car1_t194,Zn I,,,,,
car1_t194,Sr II,,0.33,-2.54,0.04,0.16
car1_t194,Y II,,,,,
car1_t194,Zr II,,,,,
car1_t194,Ba II,,0.03,-2.15,0.43,0.11
car1_t194,La II,,,,,
car1_t194,Pr II,,,,,
car1_t194,Nd II,,,,,
car1_t194,Eu II,,,,,
car1_t194,Dy II,,,,,
car1_t200,Fe I,,4.6,-2.9,0.0,0.21
car1_t200,Fe II,,,,,
car1_t200,C-H,,5.06,-3.37,-0.47,0.21
car1_t200,O I,,,,,
car1_t200,Na I,,4.43,-1.8,1.1,0.21
car1_t200,Mg I,,5.08,-2.52,0.38,0.21
car1_t200,Al I,,,,,
car1_t200,Si I,,,,,
car1_t200,Ca I,,,,,
car1_t200,Sc II,,,,,
car1_t200,Ti I,,,,,
car1_t200,Ti II,,2.49,-2.46,0.44,0.49
car1_t200,Cr I,,2.41,-3.23,-0.33,0.21
car1_t200,Mn I,,2.16,-3.27,-0.37,0.21
car1_t200,Co I,,,,,
car1_t200,Ni I,,,,,
car1_t200,Cu I,,,,,
car1_t200,Zn I,,,,,
car1_t200,Sr II,,-0.53,-3.4,-0.5,0.21
car1_t200,Y II,,,,,
car1_t200,Zr II,,,,,
car1_t200,Ba II,,-0.6,-2.78,0.12,0.27
car1_t200,La II,,,,,
car1_t200,Pr II,,,,,
car1_t200,Nd II,,,,,
car1_t200,Eu II,,,,,
car1_t200,Dy II,,,,,
LG04c_0008,Fe I,,4.47,-3.03,-0.0,0.17
LG04c_0008,Fe II,,4.53,-2.97,0.06,0.21
LG04c_0008,C-H,,4.22,-4.21,-1.18,0.17
LG04c_0008,O I,,,,,
LG04c_0008,Na I,,3.89,-2.35,0.68,0.17
LG04c_0008,Mg I,,4.91,-2.69,0.34,0.17
LG04c_0008,Al I,,,,,
LG04c_0008,Si I,,,,,
LG04c_0008,Ca I,,3.55,-2.79,0.24,0.17
LG04c_0008,Sc II,,,,,
LG04c_0008,Ti I,,,,,
LG04c_0008,Ti II,,2.25,-2.7,0.33,0.23
LG04c_0008,Cr I,,1.83,-3.81,-0.78,0.17
LG04c_0008,Mn I,,1.9,-3.53,-0.5,0.17
LG04c_0008,Co I,,1.78,-3.21,-0.18,0.17
LG04c_0008,Ni I,,3.17,-3.05,-0.02,0.17
LG04c_0008,Cu I,,,,,
LG04c_0008,Zn I,,,,,
LG04c_0008,Sr II,,-1.06,-3.93,-0.9,0.17
LG04c_0008,Y II,,,,,
LG04c_0008,Zr II,,,,,
LG04c_0008,Ba II,,-2.02,-4.2,-1.17,0.22
LG04c_0008,La II,,,,,
LG04c_0008,Pr II,,,,,
LG04c_0008,Nd II,,,,,
LG04c_0008,Eu II,,,,,
LG04c_0008,Dy II,,,,,
